Point_ID,Output
1,0.498743
2,0.500613
3,0.503822
4,0.496532
5,0.501471
6,0.500408
7,0.504107
8,0.499091
9,0.503934
10,0.501555
11,0.497494
12,0.503697
13,0.497140
14,0.501281
15,0.499232
16,0.498422
17,0.504944
18,0.500264
19,0.505239
20,0.499603
21,0.495308
22,0.503383
23,0.493186
24,0.506670
25,0.501315
26,0.508521
27,0.501753
28,0.499422
29,0.499618
30,0.504635
31,0.502371
32,0.501146
33,0.502639
34,0.501485
35,0.498031
36,0.502818
37,0.502662
38,0.500539
39,0.503128
40,0.490721
41,0.502146
42,0.509029
43,0.498021
44,0.499896
45,0.501324
46,0.510907
47,0.503316
48,0.503354
49,0.500444
50,0.500263
51,0.501314
52,0.500169
53,0.501836
54,0.503285
55,0.499140
56,0.504045
57,0.499791
58,0.498122
59,0.507198
60,0.505613
61,0.507378
62,0.500951
63,0.503488
64,0.507069
65,0.502153
66,0.497229
67,0.497375
68,0.503240
69,0.499622
70,0.501799
71,0.508299
72,0.505148
73,0.499753
74,0.502894
75,0.501862
76,0.499083
77,0.499987
78,0.502032
79,0.502379
80,0.507524
81,0.503669
82,0.505752
83,0.503617
84,0.498639
85,0.512248
86,0.505371
87,0.502281
88,0.503115
89,0.500243
90,0.500408
91,0.503942
92,0.506612
93,0.495843
94,0.501937
95,0.498456
96,0.509772
97,0.500714
98,0.499292
99,0.499193
100,0.501301
101,0.506774
102,0.501146
103,0.504169
104,0.497133
105,0.501609
106,0.497624
107,0.499890
108,0.503360
109,0.493388
110,0.505208
111,0.506737
112,0.498177
113,0.493609
114,0.499349
115,0.509922
116,0.508071
117,0.500336
118,0.499852
119,0.502177
120,0.501716
121,0.504219
122,0.509222
123,0.502983
124,0.501379
125,0.499163
126,0.499127
127,0.500859
128,0.501668
129,0.500840
130,0.500241
131,0.499552
132,0.505191
133,0.499217
134,0.500219
135,0.501989
136,0.499711
137,0.498864
138,0.498859
139,0.510082
140,0.498613
141,0.501559
142,0.500419
143,0.505604
144,0.505252
145,0.499378
146,0.502595
147,0.501149
148,0.500765
149,0.504017
150,0.498857
151,0.494945
152,0.502077
153,0.502569
154,0.498327
155,0.503704
156,0.501396
157,0.502686
158,0.504412
159,0.500489
160,0.498874
161,0.499598
