inst#,actual,predicted,error,distribution,
1,1:0,1:0,,*0.588,0.412
2,1:0,1:0,,*0.634,0.366
3,1:0,2:1,+,0.037,*0.963
4,1:0,1:0,,*0.636,0.364
5,1:0,2:1,+,0.455,*0.545
6,1:0,1:0,,*0.774,0.226
7,1:0,2:1,+,0.272,*0.728
8,1:0,1:0,,*0.742,0.258
9,1:0,2:1,+,0.228,*0.772
10,1:0,1:0,,*0.773,0.227
11,1:0,1:0,,*0.952,0.048
12,1:0,1:0,,*0.594,0.406
13,1:0,1:0,,*0.964,0.036
14,1:0,1:0,,*0.911,0.089
15,2:1,1:0,+,*0.548,0.452
16,1:0,1:0,,*0.64,0.36
17,1:0,1:0,,*0.632,0.368
18,1:0,1:0,,*0.64,0.36
19,1:0,2:1,+,0.404,*0.596
20,1:0,1:0,,*0.941,0.059
21,1:0,1:0,,*0.678,0.322
22,1:0,2:1,+,0.077,*0.923
23,1:0,1:0,,*0.684,0.316
24,1:0,2:1,+,0.309,*0.691
25,1:0,2:1,+,0.228,*0.772
26,1:0,2:1,+,0.267,*0.733
27,1:0,1:0,,*0.55,0.45
28,1:0,1:0,,*0.941,0.059
29,1:0,2:1,+,0.408,*0.592
30,1:0,2:1,+,0.048,*0.952
31,1:0,2:1,+,0.405,*0.595
32,1:0,1:0,,*0.591,0.409
33,1:0,1:0,,*0.69,0.31
34,1:0,1:0,,*0.919,0.081
35,1:0,1:0,,*0.772,0.228
36,1:0,1:0,,*0.684,0.316
37,1:0,1:0,,*0.918,0.082
38,1:0,1:0,,*0.73,0.27
39,1:0,2:1,+,0.059,*0.941
40,1:0,1:0,,*0.68,0.32
41,1:0,2:1,+,0.365,*0.635
42,1:0,2:1,+,0.026,*0.974
43,1:0,1:0,,*0.592,0.408
44,1:0,1:0,,*0.951,0.049
45,1:0,1:0,,*0.683,0.317
46,1:0,2:1,+,0.27,*0.73
47,1:0,2:1,+,0.176,*0.824
48,1:0,2:1,+,0.135,*0.865
49,1:0,1:0,,*0.911,0.089
50,1:0,2:1,+,0.072,*0.928
51,1:0,2:1,+,0.409,*0.591
52,1:0,2:1,+,0.051,*0.949
53,1:0,1:0,,*0.774,0.226
54,1:0,2:1,+,0.365,*0.635
55,1:0,1:0,,*0.608,0.392
56,1:0,2:1,+,0.27,*0.73
57,1:0,1:0,,*0.587,0.413
58,1:0,1:0,,*0.634,0.366
59,1:0,2:1,+,0.272,*0.728
60,1:0,1:0,,*0.638,0.362
61,1:0,2:1,+,0.09,*0.91
62,1:0,1:0,,*0.5,0.5
63,1:0,1:0,,*0.944,0.056
64,1:0,2:1,+,0.092,*0.908
65,1:0,1:0,,*0.636,0.364
66,1:0,1:0,,*0.5,0.5
67,1:0,1:0,,*0.83,0.17
68,1:0,2:1,+,0.005,*0.995
69,1:0,1:0,,*0.972,0.028
70,1:0,1:0,,*0.505,0.495
71,1:0,2:1,+,0.015,*0.985
72,1:0,2:1,+,0.363,*0.637
73,1:0,2:1,+,0.495,*0.505
74,1:0,2:1,+,0.318,*0.682
75,1:0,2:1,+,0.04,*0.96
76,1:0,1:0,,*0.541,0.459
77,1:0,1:0,,*0.686,0.314
78,1:0,1:0,,*0.682,0.318
79,1:0,1:0,,*0.816,0.184
80,1:0,2:1,+,0.067,*0.933
81,1:0,1:0,,*0.592,0.408
82,1:0,2:1,+,0.315,*0.685
83,1:0,1:0,,*0.502,0.498
84,1:0,1:0,,*0.971,0.029
85,1:0,2:1,+,0.011,*0.989
86,1:0,1:0,,*0.508,0.492
87,1:0,2:1,+,0.184,*0.816
88,1:0,1:0,,*0.683,0.317
