Point_ID,Output
1,0.412
2,0.366
3,0.963
4,0.364
5,0.545
6,0.226
7,0.728
8,0.258
9,0.772
10,0.227
11,0.048
12,0.406
13,0.036
14,0.089
15,0.452
16,0.36
17,0.368
18,0.36
19,0.596
20,0.059
21,0.322
22,0.923
23,0.316
24,0.691
25,0.772
26,0.733
27,0.45
28,0.059
29,0.592
30,0.952
31,0.595
32,0.409
33,0.31
34,0.081
35,0.228
36,0.316
37,0.082
38,0.27
39,0.941
40,0.32
41,0.635
42,0.974
43,0.408
44,0.049
45,0.317
46,0.73
47,0.824
48,0.865
49,0.089
50,0.928
51,0.591
52,0.949
53,0.226
54,0.635
55,0.392
56,0.73
57,0.413
58,0.366
59,0.728
60,0.362
61,0.91
62,0.5
63,0.056
64,0.908
65,0.364
66,0.5
67,0.17
68,0.995
69,0.028
70,0.495
71,0.985
72,0.637
73,0.505
74,0.682
75,0.96
76,0.459
77,0.314
78,0.318
79,0.184
80,0.933
81,0.408
82,0.685
83,0.498
84,0.029
85,0.989
86,0.492
87,0.816
88,0.317
89,0.227
90,0.275
91,0.501
92,0.936
93,0.216
94,0.268
95,0.057
96,0.912
97,0.593
98,0.496
99,0.06
100,0.481
101,0.364
102,0.409
103,0.931
104,0.18
105,0.48
106,0.316
107,0.071
108,0.636
109,0.005
110,0.358
111,0.728
112,0.458
113,0.405
114,0.455
115,0.863
116,0.96
117,0.04
118,0.349
119,0.73
120,0.954
121,0.724
122,0.907
123,0.225
124,0.077
125,0.318
126,0.542
127,0.502
128,0.631
129,0.318
130,0.479
131,0.316
132,0.686
133,0.451
134,0.454
135,0.32
136,0.033
137,0.631
138,0.044
139,0.682
140,0.921
141,0.589
142,0.499
143,0.956
144,0.593
145,0.638
146,0.227
147,0.075
148,0.568
149,0.956
150,0.365
151,0.135
152,0.451
153,0.407
154,0.277
155,0.64
156,0.547
157,0.683
158,0.772
159,0.054
160,0.609
161,0.047
162,0.411
163,0.541
164,0.274
165,0.774
166,0.026
167,0.658
168,0.063
169,0.5
170,0.865
171,0.452
172,0.544
173,0.726
174,0.948
175,0.985
176,0.5
177,0.407
178,0.782
179,0.273
180,0.178
181,0.413
182,0.548
183,0.027
184,0.595
185,0.26
186,0.591
187,0.593
188,0.272
189,0.517
190,0.409
191,0.457
192,0.412
193,0.228
194,0.613
195,0.315
196,0.643
197,0.591
198,0.038
199,0.365
200,0.946
201,0.5
202,0.011
203,0.275
204,0.547
205,0.369
206,0.498
207,0.181
208,0.317
209,0.48
210,0.74
211,0.412
212,0.033
213,0.455
214,0.362
215,0.361
216,0.64
217,0.458
218,0.271
219,0.778
220,0.068
221,0.633
222,0.829
223,0.543
224,0.403
225,0.681
226,0.224
227,0.683
228,0.725
229,0.591
230,0.275
231,0.089
232,0.347
233,0.821
234,0.317
235,0.731
236,0.866
237,0.73
238,0.225
239,0.726
240,0.938
241,0.318
242,0.73
243,0.32
244,0.777
245,0.731
246,0.087
247,0.639
248,0.32
249,0.502
250,0.521
251,0.501
252,0.452
253,0.319
254,0.923
255,0.638
256,0.546
257,0.025
258,1
259,0.729
260,0.365
261,0.177
262,0.045
263,0.274
264,0.823
265,0.268
266,0.686
267,0.591
268,0.916
269,0.686
270,0.367
271,0
272,0.228
273,0.73
274,0.408
275,0.043
276,0.317
277,0.347
278,0.04
279,0.449
280,0.173
281,0.304
282,0.821
283,0.077
284,0.455
285,0.226
286,0.978
287,0.405
288,0.017
289,0.726
290,0.043
291,0.224
292,0.228
293,0.634
