inst#	actual	predicted	error	distribution	
1	2:1	2:1		0.095	*0.905
2	2:1	2:1		0.31	*0.69
3	2:1	2:1		0.045	*0.955
4	2:1	2:1		0.21	*0.79
5	2:1	2:1		0.475	*0.525
6	2:1	1:-1	+	*0.63	0.37
7	2:1	2:1		0.445	*0.555
8	2:1	2:1		0.15	*0.85
9	2:1	1:-1	+	*0.555	0.445
10	2:1	2:1		0.235	*0.765
11	2:1	2:1		0.415	*0.585
12	2:1	2:1		0.36	*0.64
13	2:1	2:1		0.21	*0.79
14	2:1	2:1		0.33	*0.67
15	2:1	2:1		0.385	*0.615
16	2:1	2:1		0.31	*0.69
17	2:1	2:1		0.235	*0.765
18	2:1	2:1		0.14	*0.86
19	2:1	2:1		0.225	*0.775
20	2:1	2:1		0.435	*0.565
21	2:1	2:1		0.26	*0.74
22	2:1	2:1		0.16	*0.84
23	2:1	2:1		0.42	*0.58
24	2:1	2:1		0.445	*0.555
25	2:1	2:1		0.445	*0.555
26	2:1	2:1		0.37	*0.63
27	2:1	2:1		0.21	*0.79
28	2:1	2:1		0.13	*0.87
29	2:1	2:1		0.285	*0.715
30	2:1	2:1		0.21	*0.79
31	2:1	2:1		0.435	*0.565
32	2:1	2:1		0.36	*0.64
33	2:1	2:1		0.26	*0.74
34	2:1	2:1		0.175	*0.825
35	2:1	2:1		0.245	*0.755
36	2:1	2:1		0.415	*0.585
37	2:1	2:1		0.165	*0.835
38	2:1	2:1		0.425	*0.575
39	2:1	2:1		0.455	*0.545
40	2:1	2:1		0.385	*0.615
41	2:1	2:1		0.275	*0.725
42	2:1	2:1		0.39	*0.61
43	2:1	1:-1	+	*0.68	0.32
44	2:1	1:-1	+	*0.5	0.5
45	2:1	2:1		0.425	*0.575
46	2:1	2:1		0.305	*0.695
47	2:1	2:1		0.255	*0.745
48	2:1	2:1		0.09	*0.91
49	2:1	2:1		0.1	*0.9
50	2:1	2:1		0.265	*0.735
51	2:1	2:1		0.33	*0.67
52	2:1	2:1		0.21	*0.79
53	2:1	2:1		0.13	*0.87
54	2:1	1:-1	+	*0.55	0.45
55	2:1	2:1		0.305	*0.695
56	2:1	2:1		0.37	*0.63
57	2:1	2:1		0.135	*0.865
58	2:1	2:1		0.24	*0.76
59	2:1	2:1		0.345	*0.655
60	2:1	2:1		0.415	*0.585
61	2:1	2:1		0.4	*0.6
62	2:1	2:1		0.33	*0.67
63	2:1	2:1		0.345	*0.655
