Point_ID,Output
1,0.67
2,0.56
3,0.87
4,0.75
5,0.54
6,0.52
7,0.58
8,0.6
9,0.53
10,0.56
11,0.86
12,0.53
13,0.89
14,0.75
15,0.69
16,0.6
17,0.66
18,0.52
19,0.53
20,0.85
21,0.69
22,0.74
23,0.64
24,0.86
25,0.68
26,0.79
27,0.51
28,0.81
29,0.59
30,0.83
31,0.6
32,0.5
33,0.51
34,0.77
35,0.63
36,0.64
37,0.81
38,0.62
39,0.79
40,0.69
41,0.52
42,0.88
43,0.66
44,0.83
45,0.52
46,0.64
47,0.74
48,0.65
49,0.62
50,0.8
51,0.61
52,0.83
53,0.52
54,0.77
55,0.75
56,0.55
57,0.56
58,0.61
59,0.62
60,0.6
61,0.83
62,0.53
63,0.85
64,0.74
65,0.51
66,0.73
67,0.7
68,0.84
69,0.78
70,0.61
71,0.92
72,0.77
73,0.53
74,0.51
75,0.78
76,0.61
77,0.6
78,0.5
79,0.65
80,0.79
81,0.59
82,0.61
83,0.51
84,0.86
85,0.93
86,0.51
87,0.66
88,0.52
89,0.66
90,0.59
91,0.52
92,0.78
93,0.75
94,0.61
95,0.88
96,0.85
97,0.7
98,0.69
99,0.86
100,0.56
101,0.66
102,0.5
103,0.82
104,0.74
105,0.53
106,0.71
107,0.81
108,0.52
109,0.94
110,0.56
111,0.72
112,0.71
113,0.57
114,0.59
115,0.69
116,0.81
117,0.77
118,0.63
119,0.56
120,0.77
121,0.57
122,0.7
123,0.53
124,0.83
125,0.5
126,0.54
127,0.52
128,0.53
129,0.56
130,0.67
131,0.71
132,0.62
133,0.52
134,0.52
135,0.56
136,0.8
137,0.56
138,0.84
139,0.78
140,0.8
141,0.62
142,0.54
143,0.9
144,0.66
145,0.64
146,0.6
147,0.79
148,0.53
149,0.83
150,0.66
151,0.8
152,0.55
153,0.5
154,0.7
155,0.54
156,0.5
157,0.64
158,0.55
159,0.79
160,0.68
161,0.84
162,0.51
163,0.6
164,0.56
165,0.79
166,0.87
167,0.59
168,0.72
169,0.51
170,0.69
171,0.68
172,0.54
173,0.7
174,0.78
175,0.91
176,0.58
177,0.5
178,0.56
179,0.57
180,0.72
181,0.54
182,0.64
183,0.82
184,0.6
185,0.6
186,0.59
187,0.56
188,0.6
189,0.53
190,0.63
191,0.57
192,0.66
193,0.67
194,0.61
195,0.52
196,0.67
197,0.59
198,0.78
199,0.64
200,0.79
201,0.6
202,0.82
203,0.51
204,0.57
205,0.64
206,0.62
207,0.55
208,0.63
209,0.57
210,0.56
211,0.55
212,0.78
213,0.63
214,0.62
215,0.63
216,0.71
217,0.6
218,0.5
219,0.67
220,0.79
221,0.75
222,0.55
223,0.57
224,0.59
225,0.56
226,0.57
227,0.63
228,0.77
229,0.6
230,0.59
231,0.7
232,0.51
233,0.69
234,0.51
235,0.74
236,0.68
237,0.53
238,0.63
239,0.77
240,0.8
241,0.65
242,0.74
243,0.51
244,0.83
245,0.52
246,0.84
247,0.6
248,0.54
249,0.64
250,0.57
251,0.7
252,0.53
253,0.62
254,0.78
255,0.52
256,0.56
257,0.79
258,0.72
259,0.72
260,0.54
261,0.59
262,0.88
263,0.76
264,0.75
265,0.62
266,0.55
267,0.77
268,0.85
269,0.52
270,0.57
271,0.65
272,0.54
273,0.69
274,0.52
275,0.88
276,0.51
277,0.75
278,0.83
279,0.64
280,0.77
281,0.5
282,0.84
283,0.8
284,0.52
285,0.57
286,0.95
287,0.55
288,0.82
289,0.53
290,0.89
291,0.73
292,0.61
293,0.59
294,0.75
295,0.85
296,0.75
297,0.83
298,0.51
299,0.73
300,0.51
301,0.62
302,0.53
303,0.81
304,0.61
305,0.83
306,0.93
307,0.54
308,0.81
309,0.54
310,0.53
311,0.57
312,0.6
313,0.58
314,0.51
315,0.7
316,0.93
317,0.58
318,0.71
319,0.85
320,0.63
321,0.55
322,0.81
323,0.87
324,0.63
325,0.6
326,0.53
327,0.54
328,0.65
329,0.67
330,0.61
331,0.92
332,0.53
333,0.75
334,0.52
335,0.58
336,0.65
337,0.62
338,0.52
339,0.64
340,0.61
341,0.92
342,0.53
343,0.53
344,0.59
345,0.5
346,0.58
347,0.55
348,0.54
349,0.61
350,0.77
351,0.51
352,0.56
353,0.58
354,0.53
355,0.7
356,0.63
357,0.52
358,0.58
359,0.55
360,0.64
361,0.7
362,0.63
363,0.57
364,0.69
365,0.59
366,0.59
367,0.61
368,0.71
369,0.87
370,0.8
371,0.66
372,0.63
373,0.69
374,0.93
375,0.7
376,0.51
377,0.62
378,0.5
379,0.62
380,0.55
381,0.9
382,0.57
383,0.86
384,0.66
385,0.56
386,0.71
387,0.51
388,0.61
389,0.58
390,0.87
391,0.65
392,0.61
393,0.77
394,0.6
395,0.76
396,0.59
397,0.59
398,0.51
399,0.63
400,0.73
401,0.66
402,0.54
403,0.54
404,0.85
405,0.75
406,0.57
407,0.52
408,0.64
409,0.64
410,0.62
411,0.62
412,0.55
413,0.81
414,0.5
415,0.62
416,0.84
417,0.75
418,0.56
419,0.65
420,0.52
421,0.67
422,0.73
423,0.81
424,0.54
425,0.53
426,0.61
427,0.62
428,0.52
429,0.5
430,0.56
431,0.6
432,0.52
433,0.84
434,0.85
435,0.68
436,0.69
437,0.54
438,0.67
439,0.86
440,0.52
441,0.8
442,0.79
443,0.6
444,0.57
445,0.56
446,0.52
447,0.83
448,0.58
449,0.84
450,0.86
451,0.91
452,0.6
453,0.61
454,0.52
455,0.89
456,0.55
457,0.86
458,0.59
459,0.87
460,0.6
461,0.82
462,0.56
463,0.53
464,0.82
465,0.77
466,0.5
467,0.63
468,0.7
469,0.69
470,0.55
471,0.7
472,0.88
473,0.53
474,0.52
475,0.66
476,0.69
477,0.51
478,0.87
479,0.61
480,0.87
481,0.73
482,0.62
483,0.63
484,0.85
485,0.7
486,0.6
487,0.55
488,0.69
489,0.68
490,0.55
491,0.7
492,0.5
493,0.6
494,0.61
495,0.56
496,0.58
497,0.68
498,0.62
499,0.6
500,0.7
501,0.84
502,0.81
503,0.62
504,0.7
505,0.54
506,0.79
507,0.69
508,0.86
509,0.57
510,0.66
511,0.52
512,0.63
513,0.51
514,0.75
515,0.62
516,0.62
517,0.53
518,0.52
519,0.66
520,0.8
521,0.54
522,0.52
523,0.73
524,0.6
525,0.62
526,0.52
527,0.64
528,0.57
529,0.84
530,0.52
531,0.64
532,0.68
533,0.59
534,0.53
535,0.62
536,0.52
537,0.51
538,0.59
539,0.57
540,0.58
541,0.52
542,0.79
543,0.59
544,0.56
545,0.85
546,0.55
547,0.53
548,0.82
549,0.62
550,0.74
551,0.62
552,0.59
553,0.55
554,0.53
555,0.57
556,0.67
557,0.59
558,0.53
559,0.65
560,0.72
561,0.88
562,0.67
563,0.51
564,0.68
565,0.69
566,0.61
567,0.5
568,0.62
569,0.8
570,0.7
571,0.52
572,0.58
573,0.81
574,0.59
575,0.77
576,0.53
577,0.59
578,0.57
579,0.64
580,0.51
581,0.62
582,0.53
583,0.84
584,0.53
585,0.6
586,0.57
587,0.62
588,0.51
589,0.79
590,0.56
591,0.57
592,0.91
593,0.64
594,0.56
595,0.59
596,0.52
597,0.67
598,0.55
599,0.53
600,0.71
601,0.85
602,0.66
603,0.86
604,0.89
605,0.79
606,0.66
607,0.68
608,0.54
609,0.52
610,0.51
611,0.59
612,0.59
613,0.9
614,0.93
615,0.61
616,0.5
617,0.6
618,0.55
619,0.53
620,0.62
621,0.56
622,0.66
623,0.7
624,0.5
625,0.63
626,0.85
627,0.91
628,0.79
629,0.74
630,0.81
631,0.64
632,0.74
633,0.78
634,0.53
635,0.54
636,0.9
637,0.81
638,0.62
639,0.54
640,0.77
641,0.7
642,0.54
643,0.66
644,0.6
645,0.59
646,0.51
647,0.57
648,0.7
649,0.83
650,0.93
651,0.77
652,0.56
653,0.52
654,0.54
655,0.59
656,0.71
657,0.54
658,0.83
659,0.8
660,0.54
661,0.66
662,0.5
663,0.52
664,0.74
665,0.72
666,0.71
667,0.59
668,0.79
669,0.85
670,0.56
671,0.6
672,0.9
673,0.55
674,0.54
675,0.78
676,0.59
677,0.57
678,0.51
679,0.68
680,0.51
681,0.5
682,0.51
683,0.71
684,0.53
685,0.5
686,0.52
687,0.78
688,0.5
689,0.5
690,0.51
691,0.62
692,0.55
693,0.65
694,0.58
695,0.7
696,0.61
697,0.85
698,0.66
699,0.61
700,0.7
701,0.7
702,0.59
703,0.79
704,0.55
705,0.6
706,0.51
707,0.66
708,0.53
709,0.68
710,0.5
711,0.6
712,0.57
713,0.81
714,0.89
715,0.6
716,0.57
717,0.52
718,0.53
719,0.5
720,0.9
721,0.52
722,0.88
723,0.55
724,0.59
725,0.59
726,0.51
727,0.88
728,0.5
729,0.65
730,0.61
731,0.64
732,0.66
733,0.96
734,0.54
735,0.54
736,0.71
737,0.68
738,0.8
739,0.54
740,0.5
741,0.65
742,0.85
743,0.83
744,0.68
745,0.6
746,0.67
747,0.77
748,0.56
749,0.87
750,0.56
751,0.59
752,0.72
753,0.7
754,0.76
755,0.54
756,0.61
757,0.92
758,0.54
759,0.63
760,0.65
761,0.6
762,0.84
763,0.55
764,0.89
765,0.71
766,0.8
767,0.62
768,0.51
769,0.73
770,0.62
771,0.65
772,0.56
773,0.54
774,0.62
775,0.61
776,0.55
777,0.65
778,0.82
779,0.61
780,0.88
781,0.53
782,0.92
783,0.85
784,0.51
785,0.56
786,0.58
787,0.83
788,0.71
789,0.61
790,0.57
791,0.51
792,0.8
793,0.58
794,0.72
795,0.55
796,0.56
797,0.9
798,0.89
799,0.5
800,0.86
801,0.5
802,0.9
803,0.55
804,0.96
805,0.63
806,0.73
807,0.59
808,0.9
809,0.61
810,0.59
811,0.69
812,0.61
813,0.63
814,0.61
815,0.62
816,0.56
817,0.55
818,0.68
819,0.63
820,0.51
821,0.59
822,0.66
823,0.6
824,0.76
825,0.63
826,0.54
827,0.55
828,0.64
829,0.83
830,0.68
831,0.77
832,0.52
833,0.54
834,0.61
835,0.6
836,0.59
837,0.8
838,0.6
839,0.53
840,0.59
841,0.61
842,0.62
843,0.92
844,0.64
845,0.84
846,0.54
847,0.58
848,0.58
849,0.7
850,0.59
851,0.7
852,0.55
853,0.56
854,0.63
855,0.84
856,0.78
857,0.85
858,0.75
859,0.53
860,0.58
861,0.78
862,0.86
863,0.82
864,0.7
865,0.53
866,0.72
867,0.62
868,0.53
869,0.55
870,0.53
871,0.51
872,0.61
873,0.51
874,0.53
875,0.72
876,0.55
877,0.79
878,0.54
879,0.58
880,0.65
881,0.63
882,0.57
883,0.5
884,0.89
885,0.63
886,0.52
887,0.56
888,0.63
889,0.69
890,0.77
891,0.71
892,0.7
893,0.66
894,0.64
895,0.56
896,0.52
897,0.91
898,0.58
899,0.56
900,0.66
901,0.77
902,0.52
903,0.51
904,0.61
905,0.55
906,0.64
907,0.51
