inst#,    actual, predicted, error, probability distribution
     1        1:0        1:0         0.573  0.427
     2        1:0        1:0         0.613  0.387
     3        1:0        2:1         0.187 0.813
     4        1:0        1:0         0.633  0.367
     5        1:0        2:1         0.493 0.507
     6        1:0        1:0         0.533  0.467
     7        1:0        1:0         0.533  0.467
     8        1:0        1:0         0.553  0.447
     9        1:0        2:1         0.427 0.573
    10        1:0        1:0         0.673  0.327
    11        1:0        1:0         0.88   0.12 
    12        1:0        1:0         0.533  0.467
    13        1:0        1:0         0.887  0.113
    14        1:0        1:0         0.793  0.207
    15        2:1        1:0        0.633  0.367
    16        1:0        1:0         0.607  0.393
    17        1:0        1:0         0.607  0.393
    18        1:0        1:0         0.54   0.46 
    19        1:0        2:1         0.447 0.553
    20        1:0        1:0         0.84   0.16 
    21        1:0        1:0         0.567  0.433
    22        1:0        2:1         0.187 0.813
    23        1:0        1:0         0.58   0.42 
    24        1:0        2:1         0.273 0.727
    25        1:0        2:1         0.387 0.613
    26        1:0        2:1         0.24  0.76 
    27        1:0        2:1         0.48  0.52 
    28        1:0        1:0         0.767  0.233
    29        1:0        2:1         0.473 0.527
    30        1:0        2:1         0.153 0.847
    31        1:0        2:1         0.367 0.633
    32        1:0        2:1         0.473 0.527
    33        1:0        2:1         0.487 0.513
    34        1:0        1:0         0.78   0.22 
    35        1:0        1:0         0.687  0.313
    36        1:0        2:1         0.46  0.54 
    37        1:0        1:0         0.787  0.213
    38        1:0        1:0         0.593  0.407
    39        1:0        2:1         0.16  0.84 
    40        1:0        1:0         0.64   0.36 
    41        1:0        1:0         0.547  0.453
    42        1:0        2:1         0.107 0.893
    43        1:0        1:0         0.58   0.42 
    44        1:0        1:0         0.873  0.127
    45        1:0        1:0         0.567  0.433
    46        1:0        2:1         0.273 0.727
    47        1:0        2:1         0.247 0.753
    48        1:0        2:1         0.22  0.78 
    49        1:0        1:0         0.5    0.5  
    50        1:0        2:1         0.227 0.773
    51        1:0        1:0         0.56   0.44 
    52        1:0        2:1         0.167 0.833
    53        1:0        1:0         0.5    0.5  
    54        1:0        2:1         0.247 0.753
    55        1:0        1:0         0.627  0.373
    56        1:0        2:1         0.407 0.593
    57        1:0        1:0         0.513  0.487
    58        1:0        1:0         0.567  0.433
    59        1:0        2:1         0.407 0.593
    60        1:0        1:0         0.62   0.38 
    61        1:0        2:1         0.18  0.82 
    62        1:0        1:0         0.58   0.42 
    63        1:0        1:0         0.8    0.2  
    64        1:0        2:1         0.413 0.587
    65        1:0        1:0         0.633  0.367
    66        1:0        1:0         0.58   0.42 
    67        1:0        1:0         0.687  0.313
    68        1:0        2:1         0.147 0.853
    69        1:0        1:0         0.827  0.173
    70        1:0        1:0         0.6    0.4  
    71        1:0        2:1         0.14  0.86 
    72        1:0        2:1         0.293 0.707
    73        1:0        2:1         0.42  0.58 
    74        1:0        1:0         0.52   0.48 
    75        1:0        2:1         0.187 0.813
    76        1:0        1:0         0.6    0.4  
    77        1:0        1:0         0.687  0.313
    78        1:0        1:0         0.513  0.487
    79        1:0        1:0         0.607  0.393
    80        1:0        2:1         0.213 0.787
    81        1:0        1:0         0.553  0.447
    82        1:0        2:1         0.333 0.667
    83        1:0        1:0         0.54   0.46 
    84        1:0        1:0         0.873  0.127
    85        1:0        2:1         0.087 0.913
    86        1:0        2:1         0.487 0.513
    87        1:0        2:1         0.347 0.653
    88        1:0        1:0         0.52   0.48 
    89        1:0        1:0         0.62   0.38 
    90        1:0        1:0         0.56   0.44 
    91        1:0        1:0         0.56   0.44 
    92        1:0        2:1         0.153 0.847
    93        1:0        1:0         0.587  0.413
    94        1:0        1:0         0.507  0.493
    95        1:0        1:0         0.907  0.093
    96        1:0        2:1         0.173 0.827
    97        1:0        2:1         0.48  0.52 
    98        1:0        1:0         0.633  0.367
    99        1:0        1:0         0.84   0.16 
   100        1:0        1:0         0.527  0.473
   101        1:0        2:1         0.447 0.553
   102        1:0        2:1         0.473 0.527
   103        1:0        2:1         0.193 0.807
   104        1:0        1:0         0.767  0.233
   105        1:0        1:0         0.547  0.453
   106        1:0        1:0         0.673  0.327
   107        1:0        1:0         0.793  0.207
   108        1:0        2:1         0.487 0.513
   109        1:0        1:0         0.88   0.12 
   110        1:0        2:1         0.333 0.667
   111        1:0        2:1         0.207 0.793
   112        1:0        1:0         0.613  0.387
   113        1:0        2:1         0.48  0.52 
   114        1:0        1:0         0.607  0.393
   115        1:0        2:1         0.3   0.7  
   116        1:0        2:1         0.173 0.827
   117        1:0        1:0         0.787  0.213
   118        1:0        1:0         0.533  0.467
   119        1:0        2:1         0.4   0.6  
   120        1:0        2:1         0.247 0.753
   121        1:0        2:1         0.433 0.567
   122        1:0        2:1         0.213 0.787
   123        1:0        1:0         0.5    0.5  
   124        1:0        1:0         0.84   0.16 
   125        1:0        1:0         0.54   0.46 
   126        1:0        2:1         0.493 0.507
   127        1:0        1:0         0.5    0.5  
   128        1:0        2:1         0.48  0.52 
   129        1:0        2:1         0.487 0.513
   130        1:0        1:0         0.533  0.467
