Point_ID,Output
1,0.573
2,0.613
3,0.187
4,0.633
5,0.493
6,0.533
7,0.533
8,0.553
9,0.427
10,0.673
11,0.88
12,0.533
13,0.887
14,0.793
15,0.633
16,0.607
17,0.607
18,0.54
19,0.447
20,0.84
21,0.567
22,0.187
23,0.58
24,0.273
25,0.387
26,0.24
27,0.48
28,0.767
29,0.473
30,0.153
31,0.367
32,0.473
33,0.487
34,0.78
35,0.687
36,0.46
37,0.787
38,0.593
39,0.16
40,0.64
41,0.547
42,0.107
43,0.58
44,0.873
45,0.567
46,0.273
47,0.247
48,0.22
49,0.5
50,0.227
51,0.56
52,0.167
53,0.5
54,0.247
55,0.627
56,0.407
57,0.513
58,0.567
59,0.407
60,0.62
61,0.18
62,0.58
63,0.8
64,0.413
65,0.633
66,0.58
67,0.687
68,0.147
69,0.827
70,0.6
71,0.14
72,0.293
73,0.42
74,0.52
75,0.187
76,0.6
77,0.687
78,0.513
79,0.607
80,0.213
81,0.553
82,0.333
83,0.54
84,0.873
85,0.087
86,0.487
87,0.347
88,0.52
89,0.62
90,0.56
91,0.56
92,0.153
93,0.587
94,0.507
95,0.907
96,0.173
97,0.48
98,0.633
99,0.84
100,0.527
101,0.447
102,0.473
103,0.193
104,0.767
105,0.547
106,0.673
107,0.793
108,0.487
109,0.88
110,0.333
111,0.207
112,0.613
113,0.48
114,0.607
115,0.3
116,0.173
117,0.787
118,0.533
119,0.4
120,0.247
121,0.433
122,0.213
123,0.5
124,0.84
125,0.54
126,0.493
127,0.5
128,0.48
129,0.487
130,0.533
131,0.7
132,0.32
133,0.44
134,0.413
135,0.547
136,0.88
137,0.6
138,0.853
139,0.28
140,0.147
141,0.487
142,0.447
143,0.16
144,0.433
145,0.553
146,0.593
147,0.813
148,0.48
149,0.187
150,0.627
151,0.747
152,0.427
153,0.64
154,0.707
155,0.42
156,0.533
157,0.533
158,0.467
159,0.833
160,0.34
161,0.8
162,0.407
163,0.593
164,0.593
165,0.2
166,0.847
167,0.433
168,0.76
169,0.613
170,0.42
171,0.48
172,0.593
173,0.28
174,0.18
175,0.047
176,0.56
177,0.56
178,0.453
179,0.587
180,0.687
181,0.533
182,0.56
183,0.827
184,0.367
185,0.54
186,0.607
187,0.447
188,0.553
