Point_ID,Output
1,0.427
2,0.387
3,0.813
4,0.367
5,0.507
6,0.467
7,0.467
8,0.447
9,0.573
10,0.327
11,0.12
12,0.467
13,0.113
14,0.207
15,0.367
16,0.393
17,0.393
18,0.46
19,0.553
20,0.16
21,0.433
22,0.813
23,0.42
24,0.727
25,0.613
26,0.76
27,0.52
28,0.233
29,0.527
30,0.847
31,0.633
32,0.527
33,0.513
34,0.22
35,0.313
36,0.54
37,0.213
38,0.407
39,0.84
40,0.36
41,0.453
42,0.893
43,0.42
44,0.127
45,0.433
46,0.727
47,0.753
48,0.78
49,0.5
50,0.773
51,0.44
52,0.833
53,0.5
54,0.753
55,0.373
56,0.593
57,0.487
58,0.433
59,0.593
60,0.38
61,0.82
62,0.42
63,0.2
64,0.587
65,0.367
66,0.42
67,0.313
68,0.853
69,0.173
70,0.4
71,0.86
72,0.707
73,0.58
74,0.48
75,0.813
76,0.4
77,0.313
78,0.487
79,0.393
80,0.787
81,0.447
82,0.667
83,0.46
84,0.127
85,0.913
86,0.513
87,0.653
88,0.48
89,0.38
90,0.44
91,0.44
92,0.847
93,0.413
94,0.493
95,0.093
96,0.827
97,0.52
98,0.367
99,0.16
100,0.473
101,0.553
102,0.527
103,0.807
104,0.233
105,0.453
106,0.327
107,0.207
108,0.513
109,0.12
110,0.667
111,0.793
112,0.387
113,0.52
114,0.393
115,0.7
116,0.827
117,0.213
118,0.467
119,0.6
120,0.753
121,0.567
122,0.787
123,0.5
124,0.16
125,0.46
126,0.507
127,0.5
128,0.52
129,0.513
130,0.467
131,0.3
132,0.68
133,0.56
134,0.587
135,0.453
136,0.12
137,0.4
138,0.147
139,0.72
140,0.853
141,0.513
142,0.553
143,0.84
144,0.567
145,0.447
146,0.407
147,0.187
148,0.52
149,0.813
150,0.373
151,0.253
152,0.573
153,0.36
154,0.293
155,0.58
156,0.467
157,0.467
158,0.533
159,0.167
160,0.66
161,0.2
162,0.593
163,0.407
164,0.407
165,0.8
166,0.153
167,0.567
168,0.24
169,0.387
170,0.58
171,0.52
172,0.407
173,0.72
174,0.82
175,0.953
176,0.44
177,0.44
178,0.547
179,0.413
180,0.313
181,0.467
182,0.44
183,0.173
184,0.633
185,0.46
186,0.393
187,0.553
188,0.447
189,0.373
190,0.393
191,0.52
192,0.373
193,0.387
194,0.48
195,0.46
196,0.647
197,0.44
198,0.16
199,0.547
200,0.767
201,0.453
202,0.107
203,0.42
204,0.493
205,0.42
206,0.393
207,0.453
208,0.4
209,0.52
210,0.56
211,0.573
212,0.207
213,0.44
214,0.473
215,0.367
216,0.567
217,0.407
218,0.393
219,0.613
220,0.22
221,0.74
222,0.533
223,0.613
224,0.447
225,0.513
226,0.5
227,0.647
228,0.707
229,0.573
230,0.44
231,0.313
232,0.513
233,0.567
234,0.407
235,0.72
236,0.727
237,0.547
238,0.333
239,0.767
240,0.827
241,0.387
242,0.667
243,0.467
244,0.753
245,0.447
246,0.173
247,0.473
248,0.453
249,0.473
250,0.52
251,0.62
252,0.527
253,0.44
254,0.733
255,0.493
256,0.52
257,0.14
258,0.68
259,0.793
260,0.48
261,0.347
262,0.127
263,0.293
264,0.74
265,0.433
266,0.573
267,0.72
268,0.727
269,0.44
270,0.493
271,0.38
272,0.467
273,0.613
274,0.493
275,0.153
276,0.407
277,0.307
278,0.127
279,0.447
280,0.287
281,0.5
282,0.76
283,0.227
284,0.38
285,0.433
286,0.913
287,0.613
288,0.213
289,0.54
290,0.187
291,0.293
292,0.447
293,0.473
294,0.34
295,0.78
296,0.167
297,0.773
298,0.473
299,0.72
300,0.407
301,0.567
302,0.52
303,0.82
304,0.453
305,0.787
306,0.9
307,0.353
308,0.233
309,0.553
310,0.407
311,0.42
312,0.647
313,0.44
314,0.487
315,0.74
316,0.933
317,0.46
318,0.393
319,0.127
320,0.42
321,0.493
322,0.753
323,0.2
324,0.413
325,0.64
326,0.48
327,0.58
328,0.313
329,0.34
330,0.507
331,0.18
332,0.507
333,0.807
334,0.473
335,0.593
336,0.66
337,0.607
338,0.48
339,0.373
340,0.58
341,0.873
342,0.587
343,0.567
344,0.42
345,0.487
346,0.62
347,0.46
348,0.48
349,0.42
350,0.16
351,0.6
352,0.573
353,0.473
354,0.36
355,0.593
356,0.62
357,0.38
358,0.353
359,0.44
360,0.413
361,0.393
362,0.367
363,0.393
364,0.393
365,0.433
366,0.607
367,0.367
368,0.647
369,0.133
370,0.773
371,0.54
372,0.567
373,0.367
374,0.18
375,0.68
376,0.487
377,0.587
378,0.507
379,0.4
380,0.387
381,0.82
382,0.6
383,0.873
384,0.407
385,0.46
386,0.713
387,0.507
388,0.573
389,0.473
390,0.133
391,0.44
392,0.4
393,0.813
394,0.42
395,0.673
396,0.393
397,0.44
398,0.467
399,0.587
400,0.72
401,0.407
402,0.493
403,0.42
404,0.827
405,0.413
406,0.453
407,0.46
408,0.4
409,0.433
410,0.547
411,0.46
412,0.493
413,0.16
414,0.5
415,0.373
416,0.227
417,0.373
418,0.427
419,0.613
420,0.493
421,0.693
422,0.373
423,0.753
424,0.533
425,0.54
426,0.373
427,0.447
428,0.467
429,0.447
430,0.613
431,0.633
432,0.66
433,0.76
434,0.813
435,0.34
436,0.347
437,0.493
438,0.387
439,0.833
440,0.407
441,0.147
442,0.88
443,0.433
444,0.453
445,0.607
446,0.633
447,0.887
448,0.513
449,0.147
450,0.88
451,0.833
452,0.64
453,0.587
454,0.433
455,0.92
456,0.44
457,0.18
458,0.427
459,0.787
460,0.633
461,0.787
462,0.393
463,0.433
464,0.84
465,0.733
466,0.467
467,0.56
468,0.573
469,0.733
470,0.5
471,0.647
472,0.16
473,0.42
474,0.567
475,0.753
476,0.32
477,0.573
478,0.893
479,0.493
480,0.14
481,0.66
482,0.553
483,0.433
484,0.813
485,0.653
486,0.62
487,0.36
488,0.633
489,0.547
490,0.507
491,0.36
492,0.54
493,0.32
494,0.633
495,0.573
496,0.553
497,0.567
498,0.36
499,0.56
500,0.407
501,0.107
502,0.82
503,0.727
504,0.773
505,0.507
506,0.76
507,0.407
508,0.14
509,0.453
510,0.56
511,0.453
512,0.513
513,0.493
514,0.267
515,0.327
516,0.56
517,0.52
518,0.487
519,0.607
520,0.2
521,0.513
522,0.393
523,0.82
524,0.493
525,0.46
526,0.46
527,0.627
528,0.473
529,0.807
530,0.487
531,0.66
532,0.267
533,0.427
534,0.56
535,0.24
536,0.447
537,0.54
538,0.46
539,0.547
540,0.427
541,0.553
542,0.82
543,0.6
544,0.447
545,0.873
546,0.507
547,0.413
548,0.227
549,0.413
550,0.68
551,0.68
552,0.533
553,0.393
554,0.5
555,0.453
556,0.673
557,0.427
558,0.5
559,0.3
560,0.287
561,0.18
562,0.36
563,0.547
564,0.327
565,0.667
566,0.573
567,0.513
568,0.393
569,0.24
570,0.44
571,0.54
572,0.66
573,0.1
574,0.607
575,0.193
576,0.493
577,0.547
578,0.507
579,0.727
580,0.493
581,0.453
582,0.48
583,0.76
584,0.547
585,0.627
586,0.54
587,0.447
588,0.493
589,0.853
590,0.447
591,0.553
592,0.893
593,0.44
594,0.387
595,0.527
596,0.387
597,0.593
598,0.573
599,0.587
600,0.373
601,0.853
602,0.707
603,0.127
604,0.187
605,0.32
606,0.633
607,0.333
608,0.433
609,0.5
610,0.413
611,0.54
612,0.513
613,0.173
614,0.873
615,0.4
616,0.487
617,0.44
618,0.5
619,0.487
620,0.44
621,0.573
622,0.587
623,0.653
624,0.407
625,0.567
626,0.187
627,0.107
628,0.82
629,0.213
630,0.2
631,0.413
632,0.173
633,0.8
634,0.52
635,0.44
636,0.887
637,0.833
638,0.387
639,0.46
640,0.607
641,0.533
642,0.447
643,0.34
644,0.447
645,0.467
646,0.5
647,0.413
648,0.273
649,0.827
650,0.86
651,0.6
652,0.42
653,0.353
654,0.36
655,0.467
656,0.673
657,0.493
658,0.9
659,0.807
660,0.647
661,0.32
662,0.413
663,0.56
664,0.2
665,0.313
666,0.293
667,0.38
668,0.833
669,0.22
670,0.433
671,0.627
672,0.053
673,0.487
674,0.487
675,0.313
676,0.327
677,0.453
678,0.493
679,0.76
680,0.553
681,0.653
682,0.567
683,0.713
684,0.453
685,0.453
686,0.533
687,0.733
688,0.653
689,0.527
690,0.513
691,0.387
692,0.633
693,0.567
694,0.473
695,0.32
696,0.533
697,0.2
698,0.64
699,0.4
700,0.313
701,0.34
702,0.413
703,0.233
704,0.533
705,0.533
706,0.54
707,0.58
708,0.407
709,0.347
710,0.493
711,0.44
712,0.4
713,0.767
714,0.14
715,0.36
716,0.393
717,0.527
718,0.487
719,0.48
720,0.153
721,0.54
722,0.133
723,0.507
724,0.473
725,0.693
726,0.533
727,0.18
728,0.5
729,0.613
730,0.647
731,0.387
732,0.387
733,0.84
734,0.433
735,0.5
736,0.653
737,0.427
738,0.187
739,0.44
740,0.453
741,0.707
742,0.813
743,0.787
744,0.287
745,0.387
746,0.587
747,0.133
748,0.64
749,0.84
750,0.56
751,0.373
752,0.327
753,0.64
754,0.687
755,0.407
756,0.473
757,0.153
758,0.493
759,0.5
760,0.653
761,0.527
762,0.16
763,0.5
764,0.127
765,0.24
766,0.827
767,0.42
768,0.487
769,0.293
770,0.56
771,0.667
772,0.48
773,0.473
774,0.527
775,0.54
776,0.48
777,0.293
778,0.827
779,0.6
780,0.12
781,0.473
782,0.08
783,0.14
784,0.553
785,0.387
786,0.46
787,0.753
788,0.66
789,0.453
790,0.333
791,0.493
792,0.767
793,0.373
794,0.34
795,0.507
796,0.64
797,0.873
798,0.147
799,0.56
800,0.84
801,0.533
802,0.887
803,0.56
804,0.94
805,0.367
806,0.607
807,0.56
808,0.173
809,0.587
810,0.453
811,0.347
812,0.42
813,0.407
814,0.453
815,0.52
816,0.487
817,0.627
818,0.413
819,0.453
820,0.44
821,0.48
822,0.373
823,0.4
824,0.233
825,0.307
826,0.553
827,0.493
828,0.66
829,0.153
830,0.32
831,0.793
832,0.52
833,0.553
834,0.667
835,0.447
836,0.567
837,0.173
838,0.4
839,0.633
840,0.68
841,0.54
842,0.333
843,0.08
844,0.333
845,0.873
846,0.567
847,0.453
848,0.527
849,0.393
850,0.42
851,0.393
852,0.487
853,0.46
854,0.473
855,0.82
856,0.793
857,0.12
858,0.653
859,0.493
860,0.493
861,0.233
862,0.12
863,0.84
864,0.393
865,0.527
866,0.8
867,0.42
868,0.5
869,0.427
870,0.52
871,0.567
872,0.56
873,0.473
874,0.48
875,0.167
876,0.36
877,0.2
878,0.433
879,0.607
880,0.693
881,0.413
882,0.433
883,0.54
884,0.887
885,0.493
886,0.46
887,0.453
888,0.44
889,0.34
890,0.167
891,0.233
892,0.647
893,0.56
894,0.44
895,0.6
896,0.56
897,0.813
898,0.647
899,0.453
900,0.4
901,0.693
902,0.42
903,0.567
904,0.387
905,0.493
906,0.4
907,0.5
908,0.487
909,0.62
910,0.567
911,0.5
912,0.6
913,0.567
914,0.533
915,0.4
916,0.353
917,0.5
918,0.607
919,0.76
920,0.373
921,0.547
922,0.4
923,0.733
924,0.44
925,0.473
926,0.413
927,0.4
928,0.427
929,0.407
930,0.147
931,0.307
932,0.4
933,0.42
934,0.487
935,0.627
936,0.24
937,0.727
938,0.673
939,0.587
940,0.86
941,0.147
942,0.473
943,0.38
944,0.44
945,0.44
946,0.36
947,0.673
948,0.407
949,0.44
950,0.4
951,0.847
952,0.433
953,0.74
954,0.54
955,0.793
956,0.487
957,0.473
958,0.473
959,0.133
960,0.427
961,0.613
962,0.48
963,0.92
964,0.587
965,0.9
966,0.487
967,0.76
968,0.467
969,0.353
970,0.493
971,0.76
972,0.113
973,0.453
974,0.88
975,0.787
976,0.193
977,0.4
978,0.6
979,0.407
980,0.873
981,0.627
982,0.407
983,0.327
984,0.567
985,0.173
986,0.14
987,0.487
988,0.507
989,0.567
990,0.32
991,0.153
992,0.393
993,0.88
994,0.68
995,0.493
996,0.447
997,0.88
998,0.48
999,0.6
1000,0.667
1001,0.507
1002,0.767
1003,0.533
1004,0.473
1005,0.46
1006,0.427
1007,0.387
1008,0.807
1009,0.753
1010,0.28
1011,0.653
1012,0.647
1013,0.56
1014,0.727
1015,0.147
1016,0.407
1017,0.427
1018,0.593
1019,0.46
1020,0.813
1021,0.747
1022,0.173
1023,0.173
1024,0.347
1025,0.513
1026,0.74
1027,0.607
1028,0.76
1029,0.393
1030,0.12
1031,0.453
1032,0.6
1033,0.173
1034,0.44
1035,0.447
1036,0.527
1037,0.433
1038,0.5
1039,0.133
1040,0.4
1041,0.493
1042,0.467
1043,0.607
1044,0.54
1045,0.467
1046,0.593
1047,0.513
1048,0.433
1049,0.747
1050,0.48
1051,0.347
1052,0.713
1053,0.527
1054,0.373
1055,0.787
1056,0.7
1057,0.853
1058,0.5
1059,0.407
1060,0.827
1061,0.5
1062,0.7
1063,0.433
1064,0.427
1065,0.56
1066,0.74
1067,0.247
1068,0.46
1069,0.833
1070,0.887
1071,0.433
1072,0.62
1073,0.213
1074,0.133
1075,0.773
1076,0.133
1077,0.187
1078,0.46
1079,0.38
1080,0.44
1081,0.4
1082,0.447
1083,0.647
1084,0.227
1085,0.4
1086,0.393
1087,0.44
1088,0.307
1089,0.533
1090,0.78
1091,0.42
1092,0.213
1093,0.5
1094,0.593
1095,0.507
1096,0.82
1097,0.507
1098,0.447
1099,0.693
1100,0.46
1101,0.793
1102,0.567
1103,0.467
1104,0.44
1105,0.433
1106,0.347
1107,0.82
1108,0.127
1109,0.593
1110,0.453
1111,0.427
1112,0.94
1113,0.52
1114,0.267
1115,0.56
1116,0.82
1117,0.38
1118,0.433
1119,0.507
1120,0.34
1121,0.5
1122,0.127
1123,0.153
1124,0.493
1125,0.573
1126,0.233
1127,0.293
1128,0.427
1129,0.72
1130,0.46
1131,0.367
1132,0.593
1133,0.387
1134,0.313
1135,0.327
1136,0.453
1137,0.773
1138,0.533
1139,0.407
1140,0.18
1141,0.393
1142,0.653
1143,0.74
1144,0.467
1145,0.807
1146,0.493
1147,0.12
1148,0.593
1149,0.413
1150,0.427
1151,0.36
1152,0.547
1153,0.653
1154,0.527
1155,0.72
1156,0.367
1157,0.5
1158,0.387
1159,0.913
1160,0.5
1161,0.447
1162,0.44
1163,0.127
1164,0.827
1165,0.74
1166,0.613
1167,0.56
1168,0.447
1169,0.86
1170,0.547
1171,0.487
1172,0.153
1173,0.547
1174,0.267
1175,0.427
1176,0.86
1177,0.447
1178,0.44
1179,0.38
1180,0.213
1181,0.707
1182,0.467
1183,0.42
1184,0.533
1185,0.7
1186,0.74
1187,0.52
1188,0.513
1189,0.393
1190,0.533
1191,0.58
1192,0.42
1193,0.813
1194,0.44
1195,0.827
1196,0.847
1197,0.36
1198,0.82
1199,0.54
1200,0.793
1201,0.867
1202,0.44
1203,0.46
1204,0.307
1205,0.487
1206,0.82
1207,0.687
1208,0.507
1209,0.513
1210,0.707
1211,0.787
1212,0.447
1213,0.673
1214,0.467
1215,0.433
1216,0.467
1217,0.673
1218,0.453
1219,0.567
1220,0.56
1221,0.233
1222,0.56
1223,0.24
1224,0.18
1225,0.553
1226,0.4
1227,0.447
1228,0.52
1229,0.493
1230,0.72
1231,0.467
1232,0.127
1233,0.733
1234,0.273
1235,0.633
1236,0.227
1237,0.607
1238,0.633
1239,0.36
1240,0.133
1241,0.653
1242,0.493
1243,0.487
1244,0.427
1245,0.713
1246,0.607
1247,0.72
1248,0.473
1249,0.853
1250,0.553
1251,0.56
1252,0.347
1253,0.513
1254,0.533
1255,0.413
1256,0.527
1257,0.553
1258,0.52
1259,0.18
1260,0.393
1261,0.467
1262,0.493
1263,0.24
1264,0.493
1265,0.513
1266,0.387
1267,0.407
1268,0.833
1269,0.76
1270,0.433
1271,0.447
1272,0.393
1273,0.4
1274,0.673
1275,0.413
1276,0.773
1277,0.707
1278,0.333
1279,0.42
1280,0.627
1281,0.68
1282,0.54
1283,0.507
1284,0.747
1285,0.24
1286,0.44
1287,0.44
1288,0.807
1289,0.18
1290,0.667
1291,0.5
1292,0.667
1293,0.447
1294,0.567
1295,0.56
1296,0.353
1297,0.587
1298,0.633
1299,0.387
1300,0.14
1301,0.213
1302,0.607
1303,0.88
1304,0.813
1305,0.7
1306,0.12
1307,0.66
1308,0.18
1309,0.707
1310,0.567
1311,0.333
1312,0.587
1313,0.547
1314,0.607
1315,0.507
1316,0.093
1317,0.427
1318,0.387
1319,0.693
1320,0.5
1321,0.24
1322,0.887
1323,0.607
