Point_ID,Output
1,0.52000
2,0.59000
3,0.22000
4,0.62000
5,0.42000
6,0.56000
7,0.57000
8,0.51000
9,0.47000
10,0.58000
11,0.88000
12,0.55000
13,0.85000
14,0.77000
15,0.57000
16,0.45000
17,0.49000
18,0.43000
19,0.55000
20,0.83000
21,0.51000
22,0.20000
23,0.61000
24,0.34000
25,0.55000
26,0.29000
27,0.45000
28,0.79000
29,0.38000
30,0.17000
31,0.44000
32,0.50000
33,0.50000
34,0.82000
35,0.68000
36,0.47000
37,0.83000
38,0.65000
39,0.17000
40,0.64000
41,0.51000
42,0.12000
43,0.59000
44,0.87000
45,0.45000
46,0.37000
47,0.44000
48,0.36000
49,0.45000
50,0.18000
51,0.64000
52,0.25000
53,0.52000
54,0.42000
55,0.61000
56,0.41000
57,0.42000
58,0.44000
59,0.42000
60,0.64000
61,0.34000
62,0.52000
63,0.82000
64,0.28000
65,0.51000
66,0.55000
67,0.59000
68,0.13000
69,0.91000
70,0.41000
71,0.19000
72,0.44000
73,0.50000
74,0.45000
75,0.22000
76,0.55000
77,0.65000
78,0.45000
79,0.53000
80,0.19000
81,0.55000
82,0.42000
83,0.48000
84,0.80000
85,0.17000
86,0.54000
87,0.51000
88,0.47000
89,0.54000
90,0.47000
91,0.52000
92,0.21000
93,0.54000
94,0.56000
95,0.84000
96,0.24000
97,0.54000
98,0.51000
99,0.83000
100,0.45000
101,0.58000
102,0.50000
103,0.16000
104,0.60000
105,0.41000
106,0.61000
107,0.83000
108,0.40000
109,0.91000
110,0.49000
111,0.45000
112,0.53000
113,0.45000
114,0.54000
115,0.42000
116,0.14000
117,0.89000
118,0.55000
119,0.55000
120,0.18000
121,0.41000
122,0.48000
123,0.52000
124,0.81000
125,0.45000
126,0.50000
127,0.50000
128,0.50000
129,0.48000
130,0.56000
131,0.78000
132,0.45000
133,0.48000
134,0.51000
135,0.50000
136,0.88000
137,0.40000
138,0.81000
139,0.37000
140,0.14000
141,0.44000
142,0.43000
143,0.15000
144,0.47000
145,0.57000
146,0.52000
147,0.87000
148,0.45000
149,0.16000
150,0.63000
151,0.68000
152,0.49000
153,0.46000
154,0.60000
155,0.45000
156,0.50000
157,0.59000
158,0.46000
159,0.80000
160,0.46000
161,0.81000
162,0.51000
163,0.56000
164,0.48000
165,0.37000
166,0.74000
167,0.38000
168,0.82000
169,0.48000
170,0.50000
171,0.62000
172,0.56000
173,0.37000
174,0.20000
175,0.19000
176,0.51000
177,0.61000
178,0.56000
179,0.57000
180,0.65000
181,0.56000
182,0.59000
183,0.84000
184,0.44000
185,0.67000
186,0.55000
187,0.45000
188,0.53000
189,0.52000
190,0.52000
191,0.42000
192,0.51000
193,0.67000
194,0.50000
195,0.52000
196,0.42000
197,0.52000
198,0.78000
199,0.56000
200,0.21000
201,0.57000
202,0.75000
203,0.62000
204,0.58000
205,0.56000
206,0.52000
207,0.47000
208,0.55000
209,0.45000
210,0.44000
211,0.44000
212,0.83000
213,0.59000
214,0.64000
215,0.68000
216,0.40000
217,0.47000
218,0.58000
219,0.46000
220,0.81000
221,0.42000
222,0.53000
223,0.49000
224,0.62000
225,0.57000
226,0.63000
227,0.38000
228,0.40000
229,0.52000
230,0.47000
231,0.59000
232,0.57000
233,0.41000
234,0.46000
235,0.30000
236,0.48000
237,0.57000
238,0.53000
239,0.37000
240,0.14000
241,0.61000
242,0.41000
243,0.60000
244,0.35000
245,0.42000
246,0.78000
247,0.57000
248,0.48000
249,0.42000
250,0.44000
251,0.54000
252,0.49000
253,0.52000
254,0.13000
255,0.51000
256,0.63000
257,0.88000
258,0.42000
259,0.45000
260,0.50000
261,0.59000
262,0.84000
263,0.70000
264,0.35000
265,0.47000
266,0.40000
267,0.46000
268,0.30000
269,0.50000
270,0.48000
271,0.66000
272,0.52000
273,0.37000
274,0.58000
275,0.82000
276,0.46000
277,0.55000
278,0.77000
279,0.50000
280,0.70000
281,0.50000
282,0.38000
283,0.78000
284,0.60000
285,0.45000
286,0.13000
287,0.56000
288,0.80000
289,0.46000
290,0.91000
291,0.64000
292,0.60000
293,0.56000
294,0.69000
295,0.15000
296,0.84000
297,0.20000
298,0.53000
299,0.23000
300,0.49000
301,0.52000
302,0.61000
303,0.16000
304,0.46000
305,0.21000
306,0.18000
307,0.56000
308,0.79000
309,0.48000
310,0.54000
311,0.48000
312,0.50000
313,0.57000
314,0.46000
315,0.42000
316,0.19000
317,0.41000
318,0.60000
319,0.87000
320,0.50000
321,0.46000
322,0.45000
