Point_ID,Output
1,0.179
2,0.917
3,0.388
4,0.272
5,0.695
6,0.85
7,0.443
8,0.401
9,0.691
10,0.301
11,0.399
12,0.33
13,0.164
14,0.431
15,0.363
16,0.388
17,0.409
18,0.621
19,0.332
20,0.611
21,0.752
22,0.633
23,0.327
24,0.776
25,0.447
26,0.698
27,0.5
28,0.668
29,0.903
30,0.277
31,0.449
32,0.768
33,0.498
34,0.3
35,0.305
36,0.523
37,0.35
38,0.282
39,0.824
40,0.56
41,0.403
42,0.341
43,0.268
44,0.439
45,0.73
46,0.905
47,0.537
48,0.768
49,0.808
50,0.508
51,0.876
52,0.425
53,0.597
54,0.315
55,0.813
56,0.837
57,0.948
58,0.874
59,0.441
60,0.56
61,0.68
62,0.605
63,0.415
64,0.272
65,0.506
66,0.706
67,0.068
68,0.585
69,0.744
70,0.173
71,0.323
72,0.924
73,0.521
74,0.259
75,0.395
76,0.215
77,0.263
78,0.595
79,0.287
80,0.209
81,0.339
82,0.7
83,0.907
84,0.386
85,0.819
86,0.859
87,0.754
88,0.635
89,0.391
90,0.433
91,0.443
92,0.403
93,0.257
94,0.601
95,0.374
96,0.95
97,0.593
98,0.209
99,0.365
100,0.682
101,0.874
102,0.768
103,0.683
104,0.063
105,0.695
106,0.661
107,0.771
108,0.149
109,0.393
110,0.54
111,0.749
112,0.33
113,0.619
114,0.088
115,0.875
116,0.663
117,0.274
118,0.449
119,0.31
120,0.403
121,0.548
122,0.467
123,0.435
124,0.542
125,0.872
126,0.498
127,0.508
128,0.262
129,0.554
130,0.531
131,0.162
132,0.546
133,0.911
134,0.357
135,0.413
136,0.148
137,0.473
138,0.544
139,0.721
140,0.758
141,0.754
142,0.687
143,0.633
144,0.666
145,0.23
146,0.212
147,0.279
148,0.128
149,0.938
150,0.081
151,0.082
152,0.486
153,0.839
154,0.154
155,0.238
156,0.825
157,0.54
158,0.89
159,0.38
160,0.718
161,0.37
162,0.554
163,0.138
164,0.666
165,0.97
166,0.401
167,0.76
168,0.682
169,0.56
170,0.245
171,0.268
172,0.621
173,0.791
174,0.695
175,0.969
176,0.475
177,0.248
178,0.123
179,0.369
180,0.531
181,0.341
182,0.348
183,0.647
184,0.449
185,0.629
186,0.274
187,0.805
188,0.346
189,0.725
190,0.33
191,0.832
192,0.334
193,0.367
194,0.197
195,0.386
196,0.879
197,0.188
198,0.879
199,0.603
200,0.517
201,0.149
202,0.739
203,0.739
204,0.119
205,0.148
206,0.38
207,0.35
208,0.325
209,0.607
210,0.923
211,0.31
212,0.352
213,0.615
214,0.25
215,0.144
216,0.76
217,0.427
218,0.382
219,0.827
220,0.354
221,0.918
222,0.702
223,0.798
224,0.137
225,0.575
226,0.311
227,0.585
228,0.245
229,0.595
230,0.433
231,0.068
232,0.339
233,0.702
234,0.226
235,0.492
236,0.421
237,0.901
238,0.627
239,0.08
240,0.305
241,0.645
242,0.783
243,0.33
244,0.718
245,0.13
246,0.573
247,0.508
248,0.878
249,0.647
250,0.161
251,0.323
252,0.87
253,0.492
254,0.581
255,0.542
256,0.723
257,0.296
258,0.97
259,0.749
260,0.496
261,0.182
262,0.274
263,0.365
264,0.5
265,0.537
266,0.35
267,0.757
268,0.84
269,0.156
270,0.094
271,0.027
272,0.585
273,0.631
274,0.5
275,0.486
276,0.226
277,0.359
278,0.672
279,0.437
280,0.301
281,0.895
282,0.932
283,0.218
284,0.685
285,0.918
286,0.883
287,0.613
288,0.429
289,0.421
290,0.241
291,0.282
292,0.881
293,0.651
294,0.126
295,0.655
296,0.641
297,0.676
298,0.635
299,0.704
300,0.449
301,0.33
302,0.827
303,0.467
304,0.827
305,0.914
306,0.469
307,0.31
308,0.441
309,0.506
310,0.263
311,0.115
312,0.72
313,0.287
314,0.409
315,0.716
316,0.797
317,0.3
318,0.407
319,0.31
320,0.336
321,0.322
322,0.758
323,0.597
324,0.5
325,0.378
326,0.629
327,0.477
328,0.194
329,0.477
330,0.792
331,0.14
332,0.583
333,0.571
334,0.244
335,0.282
336,0.546
337,0.494
338,0.443
339,0.566
340,0.172
341,0.415
342,0.354
343,0.685
344,0.647
345,0.635
346,0.835
347,0.554
348,0.496
349,0.845
350,0.23
351,0.589
352,0.73
353,0.457
354,0.525
355,0.863
356,0.903
357,0.535
358,0.435
359,0.213
360,0.427
361,0.76
362,0.629
363,0.447
364,0.295
365,0.282
366,0.844
367,0.544
368,0.488
369,0.419
370,0.809
371,0.513
372,0.244
373,0.363
374,0.631
375,0.199
376,0.269
377,0.31
378,0.533
379,0.227
380,0.122
381,0.35
382,0.797
383,0.744
384,0.26
385,0.172
386,0.218
387,0.635
388,0.637
389,0.212
390,0.098
391,0.589
392,0.735
393,0.871
394,0.19
395,0.928
396,0.205
397,0.867
398,0.32
399,0.303
400,0.833
401,0.611
402,0.933
403,0.513
404,0.95
405,0.257
406,0.747
407,0.529
408,0.338
409,0.155
410,0.749
411,0.857
412,0.621
413,0.515
414,0.199
415,0.153
416,0.858
417,0.813
418,0.546
419,0.475
420,0.629
421,0.631
422,0.647
423,0.758
424,0.405
425,0.421
426,0.527
427,0.155
428,0.859
429,0.405
430,0.552
431,0.786
432,0.345
433,0.481
434,0.854
435,0.346
436,0.357
437,0.978
438,0.32
439,0.804
440,0.118
441,0.253
442,0.922
443,0.212
444,0.631
445,0.749
446,0.569
447,0.916
448,0.735
449,0.457
450,0.893
451,0.783
452,0.801
453,0.763
454,0.73
455,0.825
456,0.275
457,0.668
458,0.245
459,0.417
460,0.111
461,0.459
462,0.112
463,0.325
464,0.716
465,0.942
466,0.096
467,0.668
468,0.254
469,0.665
470,0.523
471,0.357
472,0.506
473,0.227
474,0.484
475,0.933
476,0.1
477,0.32
478,0.665
479,0.601
480,0.405
481,0.195
482,0.809
483,0.067
484,0.573
485,0.714
486,0.465
487,0.298
488,0.739
489,0.73
490,0.589
491,0.195
492,0.415
493,0.341
494,0.287
495,0.879
496,0.37
497,0.913
498,0.484
499,0.728
500,0.459
501,0.336
502,0.579
503,0.647
504,0.225
505,0.623
506,0.698
507,0.111
508,0.513
509,0.399
510,0.824
511,0.88
512,0.459
513,0.627
514,0.399
515,0.018
516,0.417
517,0.473
518,0.338
519,0.445
520,0.356
521,0.631
522,0.859
523,0.928
524,0.597
525,0.623
526,0.31
527,0.786
528,0.76
529,0.953
530,0.209
531,0.742
532,0.19
533,0.523
534,0.194
535,0.089
536,0.521
537,0.76
538,0.417
539,0.488
540,0.682
541,0.537
542,0.605
543,0.523
544,0.098
545,0.807
546,0.713
547,0.245
548,0.709
549,0.378
550,0.481
551,0.546
552,0.26
553,0.336
554,0.279
555,0.631
556,0.902
557,0.827
558,0.88
559,0.106
560,0.24
561,0.272
562,0.127
563,0.823
564,0.629
565,0.815
566,0.341
567,0.585
568,0.533
569,0.205
570,0.821
571,0.891
572,0.954
573,0.173
574,0.804
575,0.167
576,0.149
577,0.737
578,0.443
579,0.905
580,0.838
581,0.682
582,0.625
583,0.437
584,0.146
585,0.579
586,0.473
587,0.653
588,0.627
589,0.486
590,0.389
591,0.633
592,0.794
593,0.244
594,0.253
595,0.903
596,0.287
597,0.811
598,0.899
599,0.374
600,0.339
601,0.68
602,0.982
603,0.639
604,0.303
605,0.128
606,0.655
607,0.127
608,0.407
609,0.683
610,0.318
611,0.06
612,0.288
613,0.496
614,0.562
615,0.735
616,0.411
617,0.461
618,0.238
619,0.204
620,0.655
621,0.907
622,0.907
623,0.293
