inst#	actual	predicted	error	distribution	
1	2:1	1:0	+	0.821	0.179
2	1:0	2:1	+	0.083	*0.917
3	1:0	1:0		*0.612	0.388
4	1:0	1:0		*0.728	0.272
5	1:0	2:1	+	0.305	*0.695
6	1:0	2:1	+	0.15	*0.85
7	1:0	1:0		*0.557	0.443
8	1:0	1:0		*0.599	0.401
9	1:0	2:1	+	0.309	*0.691
10	1:0	1:0		*0.699	0.301
11	1:0	1:0		*0.601	0.399
12	1:0	1:0		*0.67	0.33
13	1:0	1:0		*0.836	0.164
14	1:0	1:0		*0.569	0.431
15	1:0	1:0		*0.637	0.363
16	1:0	1:0		*0.612	0.388
17	1:0	1:0		*0.591	0.409
18	1:0	2:1	+	0.379	*0.621
19	1:0	1:0		*0.668	0.332
20	1:0	2:1	+	0.389	*0.611
21	1:0	2:1	+	0.248	*0.752
22	1:0	2:1	+	0.367	*0.633
23	1:0	1:0		*0.673	0.327
24	1:0	2:1	+	0.224	*0.776
25	1:0	1:0		*0.553	0.447
26	1:0	2:1	+	0.302	*0.698
27	1:0	2:1	+	0.5	*0.5
28	1:0	2:1	+	0.332	*0.668
29	1:0	2:1	+	0.097	*0.903
30	1:0	1:0		*0.723	0.277
31	1:0	1:0		*0.551	0.449
32	1:0	2:1	+	0.232	*0.768
33	1:0	1:0		*0.502	0.498
34	1:0	1:0		*0.7	0.3
35	1:0	1:0		*0.695	0.305
36	1:0	2:1	+	0.477	*0.523
37	1:0	1:0		*0.65	0.35
38	1:0	1:0		*0.718	0.282
39	1:0	2:1	+	0.176	*0.824
40	1:0	2:1	+	0.44	*0.56
41	1:0	1:0		*0.597	0.403
42	1:0	1:0		*0.659	0.341
43	1:0	1:0		*0.732	0.268
44	1:0	1:0		*0.561	0.439
45	1:0	2:1	+	0.27	*0.73
46	1:0	2:1	+	0.095	*0.905
47	1:0	2:1	+	0.463	*0.537
48	1:0	2:1	+	0.232	*0.768
49	1:0	2:1	+	0.192	*0.808
50	1:0	2:1	+	0.492	*0.508
51	1:0	2:1	+	0.124	*0.876
52	1:0	1:0		*0.575	0.425
53	1:0	2:1	+	0.403	*0.597
54	1:0	1:0		*0.685	0.315
