Point_ID,Output
1,0.50282
2,0.50306
3,0.50054
4,0.50051
5,0.49740
6,0.49850
7,0.50125
8,0.50157
9,0.49918
10,0.50382
11,0.50592
12,0.50209
13,0.50327
14,0.50163
15,0.50120
16,0.49424
17,0.50189
18,0.49700
19,0.50431
20,0.50572
21,0.50088
22,0.49977
23,0.49967
24,0.49633
25,0.50079
26,0.49761
27,0.49912
28,0.49922
29,0.49620
30,0.49854
31,0.49705
32,0.49748
33,0.50268
34,0.50144
35,0.50238
36,0.50076
37,0.50214
38,0.50283
39,0.50068
40,0.49915
41,0.49851
42,0.49888
43,0.49828
44,0.50588
45,0.49922
46,0.49721
47,0.49976
48,0.49956
49,0.49925
50,0.50066
51,0.50142
52,0.49841
53,0.50007
54,0.50077
55,0.50030
56,0.49610
57,0.49955
58,0.50096
59,0.50175
60,0.50332
61,0.49733
62,0.50238
63,0.50089
64,0.49411
65,0.49668
66,0.50224
67,0.50425
68,0.49949
69,0.50150
70,0.49999
71,0.49489
72,0.49804
73,0.49839
74,0.50451
75,0.49999
76,0.50075
77,0.50430
78,0.50216
79,0.49931
80,0.49945
81,0.50048
82,0.49908
83,0.49767
84,0.50237
85,0.49898
86,0.50326
87,0.49813
88,0.49920
89,0.50083
90,0.49747
91,0.50119
92,0.49551
93,0.50051
94,0.50120
95,0.50206
96,0.49515
97,0.50025
98,0.49762
99,0.50468
100,0.50096
101,0.49630
102,0.49748
103,0.49835
104,0.49574
105,0.49829
106,0.50128
107,0.50135
108,0.49782
109,0.50116
110,0.50628
111,0.49324
112,0.50141
113,0.49847
114,0.50113
115,0.49754
116,0.49561
117,0.54888
118,0.49930
119,0.50212
120,0.50037
121,0.49638
122,0.49605
123,0.49928
124,0.50043
125,0.49672
126,0.49998
127,0.54450
128,0.49795
129,0.49878
130,0.49939
131,0.50132
132,0.49957
133,0.49843
134,0.50091
135,0.50001
136,0.50142
137,0.50031
138,0.50215
139,0.49332
140,0.49854
141,0.49820
142,0.50036
143,0.49577
144,0.49786
145,0.49808
146,0.54521
147,0.50212
148,0.49993
149,0.49859
150,0.49707
151,0.50109
152,0.49609
153,0.49840
154,0.50429
155,0.50108
156,0.50152
157,0.50590
158,0.50140
159,0.50267
160,0.49755
161,0.50107
162,0.49680
163,0.50281
164,0.50063
165,0.49625
166,0.50374
167,0.49617
168,0.50121
169,0.50068
170,0.49826
171,0.49757
172,0.50359
173,0.49971
174,0.49937
175,0.49732
176,0.50071
177,0.50340
178,0.49879
179,0.54671
180,0.50153
181,0.50282
182,0.50576
183,0.49934
184,0.49705
185,0.50262
186,0.50112
187,0.49720
188,0.50264
189,0.50090
190,0.49916
191,0.50120
192,0.50168
193,0.50122
194,0.50260
195,0.49992
196,0.49747
197,0.50103
198,0.50354
199,0.54704
200,0.49630
201,0.50095
202,0.49887
203,0.50087
204,0.49964
205,0.49876
206,0.49826
207,0.49942
208,0.50149
209,0.50105
210,0.54106
211,0.49775
212,0.50288
213,0.50235
214,0.50076
215,0.50331
216,0.49812
217,0.50032
218,0.49942
219,0.49802
220,0.50122
221,0.49907
222,0.50272
223,0.49905
224,0.50245
225,0.49896
226,0.50264
227,0.49894
228,0.49858
229,0.50377
230,0.49747
231,0.50425
232,0.49819
233,0.49529
234,0.49722
235,0.49820
236,0.49834
237,0.49914
238,0.49795
239,0.49399
240,0.49900
241,0.50030
242,0.49721
243,0.50214
244,0.49932
245,0.50070
246,0.50162
247,0.50070
248,0.49732
249,0.49801
250,0.49910
251,0.49837
252,0.50318
253,0.50150
254,0.49660
255,0.50003
256,0.49636
257,0.50189
258,0.49675
259,0.49324
260,0.50163
261,0.50186
262,0.50182
263,0.50553
264,0.49399
265,0.49993
266,0.49754
267,0.50118
268,0.50004
269,0.50171
270,0.50033
271,0.50422
272,0.49742
273,0.49616
274,0.49793
275,0.49937
276,0.49722
277,0.50196
278,0.49935
279,0.50391
280,0.50361
281,0.49664
282,0.49671
283,0.50344
284,0.50184
285,0.49872
286,0.49816
287,0.50222
288,0.50085
289,0.49858
290,0.50271
291,0.50404
292,0.50043
293,0.50162
294,0.50397
295,0.49810
296,0.50039
297,0.49807
298,0.50223
299,0.49359
300,0.49953
301,0.50281
302,0.50474
303,0.49694
304,0.49700
305,0.49290
306,0.49740
307,0.49911
308,0.50100
309,0.50376
310,0.50021
311,0.49660
312,0.49862
313,0.50514
314,0.49893
315,0.49467
316,0.49297
317,0.50194
318,0.50160
319,0.50035
320,0.50345
321,0.49877
322,0.50026
323,0.50429
324,0.49868
325,0.49578
326,0.50345
327,0.50118
328,0.50717
329,0.50276
330,0.50341
331,0.50059
332,0.50351
333,0.49256
334,0.49914
335,0.50099
336,0.49528
337,0.50264
338,0.50170
339,0.49969
340,0.50154
341,0.49310
342,0.49963
343,0.50098
344,0.50382
345,0.50104
346,0.49729
347,0.49942
348,0.50163
349,0.50058
350,0.50082
351,0.50224
352,0.50198
353,0.49925
354,0.49909
355,0.49878
356,0.50038
357,0.49836
358,0.50285
359,0.49929
360,0.50172
361,0.49744
362,0.50264
363,0.50153
364,0.50035
365,0.50171
366,0.49787
367,0.50348
368,0.54020
369,0.50091
370,0.49291
371,0.49893
372,0.49886
373,0.50120
374,0.49979
375,0.49842
376,0.50181
377,0.49563
378,0.50412
379,0.49829
380,0.50165
381,0.49983
382,0.49936
383,0.49869
384,0.50757
385,0.50251
386,0.49104
387,0.49534
388,0.50008
389,0.50213
390,0.50060
391,0.49879
392,0.54631
393,0.49668
394,0.50299
395,0.49563
396,0.50284
397,0.50055
398,0.50224
399,0.49512
400,0.50119
401,0.50027
402,0.49930
403,0.50349
404,0.49515
405,0.50051
406,0.50080
407,0.50410
408,0.49988
409,0.50090
410,0.49840
411,0.50064
412,0.49576
413,0.50101
414,0.49822
415,0.50095
416,0.50078
417,0.50030
418,0.50106
419,0.50080
420,0.50170
421,0.49635
422,0.50186
423,0.50026
424,0.49896
425,0.49858
426,0.49953
427,0.49912
428,0.49865
429,0.49975
430,0.50083
431,0.49709
432,0.49922
433,0.49977
434,0.49628
435,0.50561
436,0.49892
437,0.50016
438,0.49922
439,0.49852
440,0.50654
441,0.50310
442,0.49739
443,0.50268
444,0.49905
445,0.50266
446,0.49884
447,0.49512
448,0.49689
449,0.50071
450,0.50106
451,0.49838
452,0.50134
453,0.49867
454,0.49922
455,0.49749
456,0.49963
457,0.50067
458,0.50073
459,0.49754
460,0.49607
461,0.49592
462,0.50270
463,0.50228
464,0.49568
465,0.49674
466,0.50053
467,0.49825
468,0.49927
469,0.49903
470,0.50399
471,0.49959
472,0.50420
473,0.50587
474,0.50177
475,0.49773
476,0.50000
477,0.50170
478,0.49398
479,0.50120
480,0.50107
481,0.50079
482,0.49918
483,0.50451
484,0.49304
485,0.49880
486,0.49922
487,0.50151
488,0.49880
489,0.49894
490,0.49912
491,0.50019
492,0.49827
493,0.50078
494,0.50210
495,0.49770
496,0.50096
497,0.50265
498,0.50440
499,0.50106
500,0.49571
501,0.50083
502,0.50059
503,0.49698
504,0.49643
505,0.50209
506,0.49761
507,0.49981
508,0.50361
509,0.49904
510,0.49697
511,0.50073
512,0.50045
513,0.50202
514,0.50246
515,0.50022
516,0.53865
517,0.50052
518,0.50005
519,0.49937
520,0.50078
521,0.49668
522,0.49671
523,0.49743
524,0.49580
525,0.50284
526,0.50190
527,0.49923
528,0.49790
529,0.49505
530,0.50102
531,0.49668
532,0.50319
533,0.49931
534,0.50165
535,0.50282
536,0.49932
537,0.49879
538,0.50302
539,0.49697
540,0.50121
541,0.50039
542,0.49910
543,0.49977
544,0.49838
545,0.49772
546,0.50054
547,0.50301
548,0.50226
549,0.50172
550,0.49365
551,0.49957
552,0.49863
553,0.50033
554,0.49860
555,0.49905
556,0.49854
557,0.49889
558,0.49907
559,0.50504
560,0.50403
561,0.50321
562,0.49998
563,0.49987
564,0.49847
565,0.49809
566,0.49943
567,0.50078
568,0.50358
569,0.50347
570,0.50148
571,0.49760
572,0.49758
573,0.50494
574,0.49909
575,0.50482
576,0.49633
577,0.50012
578,0.50431
579,0.49721
580,0.49940
581,0.50161
582,0.49844
583,0.49880
584,0.50000
585,0.50151
586,0.50055
587,0.50293
588,0.50202
589,0.50005
590,0.50300
591,0.50196
592,0.49532
593,0.50137
594,0.50033
595,0.49620
596,0.50159
597,0.49991
598,0.49955
599,0.50179
600,0.50266
601,0.49527
602,0.50224
603,0.50156
604,0.50208
605,0.50287
606,0.49727
607,0.50883
608,0.50061
609,0.49806
610,0.50141
611,0.50167
612,0.49894
613,0.50031
614,0.49926
615,0.54631
616,0.50121
617,0.50070
618,0.50064
619,0.49898
620,0.50234
621,0.49818
622,0.50225
623,0.49773
624,0.49865
625,0.49886
626,0.50105
627,0.50086
628,0.49589
629,0.49838
630,0.50258
631,0.49907
632,0.50515
633,0.49913
634,0.50282
635,0.49652
636,0.49983
637,0.49958
638,0.50898
639,0.50017
640,0.49943
641,0.50255
642,0.50016
643,0.50445
644,0.50024
645,0.49798
646,0.50528
647,0.54671
648,0.50771
649,0.49962
650,0.49501
651,0.49741
652,0.50249
653,0.50020
654,0.49640
655,0.49798
656,0.49628
657,0.50153
658,0.49612
659,0.49810
660,0.50096
661,0.50231
662,0.50030
663,0.49906
664,0.50108
665,0.50449
666,0.50451
667,0.50202
668,0.49949
669,0.50181
670,0.49929
671,0.49565
672,0.49832
673,0.49974
674,0.49863
675,0.50318
676,0.50172
677,0.50385
678,0.49784
679,0.50395
680,0.49926
681,0.49731
682,0.49672
683,0.50210
684,0.50002
685,0.50194
686,0.50298
687,0.49269
688,0.49731
689,0.49781
690,0.50321
691,0.50898
692,0.50073
693,0.50107
694,0.49783
695,0.49730
696,0.50083
697,0.54316
698,0.50014
699,0.50005
700,0.50188
701,0.50207
702,0.49819
703,0.49877
704,0.50138
705,0.50257
706,0.49879
707,0.49744
708,0.50018
709,0.50130
710,0.49993
711,0.50586
712,0.50030
713,0.49704
714,0.50195
715,0.49967
716,0.50153
717,0.49851
718,0.50027
719,0.54703
720,0.50026
721,0.49760
722,0.50583
723,0.49918
724,0.49956
725,0.49775
726,0.49778
727,0.49979
728,0.50142
729,0.50080
730,0.49676
731,0.50206
732,0.50267
733,0.49830
734,0.50367
735,0.49995
736,0.49961
737,0.50488
738,0.50406
739,0.49794
740,0.49728
741,0.49866
742,0.49720
743,0.50160
744,0.49892
745,0.49989
746,0.50014
747,0.49941
748,0.49839
749,0.49686
750,0.50266
751,0.50083
752,0.49939
753,0.50028
754,0.50024
755,0.50218
756,0.49659
757,0.49948
758,0.50301
759,0.50104
760,0.50307
761,0.49982
762,0.50110
763,0.50399
764,0.50116
765,0.50330
766,0.49716
767,0.49920
768,0.50061
769,0.50404
770,0.50225
771,0.49327
772,0.50018
773,0.49873
774,0.49753
775,0.50051
776,0.49479
777,0.50431
778,0.50032
779,0.49867
780,0.50426
781,0.50101
782,0.50279
783,0.50703
784,0.49776
785,0.50033
786,0.49971
787,0.49932
788,0.50224
789,0.50089
790,0.50158
791,0.50089
792,0.49721
793,0.50235
794,0.50018
795,0.49912
796,0.50131
797,0.49482
798,0.50135
799,0.49691
800,0.49958
801,0.50147
802,0.49886
803,0.50046
804,0.49546
805,0.50264
806,0.50267
807,0.49773
808,0.50242
809,0.50442
810,0.50766
811,0.50124
812,0.49951
813,0.49785
814,0.50089
815,0.50129
816,0.49940
817,0.49611
818,0.49942
819,0.49968
820,0.50029
821,0.50022
822,0.50350
823,0.49924
824,0.50323
825,0.49948
826,0.54711
827,0.49720
828,0.49713
829,0.50290
830,0.50266
831,0.49800
832,0.50060
833,0.49901
834,0.49908
835,0.49747
836,0.49617
837,0.49939
838,0.49916
839,0.50042
840,0.49866
841,0.50051
842,0.50035
843,0.50162
844,0.50086
845,0.49794
846,0.49949
847,0.50202
848,0.50188
849,0.49744
850,0.50382
851,0.50472
852,0.50154
853,0.50426
854,0.50024
855,0.50133
856,0.49896
857,0.50175
858,0.49784
859,0.49705
860,0.50122
861,0.50092
862,0.50248
863,0.49820
864,0.50070
865,0.49977
866,0.49890
867,0.50169
868,0.50328
869,0.49695
870,0.50052
871,0.49574
872,0.50208
873,0.49912
874,0.49844
875,0.50382
876,0.50151
877,0.50200
878,0.50096
879,0.49780
880,0.49637
881,0.49862
882,0.49901
883,0.49827
884,0.49892
885,0.50044
886,0.50174
887,0.50001
888,0.49919
889,0.50310
890,0.50254
891,0.49936
892,0.50198
893,0.50154
894,0.50182
895,0.49894
896,0.49845
897,0.49401
898,0.49261
899,0.50081
900,0.50144
901,0.49842
902,0.49939
903,0.49574
904,0.50680
905,0.49990
906,0.50191
907,0.49604
908,0.49826
909,0.49482
910,0.50281
911,0.49924
912,0.49732
913,0.49910
914,0.49778
915,0.50130
916,0.50161
917,0.49849
918,0.49841
919,0.50212
920,0.50002
921,0.49320
922,0.49778
923,0.49981
924,0.50270
925,0.50403
926,0.50461
927,0.49807
928,0.49766
929,0.49808
930,0.50222
931,0.49971
932,0.50169
933,0.50026
934,0.54422
935,0.49740
936,0.50007
937,0.50144
938,0.49628
939,0.49996
940,0.49842
941,0.50514
942,0.54452
943,0.50202
944,0.50250
945,0.49669
946,0.50041
947,0.49894
948,0.50142
949,0.50576
950,0.49875
951,0.49877
952,0.49880
953,0.49608
954,0.50282
955,0.49949
956,0.50241
957,0.49891
958,0.49933
959,0.50145
960,0.49934
961,0.49708
962,0.49825
963,0.49437
964,0.49940
965,0.49941
966,0.49992
967,0.50194
968,0.49966
969,0.50061
970,0.49882
971,0.49791
972,0.50081
973,0.49509
974,0.49811
975,0.49910
976,0.50024
977,0.49892
978,0.49691
979,0.50010
980,0.49509
981,0.49740
982,0.50196
983,0.50159
984,0.49469
985,0.50019
986,0.50340
987,0.49966
988,0.49697
989,0.49786
990,0.50183
991,0.49980
992,0.50540
993,0.49893
994,0.50000
995,0.49720
996,0.49759
997,0.49660
998,0.49806
999,0.50306
1000,0.49487
1001,0.50174
1002,0.49764
1003,0.50198
1004,0.50403
1005,0.50174
1006,0.50140
1007,0.49863
1008,0.49645
1009,0.49777
1010,0.50235
1011,0.49773
1012,0.49658
1013,0.50106
1014,0.49943
1015,0.50161
1016,0.49850
1017,0.49957
1018,0.49978
1019,0.49583
1020,0.49602
1021,0.49751
1022,0.50053
1023,0.50196
1024,0.50355
1025,0.49991
1026,0.49649
1027,0.49647
1028,0.49849
1029,0.50194
1030,0.50080
1031,0.49904
1032,0.50031
1033,0.49988
1034,0.50270
1035,0.50489
1036,0.50317
1037,0.49834
1038,0.49979
1039,0.54580
1040,0.49977
1041,0.50378
1042,0.49915
1043,0.50217
1044,0.49888
1045,0.49620
1046,0.50309
1047,0.49592
1048,0.50096
1049,0.50035
1050,0.54430
1051,0.50325
1052,0.49450
1053,0.53915
1054,0.49875
1055,0.49822
1056,0.50120
1057,0.49562
1058,0.49976
1059,0.50166
1060,0.49454
1061,0.49626
1062,0.50054
1063,0.49952
1064,0.49989
1065,0.50040
1066,0.49869
1067,0.50258
1068,0.49835
1069,0.49750
1070,0.49749
1071,0.49686
1072,0.49948
1073,0.50045
1074,0.50225
1075,0.49677
1076,0.50365
1077,0.50134
1078,0.49917
1079,0.50200
1080,0.49910
1081,0.49800
1082,0.49436
1083,0.49747
1084,0.49831
1085,0.50225
1086,0.50007
1087,0.49910
1088,0.50535
1089,0.50013
1090,0.53929
1091,0.49657
1092,0.50438
1093,0.49626
1094,0.49594
1095,0.50042
1096,0.49980
1097,0.49837
1098,0.50004
1099,0.49474
1100,0.49976
1101,0.49801
1102,0.49703
1103,0.49926
1104,0.50169
1105,0.50230
1106,0.50429
1107,0.49695
1108,0.50412
1109,0.50099
1110,0.50081
1111,0.50108
1112,0.49907
1113,0.50138
1114,0.50063
1115,0.49857
1116,0.49719
1117,0.49836
1118,0.50123
1119,0.50088
1120,0.50310
1121,0.49863
1122,0.50119
1123,0.50106
1124,0.50033
1125,0.50183
1126,0.49916
1127,0.50079
1128,0.50208
1129,0.50191
1130,0.49924
1131,0.50361
1132,0.49680
1133,0.50326
1134,0.50430
1135,0.50553
1136,0.50025
1137,0.49618
1138,0.50059
1139,0.50359
1140,0.50133
1141,0.49942
1142,0.49701
1143,0.49897
1144,0.50017
1145,0.49919
1146,0.49654
1147,0.50369
1148,0.50074
1149,0.50447
1150,0.49985
1151,0.49915
1152,0.49911
1153,0.50167
1154,0.49514
1155,0.49426
1156,0.50214
1157,0.50330
1158,0.49895
1159,0.49559
1160,0.49987
1161,0.49599
1162,0.50137
1163,0.50125
1164,0.49738
1165,0.49467
1166,0.49800
1167,0.49709
1168,0.49957
1169,0.49705
1170,0.49925
1171,0.49878
1172,0.50333
1173,0.50044
1174,0.49782
1175,0.49924
1176,0.49996
1177,0.50142
1178,0.49711
1179,0.50075
1180,0.50163
1181,0.49461
1182,0.50450
1183,0.50426
1184,0.49826
1185,0.49514
1186,0.49921
1187,0.50266
1188,0.49782
1189,0.50547
1190,0.50021
1191,0.49744
1192,0.49976
1193,0.49802
1194,0.50031
1195,0.49758
1196,0.49566
1197,0.50041
1198,0.49267
1199,0.50093
1200,0.50176
1201,0.49687
1202,0.50182
1203,0.50262
1204,0.50002
1205,0.50102
1206,0.49936
1207,0.49623
1208,0.50395
1209,0.49862
1210,0.49778
1211,0.50042
1212,0.50157
1213,0.50059
1214,0.49706
1215,0.50115
1216,0.50278
1217,0.50235
1218,0.49903
1219,0.50396
1220,0.49756
1221,0.50011
1222,0.50213
1223,0.49831
1224,0.49861
1225,0.50176
1226,0.50042
1227,0.50101
1228,0.49924
1229,0.50145
1230,0.50265
1231,0.50142
1232,0.50260
1233,0.49612
1234,0.50383
1235,0.50210
1236,0.49999
1237,0.50217
1238,0.49598
1239,0.50258
1240,0.50402
1241,0.49421
1242,0.50329
1243,0.50132
1244,0.49991
1245,0.49793
1246,0.50056
1247,0.49921
1248,0.50014
1249,0.49953
1250,0.49897
1251,0.50032
1252,0.50662
1253,0.50275
1254,0.50140
1255,0.50061
1256,0.49906
1257,0.49201
1258,0.50005
1259,0.50150
1260,0.49619
1261,0.49865
1262,0.50100
1263,0.50330
1264,0.49883
1265,0.49916
1266,0.50279
1267,0.49953
1268,0.49862
1269,0.49701
1270,0.50319
1271,0.49975
1272,0.50284
1273,0.49901
1274,0.50032
1275,0.50218
1276,0.49591
1277,0.50200
1278,0.50316
1279,0.50249
1280,0.50091
1281,0.50135
1282,0.49843
1283,0.50017
1284,0.49822
1285,0.50198
1286,0.50150
1287,0.49963
1288,0.49876
1289,0.50163
1290,0.49817
1291,0.49604
1292,0.50106
1293,0.50146
1294,0.50141
1295,0.49902
1296,0.49834
1297,0.50035
1298,0.50078
1299,0.50247
1300,0.50316
1301,0.50152
1302,0.50174
1303,0.49888
1304,0.49817
1305,0.49548
1306,0.50223
1307,0.49523
1308,0.50186
1309,0.49600
1310,0.49763
1311,0.50337
1312,0.50118
1313,0.49940
1314,0.50000
1315,0.50129
1316,0.49925
1317,0.50646
1318,0.49984
1319,0.49723
1320,0.49889
1321,0.50036
1322,0.49392
1323,0.49909
1324,0.50170
1325,0.49323
1326,0.49978
1327,0.50153
1328,0.50190
1329,0.49129
1330,0.49506
1331,0.49861
1332,0.50242
1333,0.50268
1334,0.47247
1335,0.49980
1336,0.50475
1337,0.49925
1338,0.50234
1339,0.50518
1340,0.50086
1341,0.50078
1342,0.49989
1343,0.49832
1344,0.50103
1345,0.49803
1346,0.50440
1347,0.50028
1348,0.49720
1349,0.49776
1350,0.49439
1351,0.50213
1352,0.49925
1353,0.49761
1354,0.49948
1355,0.50278
1356,0.49944
1357,0.49727
1358,0.49310
1359,0.49590
1360,0.50124
1361,0.49930
1362,0.49871
1363,0.50367
1364,0.50318
1365,0.49890
1366,0.50031
1367,0.49859
1368,0.49754
1369,0.50457
1370,0.50209
1371,0.49820
1372,0.50516
1373,0.50048
1374,0.50265
1375,0.50189
1376,0.49824
1377,0.50243
1378,0.50032
1379,0.49850
1380,0.49910
1381,0.50359
1382,0.50363
1383,0.49994
1384,0.49883
1385,0.49875
1386,0.49734
1387,0.49665
1388,0.49798
1389,0.50152
1390,0.50199
1391,0.50354
1392,0.50179
1393,0.49663
1394,0.50041
1395,0.49674
1396,0.49521
1397,0.50107
1398,0.50316
1399,0.49770
1400,0.50107
1401,0.49918
1402,0.49912
1403,0.49696
1404,0.49755
1405,0.50224
1406,0.49858
1407,0.50267
1408,0.49969
1409,0.49909
1410,0.49918
1411,0.49528
1412,0.49856
1413,0.50003
1414,0.50154
1415,0.50045
1416,0.50032
1417,0.50145
1418,0.50293
1419,0.50011
1420,0.50084
1421,0.49728
1422,0.50696
1423,0.50264
1424,0.49737
1425,0.49485
1426,0.50170
1427,0.49700
1428,0.50119
1429,0.50237
1430,0.49879
1431,0.50276
1432,0.50430
1433,0.50299
1434,0.50317
1435,0.49947
1436,0.50227
1437,0.50271
1438,0.50373
1439,0.49642
1440,0.50103
1441,0.50218
1442,0.49968
1443,0.50226
1444,0.49731
1445,0.50115
1446,0.50181
1447,0.49911
1448,0.50060
1449,0.50110
1450,0.50125
1451,0.50170
1452,0.49772
1453,0.49914
1454,0.50186
1455,0.50086
1456,0.50054
1457,0.50080
1458,0.49788
1459,0.49980
1460,0.49490
1461,0.50041
1462,0.49993
1463,0.49731
1464,0.49592
1465,0.49654
1466,0.49831
1467,0.50183
1468,0.50612
1469,0.50048
1470,0.49753
1471,0.49928
1472,0.49785
1473,0.50426
1474,0.49895
1475,0.50031
1476,0.49672
1477,0.50088
1478,0.50148
1479,0.49663
1480,0.54385
1481,0.49969
1482,0.50203
1483,0.49692
1484,0.49759
1485,0.49621
1486,0.49915
1487,0.49103
1488,0.50122
