@relation reduce_train_py-weka.filters.unsupervised.attribute.NumericToNominal-Rlast

@attribute Feature1 numeric
@attribute Feature2 numeric
@attribute Feature3 numeric
@attribute Feature4 numeric
@attribute Feature5 numeric
@attribute Feature6 numeric
@attribute Feature7 numeric
@attribute Feature8 numeric
@attribute Feature9 numeric
@attribute Feature10 numeric
@attribute Feature11 numeric
@attribute Feature12 numeric
@attribute Feature13 numeric
@attribute Feature14 numeric
@attribute Feature15 numeric
@attribute Feature16 numeric
@attribute Feature17 numeric
@attribute Feature18 numeric
@attribute Feature19 numeric
@attribute Feature20 numeric
@attribute Feature21 numeric
@attribute Feature22 numeric
@attribute Feature23 numeric
@attribute Feature24 numeric
@attribute Feature25 numeric
@attribute Feature26 numeric
@attribute Feature27 numeric
@attribute Feature28 numeric
@attribute Feature29 numeric
@attribute Feature30 numeric
@attribute Feature31 numeric
@attribute Feature32 numeric
@attribute Feature33 numeric
@attribute Feature34 numeric
@attribute Feature35 numeric
@attribute Feature36 numeric
@attribute Feature37 numeric
@attribute Feature38 numeric
@attribute Feature39 numeric
@attribute Feature40 numeric
@attribute Feature41 numeric
@attribute Feature42 numeric
@attribute Feature43 numeric
@attribute Feature44 numeric
@attribute Feature45 numeric
@attribute Feature46 numeric
@attribute Feature47 numeric
@attribute Feature48 numeric
@attribute Feature49 numeric
@attribute Feature50 numeric
@attribute Feature51 numeric
@attribute Feature52 numeric
@attribute Feature53 numeric
@attribute Feature54 numeric
@attribute Feature55 numeric
@attribute Feature56 numeric
@attribute Feature57 numeric
@attribute Feature58 numeric
@attribute Feature59 numeric
@attribute Feature60 numeric
@attribute Feature61 numeric
@attribute Feature62 numeric
@attribute Feature63 numeric
@attribute Feature64 numeric
@attribute Feature65 numeric
@attribute Feature66 numeric
@attribute Feature67 numeric
@attribute Feature68 numeric
@attribute Feature69 numeric
@attribute Feature70 numeric
@attribute Feature71 numeric
@attribute Feature72 numeric
@attribute Feature73 numeric
@attribute Feature74 numeric
@attribute Feature75 numeric
@attribute Feature76 numeric
@attribute Feature77 numeric
@attribute Feature78 numeric
@attribute Feature79 numeric
@attribute Feature80 numeric
@attribute Feature81 numeric
@attribute Feature82 numeric
@attribute Feature83 numeric
@attribute Feature84 numeric
@attribute Feature85 numeric
@attribute Feature86 numeric
@attribute Feature87 numeric
@attribute Feature88 numeric
@attribute Feature89 numeric
@attribute Feature90 numeric
@attribute Feature91 numeric
@attribute Feature92 numeric
@attribute Feature93 numeric
@attribute Feature94 numeric
@attribute Feature95 numeric
@attribute Feature96 numeric
@attribute Feature97 numeric
@attribute Feature98 numeric
@attribute Feature99 numeric
@attribute Feature100 numeric
@attribute Output {0,1}

@data
-10.68305,-4.35759,-12.61438,-4.42392,-12.07368,-6.78149,-1374.8805,3646.12596,3025.75233,-6766.94763,-1554.15662,-3536.64805,12.10442,1974.32783,586.03118,-2983.0366,2554.86101,-4761.04107,2923.64752,-2402.36759,2204.82583,699.25722,669.7342,1926.4285,280.15715,-9170.51011,5100.70072,13834.55543,-21931.05353,-5039.15287,-9430.83352,6009.33702,1006.05334,-11042.55498,12107.49599,14176.91114,5822.59763,768.02682,-3603.48205,-3110.87643,6171.66828,6877.418,-5805.20671,19551.12603,4567.25878,8609.96859,-14592.28101,266.15464,2326.58439,-5555.53699,3362.06222,-7425.90597,1595.73572,19815.61015,-7869.773,5972.3574,21276.85061,25503.79603,-11279.44883,-524.50073,-14775.71404,-10903.10458,1072.27323,2162.69948,2349.47958,-438.48188,6204.82482,-44.26312,-10061.44109,10829.72682,19266.79674,6306.34666,1328.216,-6968.50897,2669.97722,-12103.48266,-24366.5872,-1520.34189,-55933.20256,-6732.12949,-20678.51808,6727.52359,-2511.95275,9271.56101,15836.35048,-6919.56516,-23881.1046,1566.32743,-2829.20807,-25967.64647,-21186.28108,-7049.20363,-3775.59706,4353.12319,55138.26766,28137.797,-12766.03513,6537.22657,9110.18224,17067.80349,1
-11.08796,-4.43606,-12.77255,-5.22883,-12.00718,-7.20159,-1373.7926,3649.1094,3017.81345,-6764.76074,-1561.64184,-3569.51485,-20.83709,1981.24697,609.28669,-2951.21485,2623.5826,-4754.56287,2874.8393,-2336.45488,2160.48092,737.0645,695.38129,1811.86689,279.07247,-9337.68238,5119.58541,13848.37843,-21835.27433,-5031.53172,-9445.35609,6085.39106,1097.12592,-11026.20698,12191.70322,14359.59413,5626.39862,518.47324,-3453.7556,-3208.62704,6064.19503,7179.67822,-5656.70841,19639.15904,4700.51953,8634.21342,-14496.66214,387.61789,2323.37181,-5724.70719,3555.19387,-7172.45996,1306.2864,19675.28147,-8349.05569,5656.95256,21132.98301,25633.27357,-11232.07458,-395.46628,-14995.80606,-10693.84054,831.21376,2255.3101,2583.01052,293.69899,5798.24647,-394.29301,-10625.71422,10441.66242,19303.57624,5932.18757,1474.07072,-6845.88369,2834.69542,-12331.9451,-24244.46824,-2011.69389,-55800.53235,-6153.15135,-21086.6131,6102.27015,-2816.35328,9150.02083,15948.60295,-7239.74397,-23970.09447,753.82001,-2783.49284,-26174.53284,-21954.36243,-7310.6046,-4099.6186,4126.65494,55266.12592,28672.28983,-12275.9938,7681.13985,9288.95257,17426.2999,1
-10.4385,-4.73748,-12.11403,-5.04159,-11.73731,-6.92255,-1377.76371,3651.64475,3010.05567,-6774.65137,-1553.40958,-3566.68809,-17.10587,1997.10687,610.20598,-2937.70421,2609.52864,-4742.03077,2880.86721,-2325.58961,2202.88636,660.7732,673.92785,1841.69205,327.5224,-9236.69251,5201.50157,13791.8285,-21779.24015,-5075.39925,-9313.0339,6040.97761,908.3678,-11132.99607,12194.02146,14124.57391,5656.81408,582.52277,-3774.4971,-3068.2837,6079.43917,7058.72345,-5874.07803,19309.08863,4674.88237,8743.33831,-14761.51709,266.57546,2245.3395,-5510.4344,3529.03167,-7126.97336,921.36255,20005.70136,-7999.88134,5727.66648,21207.78583,25737.12945,-11276.66081,-432.50747,-14817.95133,-10738.20831,926.57012,2229.78407,2817.7477,-181.52906,5798.90196,-151.91898,-10663.11751,10618.82442,19468.91969,5903.01278,757.81319,-7332.33182,3090.41259,-12015.48341,-24048.46767,-1440.06893,-55577.93741,-6348.5499,-20706.20699,5872.14511,-3633.60129,9083.65037,15891.97542,-7297.90191,-23910.13411,2068.16177,-3415.50599,-26511.26153,-21520.14758,-7614.21861,-4048.81911,4304.13936,55099.53742,28696.19633,-12646.79624,7472.67009,8443.16594,17486.52173,1
-10.97559,-4.54412,-11.96432,-5.51676,-12.3133,-6.04613,-1376.86082,3658.89312,3021.51629,-6771.26073,-1552.86962,-3555.27471,-33.83378,1972.96198,640.86214,-2956.72644,2575.31668,-4763.12928,2857.70936,-2313.61766,2143.96588,669.10172,773.32333,1871.4402,274.48555,-9185.1585,5053.72559,13764.9841,-21918.98788,-5049.44582,-9338.35497,5915.8057,1006.83825,-10962.05704,12308.55626,14154.02522,5868.70605,765.2156,-3550.64877,-3228.85099,6106.79352,6938.48159,-5854.22519,19142.69433,4506.12327,8319.50068,-14816.46882,258.49434,2106.64023,-5655.35056,3361.40442,-7044.30164,1274.28543,20094.41807,-8109.92069,5716.69994,21397.82454,25600.4546,-11290.8481,-433.58621,-14900.34717,-10959.2238,818.4977,1822.91682,2330.16847,76.21475,5976.38974,-88.15841,-10093.22232,10767.41244,19518.53878,6374.50632,1604.32606,-7435.59881,2692.97957,-12587.13811,-24246.34173,-1499.82216,-55445.95451,-7004.45989,-20260.08372,6266.92165,-3245.17629,8850.16866,16269.90881,-7016.51606,-24615.8343,1573.42593,-2941.86932,-26516.76483,-22025.05972,-7436.775,-4254.65232,4335.85475,55011.62464,28686.24914,-13399.05084,7596.39237,7460.75834,16777.84522,1
-10.30375,-4.54672,-12.56941,-4.86225,-11.90656,-6.88491,-1377.24217,3648.61075,3008.57201,-6776.42179,-1558.19056,-3554.28906,17.74897,1978.3257,620.02773,-2912.29412,2661.19344,-4719.31858,2834.95395,-2301.55281,2126.79463,628.94463,672.02336,1808.60292,295.85345,-9255.59535,5115.77644,13900.44825,-21817.04536,-5074.24046,-9448.68997,6026.95753,952.94582,-10975.25467,12212.71103,14055.19647,5606.38218,584.57783,-3528.83482,-2921.04716,6081.57097,6806.21237,-5810.05121,19412.8361,4585.88976,8560.83279,-14612.38765,292.37824,2203.90841,-5699.53772,3451.94199,-7432.87701,1488.95655,19977.40415,-7995.29966,5983.11391,21179.29846,25706.15424,-11066.59767,-689.14542,-14811.29103,-11062.68077,604.20881,2044.79338,2352.61734,-122.93635,6180.15008,-700.56154,-10005.67704,10322.74566,19506.84995,5815.28703,1031.71629,-7003.24806,2693.71845,-12242.86363,-23751.72701,-1228.95442,-55104.22073,-6194.05224,-20817.19026,6129.11123,-3049.00035,9141.01398,16672.52146,-6738.4263,-24455.5115,1460.2431,-4423.87281,-26005.32063,-21888.60646,-7528.43125,-4168.83384,4861.14937,55503.31854,27813.1533,-12325.60175,7288.64192,8821.832,16887.75417,0
-10.69802,-4.72343,-12.63768,-4.56813,-11.83474,-7.39472,-1378.69842,3640.10733,3016.73274,-6770.49189,-1565.41347,-3554.82004,-12.98426,1941.94074,610.08082,-2913.99604,2626.94532,-4729.46649,2850.60407,-2284.77749,2207.28838,659.25569,691.11227,1881.56276,297.25753,-9295.68955,5086.5821,13877.02616,-21910.09481,-5137.75994,-9310.90495,5917.49485,939.23597,-10926.43234,12223.91376,14237.66755,5703.37956,405.47025,-3750.78435,-3177.57087,6130.08497,6774.19395,-5801.93086,19418.62871,4676.74367,8474.94163,-14732.84388,320.91711,2188.06343,-5638.17445,3682.59393,-6892.72325,1114.26194,20154.47859,-8237.1443,5831.16771,21161.97177,25514.92017,-11364.80494,-364.73275,-15207.19966,-10814.71799,795.37801,2278.90502,2433.89243,47.8691,6028.32325,177.5369,-10332.26136,10644.4311,19451.46246,5714.40327,1149.19328,-7043.82944,2935.96186,-12089.00704,-24593.02215,-1260.79576,-55641.35992,-6134.94884,-20839.90923,6106.86784,-2478.15402,9459.64092,16740.82681,-7216.08832,-23902.74594,1944.66005,-2879.80353,-26206.79239,-22054.86729,-7763.61107,-4649.45304,4636.37652,55658.57143,28432.85658,-12850.92736,7719.01948,8817.27959,17285.39691,1
-10.50869,-4.68838,-12.06462,-4.82745,-12.43847,-6.82061,-1384.94838,3635.17937,3013.8521,-6742.42572,-1570.96884,-3557.02974,-21.13461,1953.39363,612.05938,-2915.80836,2621.15572,-4746.60831,2943.99602,-2355.16249,2220.52261,651.82911,716.02086,1799.13518,298.90385,-9152.14291,5097.67677,13730.0693,-21884.26479,-5241.70452,-9257.65988,6290.1287,992.82408,-11027.89246,12314.07314,14210.51695,5831.88261,319.53037,-3600.98218,-3362.14871,6160.61983,7216.51735,-5776.13554,19476.94635,4522.36242,8621.66129,-14737.24884,246.92242,2076.83117,-5468.97656,3275.335,-7109.59395,1292.20066,20139.80087,-8006.03846,6071.50306,20920.89505,25867.467,-11255.22854,-532.9346,-14682.66457,-10595.83399,792.63652,2062.08478,2389.15098,-200.57506,5705.8856,-629.29362,-10260.48262,10808.38606,19467.66337,5863.38321,1589.68051,-6887.05616,2784.72486,-11975.77439,-24320.12675,-1817.7306,-55496.17319,-6604.91684,-20613.82824,5908.12467,-2763.41984,8962.62095,16418.95394,-6874.95117,-24029.17347,1693.55339,-2660.77242,-26169.69458,-21324.83619,-7876.39471,-3641.78081,4885.03535,54767.6319,27928.25705,-12839.68648,7330.78686,8996.20084,16513.94195,0
-10.38567,-4.65629,-12.95278,-4.97899,-12.13767,-7.33335,-1378.63073,3639.51776,3020.87187,-6762.76629,-1550.9902,-3558.49476,-3.04594,1947.59841,606.21175,-2923.46969,2594.99202,-4781.24058,2870.70562,-2362.81346,2171.55342,705.9778,687.50271,1826.30599,339.94173,-9169.90021,5197.07955,13952.8317,-21881.72806,-5081.90507,-9526.00127,6144.73168,984.32921,-11199.39447,12110.11396,14297.02452,5622.14883,692.15486,-3686.98159,-2994.81645,6038.41395,6989.58287,-5694.05914,19529.41078,4479.7342,8786.29086,-14638.43733,352.92053,2029.49943,-5607.77059,3655.12581,-7015.1751,1333.80559,20062.27777,-8276.9093,5722.71473,21389.64423,25872.56083,-11212.73691,-383.79765,-14898.57766,-10882.96964,760.86806,2188.22634,2600.93449,-87.34988,5667.53504,-377.39016,-10591.10231,11201.68687,19131.81282,5472.45116,1315.92413,-7319.86679,2692.93932,-11880.53905,-24435.66274,-1212.12368,-55973.79727,-6673.29135,-21233.26143,5978.02494,-2604.61619,9060.50497,16242.29952,-7293.65135,-23933.0222,1873.11346,-2755.71657,-25938.66069,-21540.36138,-7604.24318,-4265.45048,4901.76736,55602.08755,28969.70451,-12278.42911,7580.14018,7969.2397,17073.0634,1
-10.88958,-4.5138,-11.95599,-5.32945,-11.96761,-7.13835,-1367.094,3640.8917,3005.52937,-6768.40121,-1554.83357,-3562.0247,-5.7632,1951.17852,611.41445,-2915.65748,2561.47606,-4772.4416,2872.80891,-2226.22265,2138.02967,700.85087,697.28739,1869.33108,247.5392,-9177.51046,5164.02307,13751.83132,-21897.39924,-5183.92971,-9376.99439,6043.02109,1023.66321,-11143.37564,12281.09667,14181.79338,5780.47866,627.0288,-3725.41753,-3241.11334,5981.9855,6888.76621,-5561.99437,19419.97546,4612.70804,8538.43222,-14796.21911,303.68669,2187.71847,-5673.17845,3167.55067,-7164.65802,1260.92723,19802.33742,-8136.84329,6030.58651,21014.57197,25616.91879,-11190.83037,-191.62435,-15028.20261,-10708.96305,753.82806,2143.06099,2469.32814,108.24025,5776.90266,-377.50317,-10584.98455,10594.12694,19374.46242,5628.84196,891.53111,-6698.93501,3646.84539,-12025.3859,-24139.88292,-1882.86427,-55673.35465,-5810.20813,-20480.23743,6911.84911,-2998.60497,9009.69355,16229.22796,-6804.51999,-23442.21696,1559.04145,-4015.34704,-25994.11167,-21867.5905,-7609.0328,-3940.42252,4958.92215,55307.59606,28871.43683,-12841.69659,7428.10552,9008.30751,16636.63045,1
-10.8818,-4.15384,-12.07884,-4.97535,-11.84401,-7.01635,-1379.59375,3637.64408,3011.75689,-6756.38289,-1550.79021,-3562.17462,-11.27419,1981.49417,593.5488,-2919.79024,2589.2523,-4739.2581,2894.322,-2312.49418,2213.80628,753.87307,752.39171,1846.67839,302.94083,-9151.3628,5212.36262,13799.84071,-21870.67429,-5098.29927,-9393.75129,6090.13113,834.09888,-10874.80336,12278.3566,14085.92006,5682.1883,586.15839,-3668.24055,-3146.99876,6074.44457,6894.1351,-5629.59748,19466.99742,4590.49702,8759.83856,-14585.1922,268.85583,2163.81996,-5520.93858,3529.83174,-7043.47191,1190.03033,19798.38922,-8242.71431,5806.73789,21329.53835,25555.12778,-11409.74354,-328.31013,-14715.67428,-10707.67707,774.41774,2253.01173,2202.14985,-88.90139,5896.20663,-394.46512,-10435.44714,10817.3498,19454.90834,6158.50346,1349.85336,-6810.00949,2696.61809,-12447.59288,-24193.82523,-1648.2509,-55687.69777,-6257.2716,-20617.07031,6583.35125,-2513.97543,9312.98359,16220.55964,-6595.02422,-24325.98294,1291.21932,-3415.80134,-26599.4384,-21362.80008,-6944.86573,-3751.97698,4363.52396,55364.18899,28271.1199,-12793.89446,7213.90054,8375.44672,16988.25126,1
