Feature1,Output
116.22,1
112.31,1
112.45,1
115.41,1
107.11,0
109.64,1
108.09,0
106.67,1
113.39,1
112.78,1
110.12,0
117.94,1
113.41,1
109.84,0
110.41,0
111.82,0
110.36,0
111.91,1
108.63,0
110.12,1
112.92,1
107.87,0
107.28,1
108.94,1
111.08,0
110.68,0
111.97,1
108.65,1
108.51,0
110.61,0
111.65,1
107.09,0
107.78,0
114.3,1
112.28,1
106.04,0
109.63,0
104.77,0
111.85,1
108.47,0
110.99,0
108.94,0
107.97,1
108.14,1
112.56,0
111.41,1
108.76,0
117.99,1
114.93,1
118.18,1
108.99,1
107.52,0
115.31,1
113.63,1
116.11,1
111.94,1
109.44,0
109.56,0
110.49,1
107.02,0
116.76,1
116.87,1
108.93,1
109.91,0
112.56,1
113.14,1
108.35,0
115.22,1
109.21,0
111.64,0
111.48,1
110.21,1
113.01,1
108.25,0
109.02,0
111.32,1
114.53,1
108.73,1
109.64,0
111.43,1
109.79,1
106.66,0
111.82,1
110.54,0
116.63,1
110.62,1
113.22,0
111.57,0
108.8,1
109.88,1
103.01,0
111.55,1
106.88,0
106.67,0
105.73,0
109.47,1
108.51,0
111.71,1
104.32,0
108.3,1
111.13,0
110.82,1
103.91,1
108.31,0
114.87,1
114.96,1
110.52,1
116.26,0
114.82,1
107.92,0
118.82,1
109.64,0
103.38,0
107.67,0
113.36,1
111.96,0
109.01,1
113.25,1
105.37,1
108.67,1
115.65,1
110.05,1
110.75,1
116.35,1
111.28,0
106.8,0
114.1,1
113.38,1
106.44,0
109.01,1
110.21,1
113.7,0
109.51,1
112.85,1
108,1
111.79,1
106.48,0
109.95,0
105.44,0
112.65,1
108.04,1
105.89,1
108.86,1
108.08,1
109.74,1
108.62,1
107.13,0
113.08,1
116.11,1
110.57,0
109.91,1
108.94,0
110.47,1
107.19,1
111.18,0
112.13,1
108.46,0
110.5,0
111.57,1
110.71,1
111.23,0
108.83,1
112.06,0
106.02,0
108.91,1
110.31,1
109.23,1
111.47,1
108.57,0
113.28,1
106.33,1
113.49,1
111.22,1
106.61,0
111.93,1
115.23,1
109.23,0
114.2,1
114.35,1
109.26,1
112.45,1
114.19,1
108.22,1
111.44,1
108.15,1
109.55,0
110.2,1
110.98,1
116.1,1
108.8,0
115.25,1
108.45,0
104.26,0
108.62,0
106.51,0
109.62,0
107.13,1
102.1,0
109.95,0
104.46,0
109.19,1
110.48,0
113.05,1
111.93,1
107.89,1
109.58,0
105.93,0
105.55,0
111.96,1
108.78,0
111.46,1
113.01,1
109.83,0
112.29,0
112.49,1
115.13,1
110.56,0
113.89,1
106.68,0
111.52,1
113.66,1
114.26,0
114,1
107.19,0
109.45,1
110.78,0
111.27,1
109.4,0
108.28,0
112.38,1
110.97,0
113.34,1
111.08,1
110.48,1
110.9,1
108.89,1
108.94,0
112.78,1
113.82,1
113.01,1
111.11,1
109.41,0
112.26,1
115.73,1
109.96,0
110.34,1
109.24,0
108.59,0
109.16,1
104.43,0
117.53,1
109.62,0
108.91,0
114.76,1
112.96,0
107.92,0
113.47,1
110.27,1
109.64,1
114.15,0
110.7,1
103.28,0
110.51,0
114.27,0
107.36,0
109.84,0
109.85,1
109.33,1
106.75,1
112.6,1
102.94,0
110.84,0
112.89,1
116.18,1
105.73,0
112.04,0
