x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14
-0.36626,6.2975,-0.17492,5.1316,1.1452,-1.59,5.0567,0.81492,1.6847,1,0.13292,0.095439,1,1
0.091406,-5.312,-0.76198,2.7037,-0.91547,-0.26253,4.5623,-0.85026,0.071822,1,0.14801,-0.48868,1,1
-0.82515,0.056732,-1.0279,3.6666,-0.005501,-2.0202,3.7695,-0.14511,2.008,1,0.63956,0.80232,1,1
0.95907,4.574,0.27766,4.8569,1.0163,-0.35073,5.4849,0.92177,0.37873,1,-0.52547,-0.64516,1,1
1.4929,-2.0741,-0.80932,2.6911,-1.1343,-0.20798,4.3563,-1.029,0.16806,1,0.50466,-0.61848,1,0
0.84786,-5.2733,-0.28254,3.0735,-0.98394,0.19111,4.3464,-0.76296,-0.20348,1,0.9843,0.61554,1,1
-0.72659,-0.63756,0.47698,-2.8127,-0.13152,1.2503,-5.72,-0.026766,-1.2482,1,0.41742,1.1522,0,1
0.36707,3.3233,0.42742,-3.9982,1.0925,-0.14584,-5.0862,0.80861,0.26575,1,3.0329,-0.33889,0,0
-0.57399,-6.5042,-0.054121,2.6894,-1.2244,1.1078,5.2302,-1.0714,-1.0821,1,-0.13722,0.43355,1,0
0.15107,-2.5662,0.3099,4.1145,-0.42231,0.61769,4.8478,-0.34288,-0.565,1,1.393,0.57585,1,1
1.3635,-2.8147,-0.2259,3.7818,-0.61262,-0.14173,4.3865,-0.44312,0.1618,1,-0.53422,-0.07704,1,1
0.48608,-4.2478,-1.0281,2.4964,-1.4629,-0.61175,3.7037,-1.3228,0.35032,1,-0.15536,-1.1347,1,1
-0.79332,1.2427,-0.29351,-3.7136,0.37996,-0.89695,-4.0817,0.10057,0.92817,1,0.047818,-1.2358,0,1
-1.1075,-3.055,0.27457,-1.7292,-0.835,1.2882,-6.6425,-0.70383,-1.1091,1,0.18635,0.93472,0,0
-0.028284,-13.226,-2.4715,1.2873,-2.445,-2.2923,2.5018,-2.422,1.691,1,-0.11164,0.63015,1,1
-0.038946,-2.818,-0.80587,2.9567,-0.87089,-0.6406,4.2273,-0.9319,0.62188,1,-0.11739,-0.65512,1,1
