Point_ID,Output
1,16.173
2,13.815
3,16.694
4,13.819
5,16.956
6,14.881
7,15.534
8,11.999
9,14.729
10,16.055
11,15.611
12,15.896
13,17.167
14,17.673
15,11.572
16,14.703
17,14.618
18,18.603
19,10.812
20,2.5388
21,18.008
22,15.521
23,13.222
24,16.211
25,17.151
26,15.174
27,15.13
28,13.78
29,15.798
30,12.502
31,15.092
32,13.785
33,12.692
34,16.88
35,15.745
36,14.885
37,18.064
38,15.445
39,12.592
40,15.495
41,17.858
42,13.096
43,12.701
44,17.039
45,15.845
46,14.053
47,17.223
48,17.316
49,18.58
50,11.684
51,12.527
52,16.503
53,16.768
54,17.697
55,15.43
56,15.31
57,17.356
58,12.587
59,16.153
60,13.151
61,16.173
62,13.756
63,10.081
64,10.575
65,16.836
66,18.794
67,16.098
68,10.168
69,10.571
70,16.509
71,17.333
72,6.8344
73,12.913
74,13.856
75,13.226
76,14.178
77,12.28
78,14.573
79,18.56
80,8.2545
81,17.882
82,15.245
83,16.62
84,10.471
85,16.168
86,8.0359
87,13.069
88,14.417
89,19.175
90,13.212
91,15.616
92,14.524
93,15.554
94,11.769
95,18.035
96,13.685
97,17.714
98,18.646
99,16.98
100,13.434
101,12.79
102,13.531
103,12.368
104,14.364
105,17.086
106,18.317
107,15.207
108,16.89
109,13.219
110,17.959
111,12.409
112,15.108
113,14.156
114,13.095
115,16.768
116,17.799
117,15.581
118,14.721
119,12.885
120,17.373
121,16.243
122,15.551
123,15.792
124,12.582
125,17.49
126,10.409
127,17.41
128,17.987
129,14.12
130,15.04
131,18.107
132,16.132
133,14.566
134,13.347
135,13.762
136,16.242
137,12.976
138,17.227
139,15.94
140,15.418
141,16.372
142,10.8
143,16.531
144,16.697
145,12.577
146,18.064
147,15.631
148,14.895
149,17.119
150,12.21
151,8.9022
152,10.931
153,6.5769
154,9.6919
155,15.896
156,15.059
157,16.815
158,16.835
159,9.4461
160,17.951
161,16.096
162,15.847
163,15.77
164,15.941
165,17.425
166,5.4688
167,7.8715
168,13.6
169,16.114
170,13.754
171,8.317
172,16.866
173,0.24033
174,17.589
175,15.845
176,16.521
177,15.738
178,10.521
179,14.486
180,13.972
181,17.063
182,14.426
183,15.413
184,6.2075
185,18.845
186,16.384
187,12.569
188,12.088
189,16.553
190,13.811
191,18.695
192,18.08
193,16.35
194,10.425
195,17.696
196,10.623
197,16.796
198,12.913
199,16.218
200,12.91
201,16.971
202,14.436
203,14.988
204,14.455
205,12.421
206,19.383
207,15.554
208,15.614
209,17.018
210,14.587
211,10.481
212,14.756
213,15.35
214,15.527
215,17.784
216,12.72
217,17.385
218,15.302
219,17.717
220,11.82
221,12.269
222,18.422
223,14.215
224,12.237
225,10.867
226,16.85
227,16.053
228,14.942
229,17.7
230,16.684
231,11.151
232,14.694
233,13.38
234,18.073
235,18.435
236,14.239
237,15.451
238,13.067
239,14.113
240,10.698
241,16.158
242,16.266
243,16.391
244,8.5719
245,14.524
246,16.771
247,17.371
248,7.2073
249,14.2
250,10.125
251,10.285
252,15.841
253,8.1354
254,11.153
255,15.229
256,16.932
257,14.336
258,11.851
259,14.01
260,14.587
261,17.219
262,16.631
263,15.612
264,15.667
265,16.435
266,13.103
267,15.197
268,7.6279
269,13.972
270,16.228
271,17.503
272,10.451
273,15.583
274,2.796
275,17.041
276,14.144
277,14.099
278,-1.6893
279,18.104
280,16.619
281,15.25
282,13.119
283,11.868
284,14.334
285,11.101
286,14.118
287,17.085
288,17.669
289,14.916
290,16.324
291,17.901
292,11.974
293,16.986
294,16.93
295,15.213
296,12.307
297,17.624
298,18.484
299,14.912
300,13.868
301,17.413
302,18.18
303,15.811
304,9.0478
305,14.686
306,14.698
307,15.868
308,7.4799
309,15.901
310,16.59
311,15.388
312,16.194
313,15.47
314,13.282
315,10.726
316,11.656
317,14.844
318,16.502
319,15.73
320,16.531
321,10.631
322,15.612
323,18.702
324,16.033
325,15.356
326,18.563
327,17.072
328,11.614
329,14.334
330,17.18
331,17.043
332,16.782
333,15.342
334,10.007
335,10.687
336,12.904
337,8.8981
338,10.768
339,12.13
340,16.234
341,15.959
342,17.549
343,16.574
344,15.363
345,18.693
346,13.004
347,18.009
348,16.926
349,13.15
350,15.205
351,17.435
352,16.146
353,11.106
354,16.358
355,15.012
356,15.399
357,14.429
358,14.53
359,17.823
360,9.2013
361,6.548
362,14.859
363,18.147
364,12.335
365,18.767
366,13.648
367,13.857
368,12.2
369,17.629
370,15.968
371,10.234
372,16.767
373,14.09
374,14.306
375,18.753
376,15.393
377,7.5675
378,16.979
379,14.015
380,9.2204
381,15.397
382,10.263
383,14.324
384,17.705
385,15.638
386,9.1537
387,15.214
388,16.033
389,16.136
390,14.473
391,15.333
392,3.5783
393,15.625
394,16.467
395,11.959
396,12.872
397,11.013
398,16.882
399,12.097
400,18.567
401,16.414
402,12.79
403,13.279
404,16.739
405,13.564
406,14.599
407,12.755
408,9.682
409,15.366
410,15.786
411,13.874
412,13.73
413,12.767
414,14.08
415,16.36
416,10.873
417,17.163
418,14.605
419,17.965
420,17.084
421,13.11
422,14.578
423,15.533
424,16.797
425,16.332
426,13.37
427,15.816
428,17.767
429,13.632
430,13.466
431,17.693
432,11.934
433,17.398
434,4.5523
435,17.297
436,14.638
437,13.677
438,15.274
439,10.783
440,14.766
441,14.707
442,16.328
443,16.519
444,16.614
445,12.156
446,16.846
447,17.018
448,17.818
449,18.634
450,13.855
451,17.468
452,16.942
453,15.318
454,16.434
455,18.766
456,13.577
457,15.967
458,11.26
459,12.921
460,15.589
461,13.123
462,16.729
463,17.764
464,16.677
465,12.522
466,13.325
467,17.143
468,17.965
469,17.055
470,17.598
471,6.0445
472,14.101
473,16.963
474,16.265
475,17.761
476,16.018
477,11.295
478,15.561
479,16.412
480,13.395
481,17.719
482,15.179
483,17.434
484,9.2378
485,8.2105
486,17.87
487,16.64
488,16.016
489,13.099
490,15.969
491,14.092
492,9.7251
493,13.916
494,17.251
495,10.569
496,14.614
497,14.761
498,15.032
499,15.402
500,17.401
501,17.431
502,14.708
503,15.304
504,17.336
505,17.759
506,14.969
507,6.8651
508,13.332
509,12.09
510,16.723
511,16.399
512,9.5396
513,15.176
514,15.22
515,13.977
516,14.536
517,17.847
518,15.575
519,13.552
520,10.912
521,13.768
522,16.004
523,17.204
524,17.075
525,17.243
526,16.176
527,13.905
528,6.0528
529,14.793
530,15.649
531,17.315
532,15.262
533,17.853
534,17.428
535,15.522
536,16.574
537,14.482
538,10.022
539,9.7513
540,16.391
541,17.327
542,12.516
543,12.708
544,16.077
545,14.637
546,11.927
547,15.174
548,9.0162
549,15.079
550,10.222
551,13.827
552,16.268
553,15.565
554,15.525
555,13.031
556,17.528
557,16.61
558,15.141
559,14.491
560,15.999
561,17.041
562,15.646
563,-2.8022
564,11.999
565,15.844
566,17.272
567,15.349
568,14.461
569,9.0583
570,12.719
571,18.354
572,15.8
573,13.126
574,18.181
575,18.426
576,18.01
577,16.221
578,16.247
579,10.026
580,8.3809
581,17.313
582,5.4505
583,14.974
584,18.593
585,18.282
586,15.042
587,14.802
588,10.214
589,10.911
590,13.638
591,7.4119
592,16.695
593,10.721
594,18.494
595,10.842
596,13.012
597,15.16
598,13.704
599,12.263
600,12.354
601,19.249
602,16.279
603,14.657
604,16.599
605,15.623
606,5.5844
607,13.583
608,17.474
609,9.3862
610,16.634
611,8.7884
612,11.853
613,15.783
614,17.408
615,14.321
616,16.544
617,15.881
618,12.399
619,14.822
620,16.218
621,8.8039
622,10.748
623,15.804
624,13.623
625,16.453
626,16.212
627,4.8987
628,9.653
629,13.217
630,17.188
631,16.703
632,9.1094
633,18.333
634,12.216
635,13.3
636,13.136
637,15.694
638,11.995
639,11.392
640,17.363
