x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14
0.23155,0.93848,0.23727,4.7387,0.27959,0.43588,5.1178,0.28459,-0.26654,1.4341,-55.05,0.78839,1,1.3214
-0.22182,-4.102,-1.1488,2.6323,-1.34,-0.93573,3.3656,-1.296,0.74381,1.0049,-1.3332,-1.0523,1,-0.10648
1.3691,6.151,0.60726,5.2846,1.0962,-0.056728,5.592,1.0465,0.3059,1.1521,178.9,0.060692,1,0.97226
-0.45909,3.0682,0.13281,4.6315,0.93519,-0.77934,5.1833,0.83295,0.73785,1.1407,27.261,-1.1393,1,0.92795
0.6256,-4.1355,-0.32925,2.9695,-0.6502,0.0056197,4.3732,-0.59941,-0.1548,0.39145,44.851,0.17392,1,0.6176
0.75579,-4.0095,-0.45623,4.1366,-0.8063,0.11565,4.6033,-0.81369,-0.08137,1.3248,-4.5697,0.25113,1,0.38649
-1.4452,2.2992,1.1113,4.4666,0.54129,1.5437,6.1034,0.63597,-1.4954,1.0368,-10.677,-0.31497,1,0.80815
-0.99449,4.5368,-0.43469,4.1529,0.1332,-1.2924,3.7632,-0.0080353,1.1431,0.8618,-24.588,-0.64202,1,0.06377
-0.35249,-6.9065,-1.0798,2.9335,-0.94094,-1.1,3.625,-0.98998,0.81324,0.86602,1.1653,-0.98427,1,1.6201
-1.0763,-1.355,0.41749,3.4818,-0.51744,1.3523,5.0494,-0.36627,-1.2858,1.2766,-53.353,-0.051844,1,0.69693
0.25849,0.79899,-0.17404,4.5188,0.16508,-0.33344,4.6412,0.20098,0.47753,1.1152,34.465,-0.34669,1,0.67347
0.40745,0.70085,0.57057,4.3845,0.57877,0.69499,5.3885,0.64706,-0.41869,0.8495,-19.111,0.53438,1,0.5129
-0.99683,3.6636,0.50178,3.7466,-0.48511,1.6028,5.1318,-0.20926,-1.4996,1.1501,108.96,0.3874,1,1.0587
0.39231,0.2842,0.12209,4.0246,0.09465,0.30244,5.1941,0.099151,-0.040331,0.42941,7.4532,0.61812,1,0.4608
-1.3591,-2.4064,-0.9436,4.1102,-0.17215,-1.8112,3.9907,-0.3613,1.633,0.4048,-2.4476,0.72845,1,0.51003
1.2273,-9.8724,-0.64966,3.054,-1.2155,-0.080312,4.2918,-1.3116,-0.14659,0.6931,9.2492,-0.2333,1,1.6454
1.5041,-2.0239,-0.091294,3.7032,0.0003431,-0.091552,4.8619,-0.073577,0.098758,0.8994,23.616,-0.72421,1,0.89686
-1.0999,3.6124,0.6353,4.2704,0.15356,1.1359,6.1549,0.29527,-1.0461,0.69008,82.393,0.98178,1,0.8348
0.43713,5.1993,0.26177,4.7237,1.0677,-0.62586,5.3265,0.88585,0.74093,1.1935,62.455,-1.6668,1,0.84961
-0.51645,5.0795,1.1631,5.1813,1.1888,0.86628,5.7143,1.077,-0.56075,0.98489,163.38,1.0438,1,0.49786
-1.0807,6.0256,1.2502,5.6059,1.1563,1.5617,6.6238,1.1263,-1.2169,0.49919,-126.59,0.35905,1,0.51604
-0.57523,-0.079073,-0.70673,2.9563,-0.15104,-1.1374,4.2661,-0.2747,0.97915,1.0103,-3.7987,-0.93129,1,0.7335
0.57528,8.069,0.46459,5.6887,1.4684,-0.2589,5.9671,1.3282,0.2575,1.2361,26.108,-0.28119,1,0.47241
0.51246,-1.5641,-0.056317,3.7923,-0.10479,-0.18328,5.1961,-0.16485,0.22983,1.2794,9.7355,-0.446,1,1.4361
0.65467,2.7369,0.24688,4.536,0.48715,0.35866,5.4695,0.39045,-0.15389,0.98979,6.9181,0.10403,1,1.0282
-0.4457,2.1187,-0.41817,4.7133,0.48911,-1.2854,4.9725,0.21203,1.2124,0.90795,10.108,-1.054,1,0.7581
0.71498,-3.9316,-0.80948,2.3884,-0.85061,-0.46021,3.9746,-0.69177,0.4065,0.82497,1.0362,-0.90318,1,1.0895
0.48307,6.5333,0.32394,5.2133,1.5209,-0.73354,5.816,1.3248,0.88191,0.82699,105.04,-1.1958,1,0.24164
0.72232,-3.567,1.0738,3.3332,-1.227,3.3394,6.3344,-0.64309,-3.187,0.75398,82.38,0.43499,1,0.93842
0.61384,-0.19249,0.13922,4.896,0.40616,-0.13055,4.94,0.33504,0.16181,0.75851,17.548,-0.67754,1,0.18818
-0.1338,1.6459,-0.96369,3.9834,0.44331,-2.3798,3.7611,0.24767,2.1872,0.66172,-4.7874,0.82129,1,0.90938
0.78208,-8.7367,-1.1071,2.3309,-1.4877,-0.59379,4.1426,-1.3428,0.32419,0.69879,-2.2633,-0.82359,1,0.83059
0.50617,0.97172,-0.33585,3.233,-0.50709,-0.46463,4.66,-0.53692,0.1935,0.81445,40.907,-0.60579,1,0.63921
-0.38385,-11.599,-1.6043,1.7434,-2.0705,-0.87071,3.3015,-1.9024,0.62186,0.98358,NaN,-0.89871,1,0.80238
0.48761,2.1706,0.60966,4.5284,0.39344,0.44426,5.4486,0.50895,-0.38621,0.72798,-59.344,0.39755,1,0.82621
-0.51177,-11.849,-1.6663,1.7364,-1.8492,-1.3429,2.4216,-1.7696,1.1541,1.0338,NaN,-0.47882,1,1.2075
0.3035,-1.3528,-0.64311,3.5951,-0.77436,-0.8698,3.4903,-0.73211,0.65475,1.0469,-15.734,-1.6802,1,1.1148
-1.1745,3.2074,1.035,4.5658,0.68871,1.354,6.3159,0.89935,-1.0982,0.85818,-262.96,0.47458,1,0.77247
-0.20104,7.812,1.2147,5.3341,1.5004,0.82888,6.3197,1.4883,-0.62045,1.783,-39.546,1.1222,1,1.0162
-0.1695,-2.7404,0.1661,3.0927,-0.72956,0.93765,4.9121,-0.75035,-0.9813,0.73213,-123.16,0.30788,1,1.0827
-0.058386,0.18243,-0.58555,3.3555,-0.22492,-1.1135,4.708,-0.27628,1.0066,0.93832,4.5419,-0.93153,1,0.99545
0.44892,-8.1312,-0.68365,1.6033,-2.1388,0.53384,4.2066,-1.8218,-0.57394,1.1139,3.7732,0.87677,1,0.34418
0.049597,-3.4812,-0.41606,2.8436,-1.1176,0.40102,4.3,-0.84501,-0.56673,0.86604,-1.5051,0.4844,1,-0.38559
0.1609,-4.6194,-0.044338,4.012,-0.04874,0.35701,5.3359,-0.12372,-0.28732,0.15605,-15.901,0.45236,1,-0.29751
-0.97732,5.9863,-0.41953,5.0469,1.1049,-1.5291,3.9491,0.89614,1.5161,1.0305,-0.72034,0.062874,1,1.0425
0.96459,2.2014,-0.1033,3.6293,-0.043875,-0.16133,5.3199,-0.097267,0.10026,0.8556,-1.2471,-0.59296,1,0.36948
-0.093835,7.4397,-0.18891,4.0818,0.64311,-0.8186,4.8975,0.53168,0.92393,0.50047,-0.9564,-0.81517,1,0.50137
0.77127,8.9085,0.88286,6.0922,2.1152,-0.16117,6.221,1.8612,0.27954,1.6459,-41.388,-0.17541,1,0.80746
-0.61567,-1.8958,0.28909,3.2546,-0.57653,1.1553,5.1249,-0.40742,-1.0773,0.61577,20.179,0.81336,1,1.0663
0.62054,6.8411,0.46259,5.523,1.3753,-0.34245,5.3964,1.3295,0.57689,0.64147,-78.676,-0.66641,1,0.63759
-1.4282,1.7339,0.89805,4.6929,-0.0087108,1.5449,5.6366,0.2226,-1.5066,0.67726,175.37,-0.37798,1,0.51083
-0.92655,-2.2963,-0.92111,3.1367,-0.41624,-1.5162,3.6288,-0.54987,1.564,1.0915,-6.5954,0.061442,1,0.57301
0.15981,-0.73796,-0.4618,3.4609,-0.55419,-0.68478,4.5126,-0.52016,0.62995,1.1344,-12.46,-0.90712,1,1.2151
0.50364,1.7006,-0.30554,3.1328,-0.4614,-0.081738,5.1263,-0.421,0.029191,0.85453,-11.18,-0.073815,1,0.69885
0.38626,1.1839,-0.12636,4.5586,0.27841,-0.55086,4.9259,0.23708,0.50588,0.87539,-1.1106,-1.1063,1,0.80599
