x_1,x_2,x_3,x_4,x_5,x_6,x_7,x_8,x_9,x_10,x_11,x_12,x_13,x_14
1.1418,-10.403,-1.1177,-1.6575,-1.8293,-0.21056,-5.2225,-1.7524,0.0469,1,1.1154,-0.46652,0,1
1.0819,1.4261,0.062689,-2.9536,0.00081501,0.22954,-5.1429,0.062358,-0.1382,1,-2.3512,0.57015,0,1
-1.3224,-4.7555,-1.0826,-2.904,-0.51655,-1.3691,-4.4481,-0.55768,1.3099,1,0.29529,-0.23756,0,1
-1.274,-0.95345,-1.2408,2.7879,-0.81792,-1.5404,4.3211,-0.88772,1.2506,0,-0.05968,0.1231,1,0
-0.43207,3.08,0.76002,-3.3122,0.61459,0.80019,-5.7309,0.6599,-0.69663,0,-0.077415,1.1537,0,0
-0.81895,-10.184,-1.4138,-2.7593,-1.4723,-1.2518,-4.5398,-1.4378,1.0281,1,0.7452,-0.8302,0,1
-0.61433,-7.0392,-0.84042,-2.6384,-1.0202,-0.77808,-4.5302,-0.99768,0.51992,1,1.7023,-0.94678,0,0
-0.00064065,-1.8866,0.15513,3.8346,0.0018348,0.43458,4.9564,-0.076449,-0.37754,1,-1.537,0.77545,1,0
-0.83876,-3.4779,-0.52561,-3.8156,-0.1803,-1.1751,-4.2973,-0.49429,1.0949,1,0.18502,-1.2683,0,1
0.2252,-4.7269,-1.5539,-3.776,-0.11964,-2.7799,-2.6173,-0.21633,2.4703,1,1.8936,0.86025,0,1
0.51156,9.4151,1.4876,-3.8608,2.1865,0.6772,-5.0119,1.8452,-0.5732,1,0.14762,1.1332,0,1
0.39722,3.1483,0.45395,4.1385,0.24177,0.50636,5.4789,0.29439,-0.53436,1,0.50223,1.0166,1,1
0.74778,-1.6789,0.09726,4.2763,0.13374,-0.1261,4.9486,0.23789,0.2119,1,-1.1608,-0.11294,1,1
1.0762,0.87584,0.38746,-3.9023,0.62518,-0.056064,-4.7733,0.55762,0.01886,1,-0.36114,0.50257,0,1
-0.51597,-1.1349,-0.56079,-3.7213,-0.21194,-1.1108,-4.135,-0.29864,1.2337,1,-2.6638,-1.0096,0,0
-1.273,-2.2454,0.62533,4.2118,0.11498,1.5521,6.0704,0.16605,-1.3966,0,-1.3034,0.0040688,1,0
-1.0599,-7.9085,-0.0771,2.4353,-1.9297,1.4983,4.6994,-1.4748,-1.5266,1,-0.62413,0.24762,1,0
-0.44855,-1.2806,-0.54147,3.8961,-0.023567,-0.98306,4.2364,-0.31993,0.77568,1,-1.0465,-1.384,1,1
-0.83053,0.68212,-0.51176,4.509,0.24134,-1.1531,4.0915,0.12348,1.0558,1,0.08877,-0.83046,1,1
0.96024,2.2763,0.095423,4.0361,0.26895,-0.085789,5.3822,0.2279,0.0095369,1,-0.032177,-0.3402,1,0
-0.58072,9.364,0.37305,-4.8227,1.8914,-1.419,-3.6718,1.6167,1.3682,1,-0.7674,-0.62443,0,0
0.40717,2.933,0.67121,-3.3341,0.62199,0.4535,-5.0456,0.53021,-0.15062,1,-0.13246,0.49571,0,1
0.33588,2.1916,0.14765,-3.5987,0.34197,-0.54113,-4.7647,0.021919,0.35552,1,0.53382,-0.74896,0,1
-0.82948,2.3377,1.1898,-2.9808,0.55398,1.8987,-5.6963,0.65851,-1.6908,0,0.064243,-1.0937,0,0
-0.79875,3.0044,1.1218,5.02,0.92878,1.2114,6.1417,0.831,-0.93533,1,3.082,0.91268,1,1
0.96757,-4.3157,-0.5622,3.2465,-0.73449,-0.12693,4.6722,-0.48341,0.17899,1,0.72313,-0.35244,1,1
-0.64306,-3.2375,0.040548,4.0321,-0.78556,1.0568,4.7179,-0.42999,-1.1984,1,2.1857,0.93072,1,1
0.50504,-0.70887,-1.2923,-3.312,0.074347,-2.5929,-4.0411,-0.28894,2.4518,1,1.2196,1.584,0,1
-0.74737,-5.2744,0.036551,3.0419,-1.116,1.3296,5.4137,-0.98397,-1.1534,1,0.80439,0.057073,1,1
-0.59298,6.6406,1.0546,5.0146,0.91269,1.328,6.1565,1.0267,-1.0847,1,0.44225,0.41258,1,1
0.89439,-0.12989,-0.029099,-2.5396,-0.40052,0.17899,-5.4579,-0.40385,-0.41173,1,-1.1931,-0.061669,0,1
0.68188,-9.0019,-0.37425,-1.7617,-1.4158,0.56968,-5.9493,-1.2523,-0.56377,1,0.12411,0.23226,0,1
0.71035,2.721,0.049317,4.3672,0.45494,-0.49097,4.881,0.28454,0.50571,0,-0.091947,-0.90127,1,0
-0.64911,-2.2856,0.43476,3.8864,-0.3873,0.99814,5.2821,-0.27705,-0.91565,1,-0.15579,0.82309,1,1
0.048711,-6.7387,-0.41314,2.5416,-1.38,0.56023,4.7096,-1.1462,-0.69977,1,0.42686,1.4893,1,0
-0.6038,5.1872,1.256,4.5445,0.83766,1.6147,6.7681,0.98572,-1.3225,1,3.1142,-0.34038,1,0
-0.81295,-3.3671,0.53299,3.505,-0.82775,1.7957,5.2921,-0.62664,-1.6994,0,-0.63021,0.0064435,1,1
-0.80168,-6.7097,0.26488,-2.6422,-1.0373,1.6538,-5.8995,-0.73566,-1.4534,1,-0.6491,-0.30399,0,1
-0.086515,-1.1382,-0.037156,-2.7253,-0.72626,0.68361,-5.7945,-0.75903,-0.74591,1,-0.39309,0.97861,0,1
-1.1527,5.5477,-0.082733,4.5412,1.0004,-1.3407,5.1207,0.74544,1.1703,1,1.4379,-1.1284,1,1
0.7264,2.3334,0.033577,4.6224,0.55451,-0.60307,5.1402,0.29328,0.75012,1,1.0509,-0.91594,1,1
0.49329,0.39553,-0.20835,3.9841,-0.27487,-0.48803,4.4117,-0.10032,0.58891,0,0.31195,-0.67405,1,0
-0.87164,-2.9468,-0.99846,2.8522,-0.83703,-1.1122,4.361,-0.83717,1.032,1,0.43012,-1.4806,1,1
1.0149,1.5452,0.13856,4.0961,0.30238,-0.016882,5.1511,0.1724,0.068813,1,0.11431,0.2495,1,0
-1.3636,5.8307,0.11486,-4.9366,1.7203,-1.2309,-3.5421,1.3377,1.3694,1,-0.30357,-1.0394,0,1
-0.52334,4.9591,-0.096763,-4.0977,1.0692,-1.3187,-4.4891,0.89956,1.2523,1,0.11228,0.48989,0,1
-0.81369,7.9891,0.29048,-4.8242,2.065,-1.4171,-3.4402,1.5552,1.5832,1,0.50586,-0.37689,0,1
0.54685,-2.3101,-0.10022,-2.9873,-0.22299,-0.12753,-5.0103,-0.37057,-0.055258,1,-0.94867,-0.6128,0,1
0.92174,2.6361,0.074507,-2.2564,0.35555,-0.24512,-4.4539,0.30894,0.21655,1,-3.0354,-0.32394,0,1
-0.71935,1.4978,-0.6575,-3.5146,0.060903,-1.6181,-3.4566,-0.18243,1.4954,1,-0.46207,-0.16411,0,1
-1.067,4.4139,1.3101,-3.454,1.3535,1.2969,-5.1599,1.1993,-1.1495,1,-0.80081,0.13343,0,0
0.18659,-3.5432,0.13396,3.5394,-0.52947,0.62225,5.2968,-0.42592,-0.51806,1,-0.14364,1.1642,1,1
0.88201,-2.6677,-0.26251,-2.6318,-0.29964,0.093326,-4.9567,-0.38341,-0.10671,1,-0.5126,-0.073212,0,0
-0.060502,-3.5545,0.14684,-3.1149,-0.36856,0.79977,-4.9666,-0.36075,-0.90982,1,1.3481,0.81825,0,1
-0.92698,-9.4245,-0.14833,-1.1852,-1.8498,1.4415,-6.4838,-1.5567,-1.5766,1,-1.0631,0.16834,0,1
0.22844,-3.5704,0.11213,-2.1539,-0.83187,0.82891,-5.8326,-0.50123,-0.66163,1,-1.6594,0.96296,0,1
-0.63246,-3.7523,-1.0357,-2.6411,-0.58657,-1.1504,-3.9671,-0.69097,0.95138,1,6.0278,-0.50316,0,0
-0.52494,1.1821,0.47717,4.647,0.10722,1.1514,5.6011,0.17257,-0.95406,1,0.0019089,0.90478,1,0
-0.78528,1.4072,0.60463,-2.2305,0.020051,1.0723,-5.9488,0.030423,-0.83553,1,1.1456,1.0457,0,1
0.090821,-5.2173,-0.38491,-1.5592,-1.3413,0.58538,-5.2083,-1.0326,-0.72291,1,-0.46091,1.5367,0,1
-0.29507,9.0767,2.0269,-3.3965,1.6152,2.4801,-6.2631,1.4961,-1.9865,1,-2.0385,-1.1435,0,0
0.2959,0.97135,0.26098,4.1964,0.064761,0.37448,5.0555,-0.11826,-0.33605,1,0.2822,1.2822,1,1
-0.53266,-5.1712,-0.2987,2.4111,-1.7819,1.0377,4.5412,-1.5668,-1.0944,1,4.0581,0.98611,1,1
-0.37217,-3.508,-0.53262,-3.5416,0.15729,-0.94098,-4.4263,-0.07619,0.78295,1,0.19424,-0.87906,0,1
-0.96313,2.2503,-0.80715,-3.4106,-0.059528,-1.5866,-3.8693,-0.16848,1.5053,0,0.046495,-0.18461,0,0
0.012241,1.5004,0.7209,4.16,0.45691,0.70219,5.1978,0.44915,-0.694,1,0.6146,1.3633,1,1
1.0786,4.4252,0.6365,5.3981,1.2154,0.42805,5.9075,1.0577,-0.30301,0,-0.73071,0.82167,1,0
0.29153,-4.107,-0.3727,-2.9435,-0.80189,0.11847,-5.1499,-0.68075,-0.35913,1,0.30236,0.55255,0,1
-1.0176,-1.4976,-0.84002,4.049,-0.034043,-1.6955,4.0998,-0.23872,1.4874,1,1.2005,0.55985,1,0
-0.34407,7.1649,0.34731,5.4084,1.2862,-0.94255,5.2207,0.97987,0.94549,1,0.15141,-0.77423,1,0
-0.4552,2.0097,0.88764,-3.4728,0.76142,0.89026,-5.2184,0.68241,-0.76085,0,-0.2395,1.0593,0,0
0.18904,-5.6626,-0.90914,2.8269,-1.1498,-0.4607,4.0165,-1.0343,0.2423,1,0.44166,-0.88474,1,0
0.11555,-1.5219,-0.51153,4.1471,-0.012787,-0.89109,4.4091,-0.15675,0.69004,1,0.93504,-0.54979,1,1
0.12677,3.6101,0.09495,3.9621,0.50937,-0.47592,4.8047,0.37297,0.49013,1,1.0375,-1.1413,1,1
-0.14697,2.4198,0.86116,-3.7146,0.77803,0.89825,-5.611,0.92222,-0.65343,1,0.054725,0.75488,0,1
0.42726,-6.3279,-0.7325,-1.9462,-1.9324,0.3777,-6.059,-1.6805,-0.6191,1,2.7258,0.65944,0,1
0.77438,4.4553,0.35564,-3.5067,0.82957,-0.19726,-4.7621,0.77435,0.19931,1,2.105,-0.047545,0,1
0.097615,-0.40118,-0.3049,3.8829,-0.11462,-0.65865,3.9653,-0.17265,0.67745,1,1.569,-0.92174,1,1
0.53835,6.5124,0.7758,-3.5434,0.71487,0.64064,-4.7267,0.6572,-0.45342,1,0.53523,0.48723,0,1
-0.92979,10.154,2.1488,6.23,2.1161,1.9233,6.9165,1.8736,-1.4676,1,1.4158,-1.2305,1,1
-0.77095,-2.8663,-0.16981,-1.581,-1.5434,1.0392,-6.2365,-1.2432,-1.0365,1,1.9823,0.78617,0,0
0.55175,1.1588,0.30061,4.0429,0.19077,0.47836,5.7776,0.17125,-0.25144,0,0.36907,1.0963,1,0
1.4073,-0.11601,-0.018834,3.826,0.0060757,-0.30553,5.0505,-0.087015,0.32054,1,1.818,-0.60506,1,1
0.14364,0.12402,0.14321,3.9376,0.063257,0.19864,5.6424,0.23115,-0.17811,1,0.093291,0.24877,1,1
-0.58325,7.7622,-0.22273,-4.779,1.8986,-2.095,-2.2049,1.6335,2.1117,1,0.4643,0.68354,0,1
-0.75149,-5.264,-1.042,-3.5486,-0.0047876,-1.9785,-3.6124,-0.36417,1.8126,1,0.022018,1.0955,0,0
