Point_ID,Output
1,14.972
2,12.614
3,15.494
4,12.618
5,15.756
6,13.695
7,14.333
8,10.798
9,13.544
10,14.869
11,14.411
12,14.71
13,15.981
14,16.487
15,10.372
16,13.502
17,13.418
18,17.417
19,9.6263
20,1.3382
21,16.807
22,14.336
23,12.022
24,15.026
25,15.965
26,13.974
27,13.945
28,12.58
29,14.597
30,11.301
31,13.906
32,12.584
33,11.491
34,15.694
35,14.544
36,13.699
37,16.878
38,14.244
39,11.406
40,14.295
41,16.672
42,11.895
43,11.5
44,15.853
45,14.659
46,12.867
47,16.038
48,16.13
49,17.379
50,10.499
51,11.327
52,15.317
53,15.582
54,16.512
55,14.229
56,14.11
57,16.155
58,11.386
59,14.967
60,11.95
61,14.972
62,12.555
63,8.8952
64,9.3897
65,15.651
66,17.608
67,14.897
68,8.9822
69,9.37
70,15.323
71,16.132
72,5.6338
73,11.727
74,12.655
75,12.04
76,12.992
77,11.08
78,13.373
79,17.374
80,7.0688
81,16.696
82,14.045
83,15.434
84,9.2852
85,14.968
86,6.8501
87,11.883
88,13.217
89,17.989
90,12.027
91,14.415
92,13.323
93,14.354
94,10.583
95,16.835
96,12.499
97,16.528
98,17.446
99,15.794
100,12.248
101,11.589
102,12.346
103,11.167
104,13.163
105,15.901
106,17.116
107,14.021
108,15.704
109,12.033
110,16.759
111,11.223
112,13.907
113,12.971
114,11.909
115,15.568
116,16.613
117,14.395
118,13.52
119,11.684
120,16.172
121,15.057
122,14.35
123,14.591
124,11.396
125,16.289
126,9.2085
127,16.209
128,16.787
129,12.919
130,13.854
131,16.921
132,14.946
133,13.38
134,12.161
135,12.562
136,15.056
137,11.79
138,16.041
139,14.739
140,14.232
141,15.171
142,9.5999
143,15.33
144,15.511
145,11.391
146,16.863
147,14.445
148,13.694
149,15.933
150,11.025
151,7.7164
152,9.7301
153,5.3911
154,8.4913
155,14.711
156,13.873
157,15.615
158,15.65
159,8.2455
160,16.75
161,14.895
162,14.661
163,14.584
164,14.755
165,16.24
166,4.283
167,6.671
168,12.399
169,14.928
170,12.568
171,7.1313
172,15.68
173,-0.94542
174,16.404
175,14.66
176,15.335
177,14.553
178,9.3207
179,13.3
180,12.786
181,15.877
182,13.24
183,14.212
184,5.0218
185,17.659
186,15.184
187,11.369
188,10.902
189,15.352
190,12.625
191,17.494
192,16.895
193,15.164
194,9.2391
195,16.51
196,9.4225
197,15.595
198,11.728
199,15.033
200,11.709
201,15.785
202,13.236
203,13.787
204,13.269
205,11.22
206,18.197
207,14.368
208,14.413
209,15.832
210,13.401
211,9.2957
212,13.556
213,14.15
214,14.341
215,16.584
216,11.535
217,16.185
218,14.102
219,16.532
220,10.634
221,11.069
222,17.222
223,13.029
224,11.051
225,9.6663
226,15.65
227,14.853
228,13.756
229,16.499
230,15.484
231,9.9648
232,13.508
233,12.179
234,16.873
235,17.235
236,13.039
237,14.265
238,11.866
239,12.912
240,9.4971
241,14.957
242,15.081
243,15.19
244,7.3713
245,13.338
246,15.57
247,16.186
248,6.0067
249,13.014
250,8.9397
251,9.0847
252,14.656
253,6.9348
254,9.952
255,14.043
256,15.731
257,13.15
258,10.65
259,12.825
260,13.401
261,16.019
262,15.43
263,14.411
264,14.466
265,15.249
266,11.902
267,13.997
268,6.4421
269,12.771
270,15.042
271,16.303
272,9.2648
273,14.382
274,1.6103
275,15.84
276,12.959
277,12.899
278,-2.8751
279,16.903
280,15.418
281,14.064
282,11.919
283,10.667
