Point_ID,Output
1,-4.7103
2,-6.4649
3,-4.1301
4,-7.7673
5,-4.8712
6,-6.0765
7,-9.2703
8,-9.512
9,-5.8669
10,-4.8573
11,-4.7137
12,-5.4361
13,-3.1461
14,-5.815
15,-11.302
16,-6.6288
17,-6.1586
18,-3.3727
19,-5.9782
20,-10.037
21,-2.6576
22,-3.4636
23,-7.2404
24,-3.6668
25,-4.9283
26,-5.4366
27,-6.7254
28,-6.1603
29,-8.7135
30,-6.4506
31,-6.7744
32,-3.6369
33,-8.3655
34,-4.5216
35,-5.7984
36,-5.9036
37,-2.6149
38,-6.553
39,-5.6023
40,-6.2202
41,-3.276
42,-7.7229
43,-8.9539
44,-3.3185
45,-7.7326
46,-5.9472
47,-2.6211
48,-4.0793
49,-3.082
50,-10.072
51,-8.0684
52,-2.4912
53,-3.1588
54,-3.6308
55,-4.3688
56,-6.3459
57,-4.9381
58,-11.447
59,-9.1433
60,-7.5512
61,-4.7817
62,-6.2362
63,-15.979
64,-9.8556
65,-2.97
66,-1.7366
67,-4.8395
68,-5.068
69,-9.0028
70,-2.8293
71,-4.8907
72,-11.31
73,-8.7464
74,-6.0061
75,-4.6692
76,-7.6709
77,-8.4641
78,-7.5809
79,-2.2047
80,-15.915
81,-2.4909
82,-4.4889
83,-6.5806
84,-6.0432
85,-3.7473
86,-9.3456
87,-9.7204
88,-5.2974
89,-2.2197
90,-11.497
91,-9.1617
92,-5.4478
93,-5.4455
94,-10.519
95,-2.0481
96,-6.4826
97,-3.3742
98,-3.6187
99,-3.2835
100,-6.2865
101,-7.723
102,-7.4897
103,-9.6391
104,-9.071
105,-4.6683
106,-4.0819
107,-5.7957
108,-2.1286
109,-6.7538
110,-1.3809
111,-10.475
112,-4.8735
113,-4.0118
114,-1.808
115,-4.1616
116,-3.1821
117,-4.6197
118,-6.7282
119,-9.0227
120,-4.0218
121,-6.7317
122,-4.3985
123,-7.2096
124,-12.038
125,-3.3322
126,-6.8875
127,-4.0973
128,-3.2052
129,-6.07
130,-5.5294
131,-2.2042
132,-8.3911
133,-6.2299
134,-6.0214
135,-8.541
136,-5.0844
137,-8.0611
138,-2.4724
139,-4.466
140,-5.4958
141,-9.9335
142,-8.6001
143,-2.7627
144,-9.6661
145,-5.8692
146,-3.9344
147,-3.7179
148,-6.1216
149,-4.6892
150,-11.2
151,-9.2869
152,-5.0164
153,-10.081
154,-15.436
155,-4.5782
156,-6.3037
157,-4.8349
158,-4.5329
159,-9.6169
160,-3.6944
161,-4.7061
162,-6.1022
163,-4.7882
164,-4.8457
165,-6.8367
166,-16.079
167,-9.781
168,-4.2737
169,-4.5011
170,-5.0484
171,-5.5075
172,-3.9946
173,-19.349
174,-3.8077
175,-3.0665
176,-4.6732
177,-3.8843
178,-10.198
179,-7.5298
180,-7.6975
181,-3.7889
182,-6.1296
183,-6.5346
184,-6.2599
185,-4.2261
186,-4.5576
187,-7.4973
188,-8.7579
189,-5.1543
190,-5.7266
191,-1.9612
192,-1.5862
193,-3.9321
194,-12.313
195,-3.5319
196,-6.4508
197,-4.5289
198,-7.5657
199,-6.1371
200,-10.803
201,-2.4258
202,-6.2884
203,-10.782
204,-6.2512
205,-9.091
206,-1.2622
207,-6.558
208,-4.6468
209,-2.7858
210,-6.5706
211,-10.611
212,-5.047
213,-5.0648
214,-7.152
215,-4.2418
216,-7.7424
217,-7.7108
218,-8.7089
219,-2.0875
220,-9.7716
221,-7.1842
222,-6.0749
223,-6.415
224,-9.1153
225,-6.3912
226,-4.0564
227,-5.0602
228,-2.6895
229,-3.8566
230,-4.8978
231,-8.6188
232,-7.3439
233,-7.2913
234,-2.7832
235,-2.3784
236,-6.121
237,-13.368
238,-8.1023
239,-10.62
240,-8.049
241,-4.7493
242,-5.53
243,-4.4297
244,-8.407
245,-4.6763
246,-4.0227
247,-3.8166
248,-13.284
249,-8.2583
250,-12.751
251,-12.813
252,-6.6603
253,-10.011
254,-8.8153
255,-4.9269
256,-4.9528
257,-7.6586
258,-9.1621
259,-7.1447
260,-5.5446
261,-3.1909
262,-4.0819
263,-6.7875
264,-5.0263
265,-6.4063
266,-8.2699
267,-6.4121
268,-4.2403
269,-6.6256
270,-3.3847
271,-4.0458
272,-7.4758
273,-4.1587
274,-12.287
275,-2.1238
