Point_ID,Output
1,16.534
2,14.251
3,16.925
4,14.297
5,17.199
6,15.097
7,15.799
8,12.284
9,14.989
10,16.387
11,15.705
12,16.126
13,17.363
14,17.959
15,12.012
16,14.989
17,15.015
18,18.859
19,10.781
20,2.4134
21,18.258
22,15.661
23,13.38
24,16.302
25,17.548
26,15.488
27,15.398
28,13.985
29,16.131
30,12.587
31,15.392
32,13.953
33,12.916
34,16.937
35,15.869
36,15.329
37,18.302
38,15.76
39,12.656
40,15.687
41,18.215
42,13.279
43,13.019
44,17.247
45,16.011
46,14.239
47,17.335
48,17.633
49,18.912
50,11.957
51,12.801
52,16.532
53,16.917
54,18.024
55,15.618
56,15.64
57,17.751
58,12.725
59,16.541
60,13.455
61,16.462
62,13.971
63,10.546
64,10.734
65,17.047
66,19.116
67,16.36
68,10.278
69,10.958
70,16.612
71,17.542
72,6.9824
73,13.29
74,14.011
75,13.305
76,14.599
77,12.654
78,14.933
79,18.825
80,8.6316
81,18.167
82,15.464
83,16.888
84,10.666
85,16.277
86,8.0701
87,13.426
88,14.488
89,19.55
90,13.758
91,16.057
92,14.787
93,15.947
94,11.971
95,18.276
96,13.879
97,17.933
98,18.905
99,17.278
100,13.629
101,13.152
102,13.851
103,12.848
104,14.683
105,17.506
106,18.556
107,15.68
108,17.09
109,13.356
110,18.107
111,12.668
112,15.264
113,14.166
114,13.209
115,17.07
116,18.065
117,15.783
118,14.917
119,13.286
120,17.648
121,16.511
122,15.804
123,16.086
124,12.787
125,17.701
126,10.563
127,17.721
128,18.25
129,14.318
130,15.279
131,18.45
132,16.359
133,15.003
134,13.386
135,14.169
136,16.455
137,13.29
138,17.471
139,16.188
140,15.766
141,16.607
142,10.935
143,16.607
144,17.235
145,12.643
146,18.462
147,15.779
148,15.146
149,17.405
150,12.521
151,9.0362
152,11.019
153,6.6285
154,9.9595
155,16.269
156,15.46
157,16.933
158,17.238
159,9.7853
160,18.356
161,16.311
162,16.118
163,15.883
164,16.095
165,17.775
166,5.202
167,8.3305
168,13.735
169,16.387
170,13.861
171,8.5266
172,17.127
173,0.33491
174,17.8
175,15.847
176,16.853
177,15.965
178,10.74
179,14.594
180,14.103
181,17.449
182,14.578
183,15.665
184,6.2861
185,19.1
186,16.693
187,12.816
188,12.388
189,16.899
190,14.017
191,19.018
192,18.209
193,16.676
194,10.444
195,18.029
196,10.622
197,17.093
198,13.158
199,16.45
200,13.034
201,17.109
202,14.834
203,15.448
204,14.591
205,12.671
206,19.654
207,15.904
208,15.8
209,17.221
210,14.901
211,10.721
212,14.985
213,15.626
214,15.678
215,18.116
216,12.923
217,17.659
218,15.76
219,17.928
220,12.011
221,12.302
222,18.696
223,14.584
224,12.657
225,10.97
226,17.232
227,16.492
228,14.914
229,17.976
230,17.034
231,11.51
232,15.134
233,13.646
234,18.342
235,18.638
236,14.614
237,15.908
238,13.255
239,14.71
240,10.74
241,16.275
242,16.581
243,16.526
244,9.0901
245,14.656
246,16.958
247,17.631
248,7.2554
249,14.539
250,10.518
251,10.603
252,16.316
253,8.596
254,11.352
255,15.492
256,17.334
257,14.577
258,11.963
259,14.393
260,14.695
261,17.483
262,16.825
263,15.929
264,15.977
265,16.897
266,13.478
267,15.433
268,7.7153
269,14.294
270,16.316
271,17.928
272,10.598
273,15.719
274,2.8995
275,17.135
276,14.305
277,14.199
278,-1.4525
279,18.307
280,16.866
281,15.462
282,13.319
283,12.067
284,14.674
285,11.314
286,14.424
287,17.125
288,18.021
289,15.304
290,16.621
291,18.079
292,12.113
293,17.365
294,17.149
295,15.354
296,12.769
297,17.765
298,18.759
299,15.201
300,13.992
301,17.668
302,18.486
303,15.953
304,9.3366
305,14.979
306,15.085
307,16.308
308,8.0755
309,16.197
310,17.017
311,15.572
312,16.445
313,15.766
314,13.531
315,10.859
316,11.756
317,14.997
318,16.656
319,15.961
320,16.823
321,10.971
322,16.116
323,18.904
324,16.205
325,15.602
326,18.845
327,17.365
328,11.759
329,14.597
330,17.59
331,17.302
332,17.198
333,15.557
334,10.382
335,10.929
336,12.963
337,8.8955
338,10.77
339,12.188
340,16.412
341,16.145
342,17.907
343,16.672
344,15.742
345,18.855
346,13.598
347,18.349
348,17.214
349,13.312
350,15.296
351,17.673
352,16.395
353,11.407
354,16.728
355,15.297
356,15.626
357,14.695
358,14.935
359,18.088
360,9.4107
361,7.2025
362,15.01
363,18.429
364,12.762
365,19.039
366,14.117
367,14.331
368,12.53
369,17.821
370,15.975
371,10.495
372,17.162
373,14.328
374,14.575
375,19.138
376,15.766
377,8.0541
378,17.162
379,14.291
380,9.4949
381,15.617
382,10.257
383,14.368
384,17.986
385,16.074
386,9.3113
387,15.599
388,16.277
389,16.356
390,14.67
391,15.7
392,3.8346
393,16.071
394,16.831
395,12.536
396,13.027
397,10.989
398,17.017
399,12.48
400,18.769
401,16.777
402,12.751
403,13.66
404,16.936
405,13.848
406,14.836
407,13.13
408,9.9978
409,15.613
410,15.896
411,14.193
412,13.868
413,12.772
414,14.363
415,16.822
416,11.064
417,17.514
418,15.095
419,18.257
420,17.4
421,13.257
422,15.004
423,15.763
424,17.04
425,16.645
426,13.401
427,16.238
428,18.021
429,13.935
430,13.572
431,17.93
432,12.414
433,17.723
434,4.4843
435,17.416
436,14.812
437,13.958
438,15.5
439,11.401
440,15.043
441,14.769
442,16.465
443,16.691
444,16.789
445,12.336
446,17.137
447,17.275
448,18.228
449,18.755
450,14.2
451,17.774
452,17.179
453,15.611
454,16.581
455,19.031
456,13.766
457,16.246
458,11.392
459,12.974
460,15.793
461,13.41
462,17.039
463,18.121
464,16.843
465,13.111
466,13.637
467,17.372
468,18.296
469,17.352
470,17.756
471,6.2715
472,14.158
473,17.147
474,16.682
475,18.067
476,16.255
477,11.608
478,16.08
479,16.611
480,13.579
481,17.952
482,15.515
483,17.663
484,9.2992
485,8.3469
486,18.174
487,16.865
488,16.333
489,13.333
490,16.078
491,14.245
492,10.234
493,14.007
494,17.56
495,11.067
496,14.823
497,14.938
498,15.424
499,15.817
500,17.591
501,17.642
502,14.766
503,15.574
504,17.653
505,18.128
506,15.101
507,6.8766
508,13.765
509,12.499
510,16.873
511,16.623
512,9.7059
513,15.485
514,15.381
515,14.259
516,14.786
517,18.287
518,15.922
519,13.96
520,11.138
521,14.084
522,16.386
523,17.407
524,17.196
525,17.347
526,16.451
527,14.005
528,6.2912
529,15.161
530,15.902
531,17.442
532,15.599
533,18.157
534,17.875
535,15.781
536,16.723
537,14.973
538,10.314
539,9.9904
540,16.571
541,17.655
542,13.026
543,12.856
544,16.177
545,14.938
546,12.295
547,15.625
548,9.0737
549,15.205
550,10.671
551,14.208
552,16.685
553,15.739
554,15.634
555,13.471
556,17.776
557,16.787
558,15.286
559,14.9
560,16.325
561,17.311
562,15.859
563,-2.6345
564,12.369
565,16.063
566,17.513
567,15.44
568,14.868
569,9.033
570,13.116
571,18.711
572,16.163
573,13.476
574,18.45
575,18.586
576,18.284
577,16.553
578,16.522
579,10.307
