@relation data-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute x_1 numeric
@attribute x_2 numeric
@attribute x_3 numeric
@attribute x_4 numeric
@attribute x_5 numeric
@attribute x_6 numeric
@attribute x_7 numeric
@attribute x_8 numeric
@attribute x_9 numeric
@attribute x_10 numeric
@attribute x_11 numeric
@attribute x_12 numeric
@attribute x_13 numeric
@attribute x_14 numeric

@data
0.527976,0.588709,0.652526,0.217265,0.585409,0.632537,0.219955,0.595121,0.385387,1,0.675434,0.704782,0,1
0.386804,0.606143,0.728436,0.29276,0.484337,0.810925,0.127143,0.523678,0.189723,1,0.698906,0.210881,0,1
0.385428,0.523864,0.521305,0.280932,0.360179,0.681541,0.141833,0.39281,0.32137,1,0.626204,0.668932,0,1
0.341039,0.692408,0.766442,0.242656,0.586605,0.812545,0.128944,0.638317,0.21308,1,0.465319,0.251964,0,1
0.527381,0.528366,0.532858,0.284314,0.414491,0.624767,0.193298,0.433892,0.372091,1,0.626518,0.796053,0,1
0.697516,0.505218,0.491652,0.667182,0.41559,0.518679,0.800777,0.414719,0.498621,1,0.683375,0.2546,1,1
0.099341,0.475882,0.556146,0.316064,0.327264,0.710504,0.12304,0.361323,0.262993,1,0.688141,0.763639,0,0
0.584366,0.608673,0.575702,0.185627,0.523974,0.509632,0.216325,0.557084,0.511396,0,0.666681,0.177257,0,1
0.557922,0.501877,0.535026,0.669828,0.345348,0.651326,0.845579,0.373438,0.34117,0,0.628218,0.815488,1,0
0.612245,0.614147,0.608915,0.735788,0.49408,0.637531,0.829484,0.534639,0.369517,1,0.698747,0.662037,1,1
0.841326,0.399241,0.382198,0.357149,0.214061,0.569418,0.177398,0.224732,0.393154,1,0.664847,0.44396,0,1
0.690681,0.491497,0.505682,0.691202,0.3743,0.518695,0.79324,0.394624,0.481311,1,0.673039,0.43742,1,1
0.569921,0.529139,0.4716,0.690985,0.399496,0.47306,0.804087,0.403821,0.506357,1,0.630036,0.231799,1,1
0.268723,0.496496,0.561856,0.683711,0.364402,0.705897,0.819158,0.398822,0.273195,1,0.69555,0.500269,1,1
0.425166,0.687403,0.730284,0.188211,0.617527,0.643629,0.186143,0.606087,0.359181,1,0.558551,0.748335,0,1
0.415046,0.518724,0.577784,0.286749,0.391275,0.705005,0.102982,0.421088,0.264643,1,0.681614,0.609522,0,1
0.19798,0.583808,0.688823,0.292847,0.438559,0.814967,0.099888,0.506545,0.199715,1,0.628823,0.340805,0,1
0.619478,0.509079,0.532056,0.701386,0.436565,0.550793,0.837074,0.440487,0.449711,1,0.662085,0.337631,1,1
0.321485,0.403493,0.24153,0.584866,0.252559,0.308605,0.753172,0.246062,0.663266,1,0.658968,0.515419,1,1
0.691456,0.348517,0.160296,0.276699,0.225782,0.156928,0.292708,0.16433,0.841084,1,0.655578,0.530212,0,1
0.548608,0.575509,0.540646,0.161325,0.547433,0.477894,0.225801,0.547272,0.523682,1,0.670449,0.307496,0,1
0.438934,0.463726,0.414018,0.689348,0.358312,0.434102,0.783781,0.335397,0.576589,1,0.658518,0.225825,1,1
0.344535,0.391907,0.447228,0.352087,0.194224,0.680174,0.112144,0.210003,0.283382,0,0.642287,0.789168,0,0
0.480261,0.446318,0.364609,0.677683,0.345408,0.446427,0.784932,0.348295,0.551753,1,0.668322,0.21762,1,1
0.261403,0.62388,0.672392,0.760888,0.499891,0.745968,0.9059,0.526337,0.264179,1,0.567818,0.571459,1,1
0.762095,0.558671,0.604845,0.214331,0.534692,0.56159,0.211778,0.524631,0.472249,1,0.681593,0.439179,0,0
0.603778,0.484117,0.542976,0.757089,0.485184,0.518015,0.841428,0.475905,0.47963,1,0.621898,0.223512,1,1
0.665188,0.565707,0.495339,0.163139,0.511007,0.486497,0.274189,0.51775,0.546314,1,0.658542,0.271476,0,1
0.673836,0.581177,0.623027,0.152998,0.546795,0.585678,0.198577,0.556065,0.409522,1,0.768044,0.637531,0,1
0.565619,0.456442,0.373945,0.272082,0.258792,0.477162,0.227963,0.253126,0.504435,0,0.652666,0.226904,0,0
0.916228,0.605165,0.576174,0.820725,0.556414,0.539247,0.830627,0.550843,0.451861,1,0.663318,0.348727,1,1
0.299921,0.601752,0.457783,0.160092,0.561455,0.324277,0.309389,0.559772,0.704247,1,0.660586,0.489095,0,1
0.66122,0.518,0.514631,0.269233,0.473898,0.539115,0.207028,0.494578,0.483025,0,0.665744,0.296899,0,0
0.351607,0.453178,0.330764,0.639092,0.301174,0.434165,0.740322,0.31023,0.551139,1,0.654558,0.42036,1,1
0.545348,0.455783,0.414102,0.263311,0.303399,0.505905,0.195381,0.328088,0.474973,1,0.670855,0.207261,0,0
0.413025,0.664361,0.721715,0.789419,0.578561,0.67896,0.873446,0.587101,0.335611,1,0.651157,0.741016,1,1
0.419527,0.610463,0.513446,0.794473,0.582017,0.399339,0.809381,0.562223,0.610471,1,0.672525,0.304461,1,1
0.590893,0.749217,0.605953,0.129373,0.658363,0.454299,0.267463,0.673605,0.580512,1,0.70302,0.274219,0,1
0.311563,0.477697,0.338549,0.70051,0.34209,0.375275,0.751656,0.314252,0.596663,1,0.648979,0.354701,1,1
0.740399,0.508788,0.481941,0.312029,0.3167,0.616234,0.173516,0.340283,0.389395,1,0.673176,0.82848,0,1
0.226981,0.524357,0.634169,0.735153,0.410788,0.739032,0.849761,0.423333,0.262105,1,0.611358,0.55571,1,1
0.350095,0.51525,0.472872,0.243932,0.423952,0.453456,0.18545,0.435692,0.520318,1,0.671775,0.239832,0,1
0.800514,0.613518,0.608931,0.149233,0.618733,0.542369,0.225022,0.625712,0.437407,1,0.710237,0.454114,0,1
0.69612,0.495296,0.483449,0.688519,0.410872,0.503403,0.787537,0.436889,0.497022,1,0.631697,0.222267,1,1
0.596206,0.392543,0.441149,0.612261,0.267151,0.609661,0.76973,0.29619,0.381054,1,0.670963,0.445551,1,1
0.503408,0.474606,0.461312,0.757343,0.434823,0.47318,0.789215,0.422192,0.523546,1,0.657866,0.284841,1,0
0.493257,0.396302,0.385704,0.650153,0.298365,0.467099,0.766207,0.306093,0.53012,1,0.639553,0.201554,1,1
0.621054,0.514556,0.593601,0.715641,0.446222,0.661636,0.837403,0.45412,0.335755,1,0.689523,0.723871,1,1
0.664569,0.595012,0.623114,0.21176,0.526965,0.589539,0.197131,0.536894,0.417102,1,0.700961,0.512007,0,1
0.786151,0.613185,0.548578,0.832221,0.569389,0.519188,0.856447,0.580034,0.51189,1,0.629652,0.437996,1,1
0.502025,0.544609,0.56458,0.250835,0.453205,0.657417,0.171583,0.433878,0.336776,1,0.683039,0.679073,0,1
0.625571,0.371539,0.301977,0.593466,0.188263,0.477348,0.736884,0.196471,0.518643,1,0.655282,0.272788,1,1
0.450499,0.494401,0.423881,0.696917,0.387433,0.45404,0.774559,0.382307,0.550543,1,0.648404,0.075196,1,0
