@relation regression-input-weka.filters.unsupervised.attribute.Remove-R1

@attribute Input_1 numeric
@attribute Input_2 numeric
@attribute Input_3 numeric
@attribute Input_4 numeric
@attribute Input_5 numeric
@attribute Input_6 numeric
@attribute Input_7 numeric
@attribute Input_8 numeric
@attribute Input_9 numeric
@attribute Input_10 numeric
@attribute Input_11 numeric
@attribute Input_12 numeric
@attribute Input_13 numeric
@attribute Input_14 numeric
@attribute Output numeric

@data
0,-0.9129,-0.7687,-0.9184,-1.0078,-0.8162,0.9973,-0.6361,-0.8666,-0.8263,-1.0856,-0.7844,-0.7241,-0.8255,-1.3768
0.2083,-1.0274,-0.7687,-0.861,-1.2305,-0.8747,-1.5063,-0.7494,-0.8104,-0.9412,0.283,-0.7844,-0.7797,-0.9369,-1.4609
0.4167,-1.0847,-0.8283,-0.861,-1.2861,-0.9332,1.6514,-0.8627,-0.9228,-1.0562,-0.5786,-0.8976,-0.9464,-1.104,-1.5786
0.625,-1.371,-1.0669,-1.0905,-1.3418,-1.1673,-0.4289,-1.0893,-1.3725,-1.286,-2.4267,-0.9542,-1.002,-1.1596,-1.6268
0.8333,-1.371,-1.1863,-1.32,-1.1191,-1.1673,-0.8667,-1.2027,-1.5974,-1.5158,1.2659,-0.8976,-1.2798,-1.271,-1.6029
1.0417,-1.4282,-1.4249,-1.32,-1.0635,-1.2259,-0.0947,-1.316,-1.3163,-1.5733,-0.6789,-0.841,-1.2798,-1.104,-1.5205
1.25,-1.4855,-1.5442,-1.4348,-1.2305,-1.2844,-0.6389,-1.4293,-1.3725,-1.6882,1.4914,-1.0108,-1.391,-1.3267,-1.3633
1.4583,-1.4855,-1.5442,-1.4348,-1.3418,-1.2844,-0.4344,-1.4293,-1.4288,-1.7456,-0.444,-1.2938,-1.5577,-1.3824,-1.2045
1.6667,-1.4855,-1.3652,-1.32,-1.4531,-1.1673,2.1868,-1.4293,-1.3725,-1.6882,2.2059,-1.124,-1.5021,-1.3824,-0.9859
1.875,-1.1992,-0.709,-0.9184,-1.3418,-0.8162,0.3862,-1.316,-0.979,-1.0562,1.0041,-0.7278,-1.0575,-1.1596,-0.9285
2.0833,-0.6839,-0.3511,-0.402,-1.0635,-0.348,1.4907,-0.6361,-0.5855,-0.5965,0.7374,-0.5014,-0.7797,-0.8812,-0.8383
2.2917,-0.3976,-0.2914,-0.1725,-0.7295,-0.1724,1.1758,-0.3528,-0.2482,-0.3092,-0.9358,-0.3317,-0.3907,-0.4914,-0.8483
2.5,-0.1113,-0.2317,0.057,-0.3955,0.0032,-0.6378,-0.2394,-0.0233,-0.0794,-1.2539,-0.2751,-0.1684,-0.213,-0.9405
2.7083,0.0032,-0.2317,0.1144,-0.1728,0.1202,-1.4287,-0.1828,0.0891,-0.0219,0.9071,-0.2751,-0.1128,-0.046,-1.176
2.9167,0.0604,-0.2317,0.1718,-0.0615,0.1202,-0.8618,-0.1828,0.1453,0.0355,-0.1401,-0.2185,0.0539,0.0097,-1.3361
3.125,0.1177,-0.2317,0.2291,-0.0058,0.1202,-2.7986,-0.1828,0.2015,0.0355,-0.2556,-0.2751,0.1094,0.0097,-1.3605
