Point_ID,Input_1,Input_2,Input_3,Input_4,Input_5,Input_6,Input_7,Input_8,Input_9,Input_10,Input_11,Input_12,Input_13,Input_14,Output
1,0.0000,-0.9129,-0.7687,-0.9184,-1.0078,-0.8162,0.9973,-0.6361,-0.8666,-0.8263,-1.0856,-0.7844,-0.7241,-0.8255,-1.3768
2,0.2083,-1.0274,-0.7687,-0.8610,-1.2305,-0.8747,-1.5063,-0.7494,-0.8104,-0.9412,0.2830,-0.7844,-0.7797,-0.9369,-1.4609
3,0.4167,-1.0847,-0.8283,-0.8610,-1.2861,-0.9332,1.6514,-0.8627,-0.9228,-1.0562,-0.5786,-0.8976,-0.9464,-1.1040,-1.5786
4,0.6250,-1.3710,-1.0669,-1.0905,-1.3418,-1.1673,-0.4289,-1.0893,-1.3725,-1.2860,-2.4267,-0.9542,-1.0020,-1.1596,-1.6268
5,0.8333,-1.3710,-1.1863,-1.3200,-1.1191,-1.1673,-0.8667,-1.2027,-1.5974,-1.5158,1.2659,-0.8976,-1.2798,-1.2710,-1.6029
6,1.0417,-1.4282,-1.4249,-1.3200,-1.0635,-1.2259,-0.0947,-1.3160,-1.3163,-1.5733,-0.6789,-0.8410,-1.2798,-1.1040,-1.5205
7,1.2500,-1.4855,-1.5442,-1.4348,-1.2305,-1.2844,-0.6389,-1.4293,-1.3725,-1.6882,1.4914,-1.0108,-1.3910,-1.3267,-1.3633
8,1.4583,-1.4855,-1.5442,-1.4348,-1.3418,-1.2844,-0.4344,-1.4293,-1.4288,-1.7456,-0.4440,-1.2938,-1.5577,-1.3824,-1.2045
9,1.6667,-1.4855,-1.3652,-1.3200,-1.4531,-1.1673,2.1868,-1.4293,-1.3725,-1.6882,2.2059,-1.1240,-1.5021,-1.3824,-0.9859
10,1.8750,-1.1992,-0.7090,-0.9184,-1.3418,-0.8162,0.3862,-1.3160,-0.9790,-1.0562,1.0041,-0.7278,-1.0575,-1.1596,-0.9285
11,2.0833,-0.6839,-0.3511,-0.4020,-1.0635,-0.3480,1.4907,-0.6361,-0.5855,-0.5965,0.7374,-0.5014,-0.7797,-0.8812,-0.8383
12,2.2917,-0.3976,-0.2914,-0.1725,-0.7295,-0.1724,1.1758,-0.3528,-0.2482,-0.3092,-0.9358,-0.3317,-0.3907,-0.4914,-0.8483
13,2.5000,-0.1113,-0.2317,0.0570,-0.3955,0.0032,-0.6378,-0.2394,-0.0233,-0.0794,-1.2539,-0.2751,-0.1684,-0.2130,-0.9405
14,2.7083,0.0032,-0.2317,0.1144,-0.1728,0.1202,-1.4287,-0.1828,0.0891,-0.0219,0.9071,-0.2751,-0.1128,-0.0460,-1.1760
15,2.9167,0.0604,-0.2317,0.1718,-0.0615,0.1202,-0.8618,-0.1828,0.1453,0.0355,-0.1401,-0.2185,0.0539,0.0097,-1.3361
16,3.1250,0.1177,-0.2317,0.2291,-0.0058,0.1202,-2.7986,-0.1828,0.2015,0.0355,-0.2556,-0.2751,0.1094,0.0097,-1.3605
17,3.3333,0.1177,-0.4107,0.0570,-0.0058,0.0617,-0.6999,-0.2394,0.0891,-0.1368,-1.7715,-0.3317,-0.1128,-0.0460,-1.1224
18,3.5417,-0.1113,-0.7687,-0.2873,-0.0615,-0.2895,-0.1736,-0.4094,-0.3044,-0.4816,0.9275,-0.5014,-0.3907,-0.4358,-0.5433
19,3.7500,-0.3976,-1.1266,-0.6889,-0.2285,-0.6991,0.6882,-0.5794,-0.8666,-0.7689,0.0028,-0.9542,-0.6685,-0.6585,-0.4743
20,3.9583,-0.4549,-1.1266,-0.8610,-0.2285,-0.8162,0.2836,-1.1460,-1.2039,-0.9412,-0.8795,-0.9542,-0.8908,-0.9926,-0.5032
21,4.1667,-0.4549,-1.1863,-0.8036,-0.3398,-0.7577,-1.7277,-1.2027,-1.2601,-1.1136,-0.8054,-1.2372,-1.0020,-1.0483,-0.6027
22,4.3750,-0.5121,-1.2459,-0.9184,-0.3955,-0.8747,0.5738,-1.4293,-1.2601,-1.2860,-0.3909,-1.2938,-1.1131,-1.0483,-0.7849
23,4.5833,-0.4549,-1.1266,-0.8036,-0.5068,-0.8747,-0.0118,-1.4293,-0.8666,-1.1711,0.3386,-1.4069,-0.9464,-1.0483,-1.0496
24,4.7917,-0.4549,-1.0669,-0.6889,-0.7295,-0.7577,0.4129,-1.4293,-0.8104,-0.9987,2.3924,-1.2938,-0.9464,-0.9926,-1.3264
25,5.0000,-0.5121,-0.9476,-0.6315,-0.7851,-0.6991,2.2381,-1.3160,-0.7542,-0.9987,0.9787,-1.1240,-0.9464,-0.8812,-1.4569
26,5.2083,-0.5694,-0.8880,-0.5741,-0.8408,-0.6406,-1.0388,-1.2593,-0.6979,-0.8838,-1.2941,-1.1240,-0.8908,-0.8255,-1.4896
27,5.4167,-0.5694,-0.7687,-0.5741,-0.6738,-0.6406,-0.7981,-1.1460,-0.6979,-0.8263,1.7437,-0.8976,-0.8353,-0.7699,-1.4932
28,5.6250,-0.5121,-0.7687,-0.5741,-0.6738,-0.6991,1.0693,-0.9194,-0.6979,-0.8263,0.0297,-0.7844,-0.7241,-0.6585,-1.4584
29,5.8333,-0.5121,-0.7090,-0.6315,-0.5068,-0.6406,1.7549,-0.8060,-0.6979,-0.7689,0.8907,-0.7844,-0.6685,-0.6585,-1.3912
30,6.0417,-0.5694,-0.7090,-0.6889,-0.4511,-0.7577,1.0694,-0.7494,-0.7542,-0.7689,1.4956,-0.7278,-0.6685,-0.6585,-1.0829
31,6.2500,-0.6266,-0.7090,-0.6315,-0.4511,-0.8162,0.7949,-0.7494,-0.6979,-0.6540,-0.7727,-0.6146,-0.6130,-0.6585,-0.7492
32,6.4583,-0.6266,-0.7090,-0.6889,-0.3955,-0.8162,-1.3263,-0.6927,-0.5855,-0.6540,0.3143,-0.6712,-0.7241,-0.8255,-0.3557
33,6.6667,-0.4549,-0.7090,-0.6889,-0.3955,-0.6991,0.8072,-0.6927,-0.6417,-0.5965,1.4173,-0.7278,-0.8353,-0.7142,-0.1143
34,6.8750,-0.3404,-0.7090,-0.6315,-0.3955,-0.5821,-0.2331,-0.6927,-0.6979,-0.5390,0.0455,-0.7844,-0.7797,-0.7142,0.0891
35,7.0833,-0.3404,-0.7090,-0.5168,-0.2285,-0.5236,0.1995,-0.6361,-0.6417,-0.3667,-1.1983,-0.6712,-0.6685,-0.6028,0.0865
36,7.2917,-0.2258,-0.5897,-0.3446,-0.1728,-0.3480,-0.8312,-0.6361,-0.3044,-0.2518,0.4684,-0.6712,-0.5574,-0.6028,0.0157
37,7.5000,-0.1686,-0.4107,-0.2873,-0.1171,-0.2309,-1.0972,-0.5794,-0.4169,-0.1368,1.1622,-0.6146,-0.4463,-0.4358,-0.1207
38,7.7083,-0.1113,-0.1721,-0.1725,-0.0058,-0.1139,1.0397,-0.5227,-0.3606,-0.0794,-2.1231,-0.5014,-0.2796,-0.2130,-0.2714
39,7.9167,-0.0541,-0.2914,-0.0004,0.0499,0.0617,-0.1260,-0.4661,-0.2482,0.0355,-0.4034,-0.4449,-0.2240,-0.1017,-0.4601
40,8.1250,0.0604,-0.1721,-0.0004,0.1612,0.1787,-1.6060,-0.3528,-0.0796,0.1504,-0.8375,-0.3883,-0.1684,-0.0460,-0.6177
41,8.3333,0.1177,-0.1124,-0.0004,0.2725,0.1202,-0.6889,-0.3528,-0.0233,0.0930,1.2552,-0.3883,-0.1684,0.0097,-0.4721
42,8.5417,0.0032,-0.3511,-0.1151,0.1055,0.0032,0.8073,-0.4661,-0.3606,-0.3092,1.6610,-0.5580,-0.3351,-0.1574,-0.0418
43,8.7500,-0.0541,-0.5300,-0.3446,-0.0615,-0.1724,-1.0859,-0.5794,-0.6417,-0.5390,-0.3148,-0.7844,-0.5018,-0.4914,-0.0293
44,8.9583,-0.1113,-0.7090,-0.4594,-0.0615,-0.2895,-1.2125,-0.7494,-0.8104,-0.7689,-0.7325,-0.7844,-0.6130,-0.3801,-0.1221
45,9.1667,-0.1686,-0.7687,-0.5741,-0.1728,-0.4065,0.1644,-0.8060,-0.9228,-0.6540,2.0871,-0.7844,-0.7241,-0.6028,-0.2363
46,9.3750,-0.2831,-0.8283,-0.6315,-0.4511,-0.5236,-1.2674,-0.8060,-0.8666,-0.6540,1.1502,-0.8410,-0.6685,-0.6585,-0.4599
47,9.5833,-0.1686,-0.8283,-0.5741,-0.2285,-0.4650,1.1779,-0.8060,-0.8666,-0.6540,0.1810,-0.7844,-0.7241,-0.6028,-0.7437
48,9.7917,-0.2258,-0.8283,-0.5168,-0.2285,-0.4650,1.0311,-0.9760,-0.6417,-0.6540,-0.3350,-0.9542,-0.7241,-0.6585,-1.0271
49,10.0000,-0.3976,-0.8283,-0.5741,-0.2285,-0.6406,-1.3635,-0.8060,-0.6417,-0.6540,-1.0846,-0.8410,-0.7241,-0.6028,-1.2647
50,10.2083,-0.2258,-0.7687,-0.5168,-0.0615,-0.4650,-0.3792,-0.8627,-0.6417,-0.6540,0.3794,-0.8410,-0.6685,-0.6028,-1.4309
51,10.4167,-0.2831,-0.7687,-0.6889,-0.1171,-0.5821,-1.9779,-0.7494,-0.9228,-0.7114,0.6421,-0.7278,-0.7797,-0.6028,-1.4527
52,10.6250,-0.2258,-0.8880,-0.6889,-0.1171,-0.6406,2.5983,-0.7494,-0.9790,-0.5965,0.7123,-0.7278,-0.7797,-0.6028,-1.5273
53,10.8333,-0.3404,-0.9476,-0.8036,-0.0058,-0.8162,0.0341,-0.6927,-0.9228,-0.5965,-0.0246,-0.6146,-0.7797,-0.6028,-1.4497
54,11.0417,-0.4549,-0.7687,-0.9758,0.0499,-0.9332,-1.8620,-0.5794,-0.9790,-0.5965,0.1795,-0.6146,-0.8353,-0.6028,-1.3429
55,11.2500,-0.2258,-0.7687,-0.8610,0.1055,-0.8162,-1.6054,-0.8060,-0.9790,-0.5965,0.4261,-0.5580,-0.8908,-0.6028,-1.1326
56,11.4583,-0.3404,-0.7090,-0.8036,0.1055,-0.9332,1.2429,-0.5794,-0.6417,-0.5965,-0.4277,-0.6146,-0.8908,-0.6028,-0.8679
57,11.6667,-0.2258,-0.4704,-0.6889,-0.0058,-0.8162,0.5012,-0.5227,-0.5855,-0.5390,-0.7352,-0.6146,-0.7241,-0.5471,-0.6244
58,11.8750,-0.1113,-0.2317,-0.4020,0.1612,-0.4065,0.2787,-0.4094,-0.3044,-0.3667,1.0127,-0.3883,-0.4463,-0.3801,-0.4693
59,12.0833,0.1750,-0.1721,-0.0004,0.4395,-0.0554,-0.3325,-0.2394,-0.0233,-0.0219,-1.3709,-0.2185,-0.1128,0.0097,-0.4891
60,12.2917,0.4612,0.0069,0.2865,0.6065,0.2373,-2.0250,-0.1261,0.2577,0.2079,1.9594,0.0645,0.2206,0.3438,-0.5863
61,12.5000,0.6330,0.3648,0.5734,0.7178,0.5884,-0.5521,0.1572,0.5950,0.6101,-0.2758,0.3475,0.6096,0.5665,-0.7869
62,12.7083,0.8048,0.5438,0.7455,0.8292,0.7640,0.7482,0.3838,0.7637,0.7250,0.1207,0.5172,0.7207,0.7336,-0.9668
63,12.9167,0.8620,0.6035,0.8603,0.8848,0.8225,-0.2702,0.6105,0.8199,0.7825,1.6087,0.6304,0.8319,0.8449,-1.1111
64,13.1250,0.8620,0.5438,0.8603,0.8848,0.8225,0.4997,0.7238,0.8199,0.7825,0.8123,0.6304,0.8319,0.9006,-1.1623
65,13.3333,0.8048,0.5438,0.8029,0.8848,0.7640,-0.5639,0.4405,0.7637,0.7250,0.4743,0.4041,0.8319,0.8449,-1.0206
66,13.5417,0.6330,0.3648,0.5160,0.8848,0.4714,-1.1000,0.4971,0.5388,0.4952,-0.9973,0.2909,0.5540,0.7336,-0.6704
67,13.7500,0.5185,0.3052,0.3439,0.7735,0.2958,0.3217,0.2138,0.3140,0.3228,-0.7564,0.1211,0.3317,0.5665,-0.6316
68,13.9583,0.4612,0.2455,0.2291,0.6065,0.2373,0.3235,0.1572,0.2577,0.2079,0.7609,0.0079,0.3873,0.5108,-0.7601
69,14.1667,0.3467,0.1859,0.1718,0.4952,0.1202,1.8060,0.2138,0.1453,0.1504,-0.5490,0.1211,0.3873,0.4552,-0.8554
70,14.3750,0.3467,0.2455,0.1718,0.5508,0.1202,-0.3540,0.2138,0.1453,0.1504,1.5189,0.2343,0.2761,0.3438,-1.0303
71,14.5833,0.4040,0.2455,0.1144,0.5508,0.0032,0.1302,0.2138,0.1453,0.1504,-0.8234,0.1777,0.2761,0.3438,-1.2783
72,14.7917,0.3467,0.1859,0.1718,0.4395,0.1202,0.3328,0.1572,0.1453,0.1504,1.2673,0.1777,0.2761,0.2881,-1.5766
73,15.0000,0.4040,0.2455,0.2291,0.4395,0.1787,-0.2121,0.1005,0.1453,0.1504,0.5565,0.1211,0.2761,0.2881,-1.8767
74,15.2083,0.2895,0.1859,0.1718,0.4395,0.1202,1.5445,0.1572,0.1453,0.1504,0.4563,0.0645,0.2206,0.2881,-1.9800
75,15.4167,0.2895,0.1859,0.1718,0.4952,0.1202,0.1433,0.1572,0.0891,0.0930,-0.2397,0.1211,0.2206,0.3438,-2.0355
76,15.6250,0.3467,0.1859,0.1718,0.5508,0.1202,0.2837,0.1572,0.0891,0.0930,0.2538,0.1211,0.1650,0.3438,-2.0927
77,15.8333,0.2895,0.0666,0.1718,0.4952,0.1202,-1.8769,0.0439,0.0891,0.0930,-1.4119,0.1777,0.1650,0.2881,-2.0606
78,16.0417,0.3467,0.0666,0.1718,0.4952,0.1202,0.1679,-0.0128,0.0891,0.0930,-1.0197,0.1777,0.1650,0.2881,-2.0241
79,16.2500,0.2895,0.0666,0.1144,0.4952,0.1202,-0.5307,-0.0128,0.0891,0.0930,0.5539,0.1211,0.1650,0.2881,-1.8330
80,16.4583,0.2322,0.1859,0.1144,0.4395,0.0032,-0.1432,-0.0128,0.0891,0.0930,1.3773,0.1211,0.2206,0.2881,-1.5497
